Station,ID,Address,Date,TSS,DO,P,ENT,Sal,Temp,pH,CHL_A,N
Blackwater Creek ,308361, Omar Rd. (Rd. 54),11/28/2023 9:55,1.9,10.62,0.02,90,0.18,9.4,6.6,4.24,3.89
308361,Millsboro Pond ,,,,,,,,,,,
Millsboro Pond ,308071, John Williams Hwy. (Rt. 24),11/28/2023 10:07,1.9,9.46,0.03,10,0.05,7.7,6.5,4.26,4.31
308071,White Creek ,,,,,,,,,,,
White Creek ,312011, mouth of Assawoman Canal,11/28/2023 10:14,3.1,9.84,0.02,5,28.19,8.5,7.2,2.73,0.38
312011,Swan Creek ,,,,,,,,,,,
Swan Creek ,308341, Mount Joy Rd. (Rd. 297),11/28/2023 11:15,0.5,10.18,0.01,29,0.05,8.5,6.2,0.5,2.47
308341,Guinea Creek ,,,,,,,,,,,
Guinea Creek ,308051, Banks Rd. (Rd. 298),11/28/2023 11:21,8.3,9.36,0.06,5,24.84,9.3,6.9,10.5,0.39
308051,Burton Pond ,,,,,,,,,,,
Burton Pond ,308031, John Williams Hwy. (Rt. 24 ),11/28/2023 11:38,1.2,10.36,0.01,8,0.18,7.5,7.6,6.93,1.23
308031,Bundicks Branch ,,,,,,,,,,,
Bundicks Branch ,308371, Beaver Dam Rd. (Rt. 23),11/29/2023 7:26,2.4,10.68,0.05,2830,0.27,4.7,7.1,3.08,1.86
308371,Rehoboth Bay ,,,,,,,,,,,
Rehoboth Bay ,306091, Buoy 7,11/29/2023 8:20,13.9,10.38,0.04,10,29.03,3.4,7.9,8.46,0.26
306091,Lewes & Rehoboth Canal ,,,,,,,,,,,
Lewes & Rehoboth Canal ,305011, Rt. 1,11/29/2023 8:39,29.2,9.25,0.02,41,31.5,7.6,7.6,11.2,0.28
305011,Massey Ditch ,,,,,,,,,,,
Massey Ditch ,306111, Buoy 17,11/29/2023 8:50,27.5,9.23,0.03,20,31.82,3.2,7.9,7.55,0.2
306111,Indian River Bay ,,,,,,,,,,,
Indian River Bay ,306121, Buoy 20,11/29/2023 9:08,10.3,10.78,0.02,20,27.4,2.6,8.1,13.8,0.31
306121,Lewes & Rehoboth Canal ,,,,,,,,,,,
Lewes & Rehoboth Canal ,305041, Rt. 9,11/29/2023 9:24,87.5,9.17,0.03,5,31.96,8.1,7.7,8.54,0.69
305041,Indian River ,,,,,,,,,,,
Indian River ,306331, Island Creek,11/29/2023 9:32,30.3,11.24,0.01,31,22.31,4,8.5,85.3,1.03
306331,Island Creek upper third,,,,,,,,,,,
Island Creek upper third,306341,,11/29/2023 9:46,22.2,11.29,0.01,30,21.33,4.7,8.5,86.2,1.17
306341,DE Bay ,,,,,,,,,,,
DE Bay ,401011," Roosevelt Inlet, mouth",11/29/2023 9:58,101,8.84,0.02,10,32.25,10,7.6,10.2,0.7
401011,Indian River ,,,,,,,,,,,
Indian River ,306181, Buoy 49 (Swan Creek),11/29/2023 10:07,13.9,11.66,0.04,5,9.83,4.8,8.3,38.2,2.49
306181,Little Mill Creek ,,,,,,,,,,,
Little Mill Creek ,106281, DuPont Rd.,12/4/2023 7:34,3.7,11.27,0.05,922,0.5,9.1,7.7,2.89,1.03
106281,Christina River near Conrail Bridge,,,,,,,,,,,
Christina River near Conrail Bridge,106291,,12/4/2023 8:00,17.9,10.91,0.06,409,0.32,8.1,7.3,3.23,2.5
106291,Brandywine Creek ,,,,,,,,,,,
Brandywine Creek ,104011, Foot Bridge in Brandywine Park,12/4/2023 8:42,7.2,11.68,0.09,109,0.21,9.2,7.4,2.47,3.08
104011,Christina River ,,,,,,,,,,,
Christina River ,106021, Rt. 141 off Water St.,12/4/2023 8:44,11.8,10.62,0.08,870,0.19,7.5,7.5,3.79,1.92
106021,Red Clay Creek ,,,,,,,,,,,
Red Clay Creek ,103011, W. Newport Pike (Rt. 4),12/4/2023 9:02,3.2,11.38,0.06,325,0.2,8.8,7.8,1.95,2.84
103011,Brandywine Creek ,,,,,,,,,,,
Brandywine Creek ,104021, New Bridge Rd. (Rd. 279),12/4/2023 9:10,6.3,11.62,0.08,275,0.23,9.5,7.2,2.48,2.75
104021,White Clay Creek ,,,,,,,,,,,
White Clay Creek ,105151, Delaware Park Blvd.,12/4/2023 9:15,0.9,11.22,0.03,1100,0.13,8.4,7.6,1.64,1.52
105151,Red Clay Creek ,,,,,,,,,,,
Red Clay Creek ,103031, Lancaster Pike (Rt. 48),12/4/2023 9:28,4.9,11.46,0.08,1730,0.22,9.4,7.1,2.55,2.7
103031,White Clay Creek ,,,,,,,,,,,
White Clay Creek ,105171, McKees Lane,12/4/2023 9:38,1,11.18,0.05,545,0.17,8,7.5,1.13,3.34
105171,Red Clay Creek ,,,,,,,,,,,
Red Clay Creek ,103041, Barley Mill Rd. (Rd. 258A),12/4/2023 9:41,2.7,11.54,0.1,1960,0.24,8.9,7.2,2.94,3.03
103041,Burroughs Run ,,,,,,,,,,,
Burroughs Run ,103061, Creek Rd. (Rt. 82),12/4/2023 9:51,0.6,11.9,0.05,1840,0.15,7.8,7.1,1.81,1.67
103061,Christina River ,,,,,,,,,,,
Christina River ,106191, Nottingham Rd. (Rt. 273),12/4/2023 9:54,1.5,11.37,0.05,870,0.12,8.3,7.4,1.2,2.04
106191,Brandywine Creek ,,,,,,,,,,,
Brandywine Creek ,104051, Smith Bridge Rd. (Rd. 221),12/4/2023 10:17,1.7,11.8,0.04,87,0.19,8.5,7.1,1.21,1.93
104051,White Clay Creek ,,,,,,,,,,,
White Clay Creek ,105031, Chambers Rock Rd. (Rd. 329),12/4/2023 10:20,10.1,11.09,0.09,4840,0.19,8.5,7.3,3.47,3.9
105031,Christina River ,,,,,,,,,,,
Christina River ,106141, Sunset Lake Rd. (Rt. 72),12/4/2023 10:49,5.3,10.76,0.08,3110,0.11,9.4,7.1,3.78,1.41
106141,Smalleys Dam Spillway ,,,,,,,,,,,
Smalleys Dam Spillway ,106031, Smalleys Dam Rd.,12/4/2023 11:02,14.3,11,0.07,1300,0.1,8.5,7,3.68,1.06
106031,Naaman Creek S. Branch ,,,,,,,,,,,
Naaman Creek S. Branch ,101031, Darley Rd. (Rd. 207),12/5/2023 7:45,0.5,11.82,0.06,428,0.2,7.4,7.8,0.1,0.9
101031,Drawyer Creek off Rt. 13 ,,,,,,,,,,,
Drawyer Creek off Rt. 13 ,109071, parking area,12/5/2023 7:52,31.2,10.95,0.09,234,3.8,7.4,7.4,74.2,1.5
109071,Shallcross Lake ,,,,,,,,,,,
Shallcross Lake ,109191, Shallcross Lake Rd. (Rd. 428),12/5/2023 8:08,3.9,10.11,0.04,90,0.12,6.3,7.2,4.69,2.16
109191,Naaman Creek ,,,,,,,,,,,
Naaman Creek ,101021, State Line near Hickman Rd.,12/5/2023 8:23,0.5,11.47,0.03,122,0.22,7.9,7.3,0.53,1.29
101021,Deep Creek Branch ,,,,,,,,,,,
Deep Creek Branch ,109251, Summit Bridge Rd. (Rt. 71),12/5/2023 8:35,2.3,10.41,0.02,445,0.13,7.8,6.8,6.27,5.26
109251,Noxontown Pond ,,,,,,,,,,,
Noxontown Pond ,109131, Noxontown Rd. (Rd. 38),12/5/2023 8:48,7.8,11.94,0.03,46,0.11,6.6,7.5,41.5,1.11
109131,Naaman Creek South Branch ,,,,,,,,,,,
Naaman Creek South Branch ,101061, Marsh Rd. (Rt. 3),12/5/2023 8:55,0.5,11.92,0.07,109,0.15,7.7,7.2,0.31,1.41
101061,Appoquinimink River ,,,,,,,,,,,
Appoquinimink River ,109041, DuPont Pkwy. (Rt. 13),12/5/2023 9:04,32.7,11.35,0.12,130,3.15,6.5,7.5,103,1.58
109041,Appoquinimink River ,,,,,,,,,,,
Appoquinimink River ,109171, MOT Gut (west bank),12/5/2023 9:20,33.1,10.93,0.11,107,3.85,6.2,7.4,63,1.54
109171,Shellpot Creek ,,,,,,,,,,,
Shellpot Creek ,102081, Carr Rd.,12/5/2023 9:31,0.5,12.11,0.04,69,0.17,7.8,7.2,0.31,0.89
102081,Appoquinimink River ,,,,,,,,,,,
Appoquinimink River ,109121, Silver Run Rd. (Rt. 9) NE,12/5/2023 9:38,23.2,10.6,0.09,141,4.69,6.9,7.4,22.5,1.57
109121,Shellpot Creek ,,,,,,,,,,,
Shellpot Creek ,102051, Market St. (Rt. 13 Bus.),12/5/2023 10:01,0.5,12.18,0.05,88,0.2,7.7,7,0.25,1.11
102051,Appoquinimink River ,,,,,,,,,,,
Appoquinimink River ,109091, Mouth,12/5/2023 10:14,38.2,10.9,0.15,189,6.83,7.6,7.5,10.8,1.53
109091,Shellpot Creek ,,,,,,,,,,,
Shellpot Creek ,102041, Hay Rd. (Rd. 501),12/5/2023 10:18,6.4,8.97,0.09,420,0.23,7.5,6.5,1.13,1.73
102041,Little River ,,,,,,,,,,,
Little River ,204031, Bayside Dr. (Rt. 9),12/7/2023 7:05,34.9,10.7,0.16,120,12.86,6.3,7,7.08,1.36
204031,Little River ,,,,,,,,,,,
Little River ,204041, N. Little Creek Rd. (Rt. 8),12/7/2023 7:24,12.3,4.87,0.24,37,0.15,6.3,6.5,1.63,1.23
204041,Leipsic River ,,,,,,,,,,,
Leipsic River ,202191, Mt. Friendship Rd. (Rt. 15),12/7/2023 7:42,3.2,10.91,0.12,77,0.13,6.8,7.2,0.98,3.2
202191,Garrisons Lake ,,,,,,,,,,,
Garrisons Lake ,202021, DuPont Hwy. (Rt. 13),12/7/2023 7:59,10.4,10.73,0.21,19,0.11,5.6,7.1,23.2,1.75
202021,Leipsic River ,,,,,,,,,,,
Leipsic River ,202031, Denny St. (Rt. 9),12/7/2023 8:14,19.4,10.26,0.11,10,12.72,7.6,6.8,2.36,0.92
202031,Mill Creek ,,,,,,,,,,,
Mill Creek ,201021, Carter Rd. (Rd. 137),12/7/2023 8:16,5.1,9.6,0.14,17,0.11,6.1,6.5,0.89,1.41
201021,Providence Creek ,,,,,,,,,,,
Providence Creek ,201161, Duck Creek Rd. (Rt. 15),12/7/2023 8:30,12.1,11.05,0.1,58,0.12,5.9,6.5,2.75,3.72
201161,Mill Creek (Lake Como outfall) ,,,,,,,,,,,
Mill Creek (Lake Como outfall) ,201011, Rt. 13,12/7/2023 8:52,12.3,11.65,0.1,6,0.05,5.8,6.8,80.5,1.09
201011,Smyrna River ,,,,,,,,,,,
Smyrna River ,201041, Flemings Landing (Rt. 9),12/7/2023 8:54,85.8,10.77,0.14,52,8.55,8.2,7.3,7.57,1.66
201041,Blackbird Creek ,,,,,,,,,,,
Blackbird Creek ,110041, Taylors Bridge Rd. (Rt. 9),12/7/2023 9:07,15.1,10.99,0.07,52,6.01,6.7,7.3,11.7,1.41
110041,DucK Creek ,,,,,,,,,,,
DucK Creek ,201051, Smyrna Landing Rd. (Rd. 485),12/7/2023 9:09,23.4,9.58,0.1,252,1.68,5.4,7,22.5,1.78
201051,Blackbird Creek ,,,,,,,,,,,
Blackbird Creek ,110031, Blackbird Landing Rd. (Rd. 455),12/7/2023 9:18,22.6,11.64,0.13,69,3.78,5.9,7.2,40.1,1.37
110031,Blackbird Creek ,,,,,,,,,,,
Blackbird Creek ,110011, Blackbird Station Rd. (Rd. 463),12/7/2023 9:38,1.9,11.9,0.04,91,0.16,6.6,7.3,1.24,1.63
110011,Pemberton Branch ,,,,,,,,,,,
Pemberton Branch ,303341, Gravel Hill Rd. (Rt. 30),12/11/2023 7:52,6.2,9.81,0.48,4840,0.05,8.5,6.4,1.19,4.22
303341,Savannah Ditch ,,,,,,,,,,,
Savannah Ditch ,303011, Savannah Drive (Rd. 246),12/11/2023 8:14,25.6,7.99,0.17,4840,0.26,10.8,6.9,36.7,4.13
303011,Ingram Branch ,,,,,,,,,,,
Ingram Branch ,303021, Gravel Hill Rd. (Rd. 248),12/11/2023 8:23,12.4,7.7,0.2,4840,0.3,11.4,7.2,9.59,3.94
303021,Beaverdam Branch ,,,,,,,,,,,
Beaverdam Branch ,208231, Deep Grass Ln. (Rd. 384),12/11/2023 8:35,13.9,8.21,0.28,4840,0.05,9.6,5.8,1.59,1.12
208231,Beaverdam Creek ,,,,,,,,,,,
Beaverdam Creek ,303181, Carpenter Rd. (Rd. 259),12/11/2023 8:46,16.3,8.45,0.21,4840,0.05,8.7,6.6,7.31,1.08
303181,Abbotts Pond ,,,,,,,,,,,
Abbotts Pond ,208181, Abbotts Pond Rd. (Rd. 620),12/11/2023 8:49,6.4,9.41,0.04,4840,0.05,11.7,5.9,3.89,3.47
208181,Beaverdam Creek ,,,,,,,,,,,
Beaverdam Creek ,303171, Cave Neck Rd. (Rd. 88),12/11/2023 8:55,20.9,9.32,0.21,4840,0.05,9.4,6.4,14.2,2.59
303171,Silver Lake ,,,,,,,,,,,
Silver Lake ,208211, Maple Ave.,12/11/2023 9:01,6.8,10.8,0.04,1630,0.05,11.8,6.1,7.85,4.54
208211,Round Pole Branch ,,,,,,,,,,,
Round Pole Branch ,303311, Cave Neck Rd. (Rd. 88),12/11/2023 9:12,6,8.75,0.27,2600,0.05,9.5,6.4,9,2.89
303311,Broadkill River ,,,,,,,,,,,
Broadkill River ,303031, Union St (Rt. 5),12/11/2023 9:18,3.5,10.92,0.03,145,0.14,8.9,6.9,3.56,4.43
303031,Mispillion River ,,,,,,,,,,,
Mispillion River ,208021, Rt. 1,12/11/2023 9:23,11.3,10.45,0.06,3970,0.05,12.3,5.9,6.07,3.27
208021,Mispillion River ,,,,,,,,,,,
Mispillion River ,208061, Cedar Creek confluence,12/11/2023 9:35,36.9,9.4,0.02,75,24.38,11.1,7.5,12.2,0.69
208061,Red Mill Pond ,,,,,,,,,,,
Red Mill Pond ,303051, Rt. 1,12/11/2023 9:37,9.8,10.91,0.05,55,0.05,10.7,7.2,37.3,1.52
303051,Broadkill River 0.10 Miles From Mouth,,,,,,,,,,,
Broadkill River 0.10 Miles From Mouth,303061,,12/11/2023 9:52,144,9.45,0.02,20,26.15,11.2,7.8,21.9,0.48
303061,Cedar Creek ,,,,,,,,,,,
Cedar Creek ,301091, Cedar Beach Rd. (Rt. 36),12/11/2023 9:53,49.5,9.44,0.04,74,23.73,12.3,7.5,12.7,0.67
301091,Cedar Creek ,,,,,,,,,,,
Cedar Creek ,301031, Coastal Hwy. (Rt. 1),12/11/2023 10:03,39,9.87,0.07,1450,1.18,14,6.9,14.3,2.82
301031,Broadkill River ,,,,,,,,,,,
Broadkill River ,303041, Rt. 1 Bridge,12/11/2023 10:06,44.4,9.7,0.05,309,6.96,11.5,7.5,7.97,2.44
303041,Swiggetts Pond ,,,,,,,,,,,
Swiggetts Pond ,301021, Cedar Creek Rd. (Rt. 30),12/11/2023 10:12,2.4,10.01,0.02,279,0.05,11.2,7,8.53,4.09
301021,Waples Pond ,,,,,,,,,,,
Waples Pond ,303331, Rt. 1,12/11/2023 10:20,2.9,10.62,0.03,1370,0.1,9.9,7.7,2.61,3.93
303331,Clear Brook ,,,,,,,,,,,
Clear Brook ,304371, Cannon Rd. (Rt. 18),12/12/2023 7:54,4.7,10.28,0.19,4840,0.05,6.1,6.4,5.84,3.03
304371,Bucks Branch ,,,,,,,,,,,
Bucks Branch ,304381, Conrail Rd. (Rd. 546),12/12/2023 8:07,4.5,9.66,0.19,2830,0.05,6.5,6.2,1.34,7.02
304381,Raccoon Prong ,,,,,,,,,,,
Raccoon Prong ,307371, Pepperbox Rd. (Rd. 66),12/12/2023 8:22,6.8,10.08,0.34,4840,0.2,6.4,5.4,3.01,3.64
307371,Williams Pond ,,,,,,,,,,,
Williams Pond ,304321, East Poplar St.,12/12/2023 8:27,10.7,11.24,0.11,4840,0.05,8,6.6,10.3,4.65
304321,Hitch Pond Branch ,,,,,,,,,,,
Hitch Pond Branch ,307081, Pepper Pond Rd. (Rd. 449),12/12/2023 8:35,7,11.55,0.07,98,0.05,7.7,6,29.5,1.45
307081,Nanticoke River ,,,,,,,,,,,
Nanticoke River ,304151, Buoy 66 (mouth of DuPont Gut),12/12/2023 8:43,26.3,10.19,0.13,4840,0.05,8.2,6.5,6.69,2.27
304151,Nanticoke River ,,,,,,,,,,,
Nanticoke River ,304471, Rt. 13,12/12/2023 9:04,29.3,10.94,0.17,4840,0.05,8.1,5.7,9.49,2.15
304471,Nanticoke River ,,,,,,,,,,,
Nanticoke River ,304011, Sharptown,12/12/2023 9:10,22.3,10.54,0.11,2830,0.05,8.1,6.4,8.38,3.6
304011,Concord Pond ,,,,,,,,,,,
Concord Pond ,304311, German Rd. (Rd. 524),12/12/2023 9:23,17.4,8.72,0.15,4840,0.05,8.8,5.3,8.67,1.69
304311,Horsey Pond ,,,,,,,,,,,
Horsey Pond ,307171, Sharptown Rd. (Rt. 24),12/12/2023 9:41,11.9,10.12,0.15,4840,0.05,8.6,6.3,34.8,3.3
307171,Deep Creek ,,,,,,,,,,,
Deep Creek ,304741, Old Furnace Rd. (Rd. 46),12/12/2023 9:44,11.4,10.16,0.1,429,0.05,7.9,5.1,5.43,1.98
304741,Records Pond ,,,,,,,,,,,
Records Pond ,307011, Willow Street,12/12/2023 9:54,4.9,10.16,0.07,3110,0.05,8.6,6.4,14.3,3.95
307011,Gravelly Branch ,,,,,,,,,,,
Gravelly Branch ,316011, Coverdale Rd. (Rd. 525),12/12/2023 10:06,3.8,10.78,0.03,2410,0.05,9.4,5.3,1.65,1.51
316011,Broad Creek ,,,,,,,,,,,
Broad Creek ,307031, Bethel Rd. (Rd. 493),12/12/2023 10:14,16,10.87,0.1,3970,0.05,9.3,6.5,31.3,4.6
307031,Gravelly Branch ,,,,,,,,,,,
Gravelly Branch ,316031, Deer Forest Rd. (Rd. 565),12/12/2023 10:46,8.6,8.89,0.09,496,0.05,7.6,4.8,4.6,2.11
316031,Nanticoke River ,,,,,,,,,,,
Nanticoke River ,304681, Beach Hwy. (Rt. 16),12/12/2023 11:08,12.9,9.69,0.2,1370,0.05,8.1,4.9,4.62,2.87
304681,St. Jones River ,,,,,,,,,,,
St. Jones River ,205011," mouth, Bowers Beach",12/13/2023 8:36,77.7,9.74,0.15,259,21.47,10.8,6.9,9.41,1.19
205011,Indian River Inlet ,,,,,,,,,,,
Indian River Inlet ,306321, Coast Guard Station,12/13/2023 8:48,20.7,9.34,0.03,10,30.87,9,7.6,9.22,0.25
306321,St. Jones River ,,,,,,,,,,,
St. Jones River ,205041, Barkers Landing,12/13/2023 8:57,65.8,9.11,0.21,2410,1.77,8.9,7.1,11.6,1.91
205041,St. Jones River ,,,,,,,,,,,
St. Jones River ,205091, East Lebanon Rd. (Rt. 10),12/13/2023 9:18,74,9.22,0.21,1630,0.22,9.2,6.5,11,1.92
205091,Indian River Bay ,,,,,,,,,,,
Indian River Bay ,306121, Buoy 20,12/13/2023 9:20,11.4,10.13,0.04,41,28.98,7.4,8,20.4,0.25
306121,Derby Pond ,,,,,,,,,,,
Derby Pond ,205211, Boat Ramp (Rt. 13A),12/13/2023 9:38,25.5,7.69,0.14,4840,0.05,7.2,5.6,39.1,2.42
205211,Beaver Dam Ditch ,,,,,,,,,,,
Beaver Dam Ditch ,310121, Beaver Dam Rd. (Rd. 368),12/13/2023 9:53,4.1,10.99,0.03,231,0.16,7.2,7.6,8.31,2.11
310121,Moores Lake ,,,,,,,,,,,
Moores Lake ,205181, S. State St. (Rd. 27),12/13/2023 10:02,7.7,10.55,0.13,4840,0.05,8,5.6,4.07,3.6
205181,Pocomoke River ,,,,,,,,,,,
Pocomoke River ,313011, Bethel Rd. (Rd. 419),12/13/2023 10:27,4.5,9.98,0.09,58,0.05,7.7,6.7,4.6,3.65
313011,Fork Branch ,,,,,,,,,,,
Fork Branch ,205151, State College Rd. (Rd. 69),12/13/2023 10:34,5.9,10.36,0.2,2090,0.05,10.2,6,8.44,1.36
205151,Millsboro Pond ,,,,,,,,,,,
Millsboro Pond ,308071, John Williams Hwy. (Rt. 24),12/13/2023 10:57,3.3,8.83,0.06,1300,0.05,7.3,6.8,6.22,1.83
308071,Silver Lake ,,,,,,,,,,,
Silver Lake ,205191, Spillway (Dover City Park),12/13/2023 11:00,7.7,11.68,0.16,2240,0.05,8.5,5.8,8.41,1.01
205191,Little Mill Creek ,,,,,,,,,,,
Little Mill Creek ,106281, DuPont Rd.,1/9/2024 8:00,0.7,12.91,0.03,147,0.26,5.6,6.9,3.92,1.39
106281,Christina River ,,,,,,,,,,,
Christina River ,106021, Rt. 141 off Water St.,1/9/2024 8:06,18.7,12.52,0.09,922,0.13,4.8,6.7,2.93,1.96
106021,Red Clay Creek ,,,,,,,,,,,
Red Clay Creek ,103011, W. Newport Pike (Rt. 4),1/9/2024 8:24,1.9,13.32,0.08,4840,0.17,4,7,1.5,2.95
103011,White Clay Creek ,,,,,,,,,,,
White Clay Creek ,105151, Delaware Park Blvd.,1/9/2024 8:40,0.5,13.19,0.03,356,0.16,3.9,7.2,0.91,2.38
105151,Christina River near Conrail Bridge,,,,,,,,,,,
Christina River near Conrail Bridge,106291,,1/9/2024 8:42,14.7,12.46,0.09,2830,0.18,5.5,6.6,2.91,2.47
106291,Brandywine Creek ,,,,,,,,,,,
Brandywine Creek ,104011, Foot Bridge in Brandywine Park,1/9/2024 8:49,3.8,13.34,0.07,449,0.18,4.6,6.6,3.16,2.72
104011,White Clay Creek ,,,,,,,,,,,
White Clay Creek ,105171, McKees Lane,1/9/2024 9:03,2.5,13.11,0.07,977,0.15,3.7,7.3,3.46,3.43
105171,Christina River ,,,,,,,,,,,
Christina River ,106191, Nottingham Rd. (Rt. 273),1/9/2024 9:20,0.5,13.14,0.03,96,0.12,3.9,7.1,1.01,2.69
106191,Brandywine Creek ,,,,,,,,,,,
Brandywine Creek ,104021, New Bridge Rd. (Rd. 279),1/9/2024 9:27,3.5,13.05,0.05,247,0.18,5.4,6.7,2.84,2.81
104021,White Clay Creek ,,,,,,,,,,,
White Clay Creek ,105031, Chambers Rock Rd. (Rd. 329),1/9/2024 9:41,3.9,13.22,0.06,456,0.16,3.7,7.1,3.72,3.91
105031,Red Clay Creek ,,,,,,,,,,,
Red Clay Creek ,103031, Lancaster Pike (Rt. 48),1/9/2024 9:43,1.3,13.2,0.06,333,0.21,4.4,6.7,1.28,3.48
103031,Red Clay Creek ,,,,,,,,,,,
Red Clay Creek ,103041, Barley Mill Rd. (Rd. 258A),1/9/2024 9:56,1.3,12.97,0.07,237,0.25,4.6,6.8,1.49,3.84
103041,Burroughs Run ,,,,,,,,,,,
Burroughs Run ,103061, Creek Rd. (Rt. 82),1/9/2024 10:05,0.5,13.15,0.02,122,0.16,4.2,6.8,1.93,2.29
103061,Christina River ,,,,,,,,,,,
Christina River ,106141, Sunset Lake Rd. (Rt. 72),1/9/2024 10:11,2.8,12.88,0.03,523,0.12,4.3,7.1,1.64,1.76
106141,Smalleys Dam Spillway ,,,,,,,,,,,
Smalleys Dam Spillway ,106031, Smalleys Dam Rd.,1/9/2024 10:37,4.1,12.6,0.04,99,0.05,4.8,6.7,3.13,0.91
106031,Brandywine Creek ,,,,,,,,,,,
Brandywine Creek ,104051, Smith Bridge Rd. (Rd. 221),1/9/2024 11:22,0.5,12.96,0.02,43,0.2,5.7,7.1,1.3,2.54
104051,Naaman Creek S. Branch ,,,,,,,,,,,
Naaman Creek S. Branch ,101031, Darley Rd. (Rd. 207),1/10/2024 7:49,9.8,11.11,0.12,4840,0.05,10.4,6.7,0.9,1.17
101031,Naaman Creek ,,,,,,,,,,,
Naaman Creek ,101021, State Line near Hickman Rd.,1/10/2024 8:00,15.1,11.11,0.09,4840,0.05,9.5,6.3,1.38,1.12
101021,Naaman Creek South Branch ,,,,,,,,,,,
Naaman Creek South Branch ,101061, Marsh Rd. (Rt. 3),1/10/2024 8:43,6.7,11.26,0.12,4840,0.05,9.9,6.5,0.91,1.46
101061,Shellpot Creek ,,,,,,,,,,,
Shellpot Creek ,102081, Carr Rd.,1/10/2024 9:13,8.1,11.35,0.1,4840,0.05,10.2,6.6,0.86,1.02
102081,Shellpot Creek ,,,,,,,,,,,
Shellpot Creek ,102051, Market St. (Rt. 13 Bus.),1/10/2024 9:34,6.5,11.43,0.1,4840,0.1,9.5,6.5,1.02,1.12
102051,Shellpot Creek ,,,,,,,,,,,
Shellpot Creek ,102041, Hay Rd. (Rd. 501),1/10/2024 9:58,26.3,10,0.17,4840,0.05,11,6.2,1.43,1.22
102041,Beaverdam Branch ,,,,,,,,,,,
Beaverdam Branch ,208231, Deep Grass Ln. (Rd. 384),1/17/2024 7:26,2.1,11.03,0.05,147,0.05,5.5,5.7,0.53,4.61
208231,Abbotts Pond ,,,,,,,,,,,
Abbotts Pond ,208181, Abbotts Pond Rd. (Rd. 620),1/17/2024 7:38,2.3,11.91,0.04,58,0.05,2,5.4,3.91,5.67
208181,Silver Lake ,,,,,,,,,,,
Silver Lake ,208211, Maple Ave.,1/17/2024 8:19,1.2,13.1,0.03,70,0.05,3.2,5.5,1.88,4.49
208211,Mispillion River ,,,,,,,,,,,
Mispillion River ,208021, Rt. 1,1/17/2024 9:01,1.9,12.81,0.04,58,0.05,2.4,5.5,1.99,4.37
208021,Pemberton Branch ,,,,,,,,,,,
Pemberton Branch ,303341, Gravel Hill Rd. (Rt. 30),1/17/2024 9:10,1.2,10.9,0.02,97,0.05,4.9,5.9,0.63,8.57
303341,Mispillion River ,,,,,,,,,,,
Mispillion River ,208061, Cedar Creek confluence,1/17/2024 9:34,66.6,12.51,0.02,161,5.35,1.9,6.1,4.86,2.37
208061,Savannah Ditch ,,,,,,,,,,,
Savannah Ditch ,303011, Savannah Drive (Rd. 246),1/17/2024 9:34,0.5,9.51,0.08,19,0.26,2.7,7,1.46,11.4
303011,Cedar Creek ,,,,,,,,,,,
Cedar Creek ,301091, Cedar Beach Rd. (Rt. 36),1/17/2024 9:45,65.4,12.88,0.1,263,4.71,1.5,6.6,4.91,2.84
301091,Ingram Branch ,,,,,,,,,,,
Ingram Branch ,303021, Gravel Hill Rd. (Rd. 248),1/17/2024 9:51,0.5,10.6,0.08,40,0.23,2.5,7.1,1.53,9.01
