Nitrogen_Station,HUC_Watershed_1,HUC_Watershed_2,HUC_Watershed_3,HUC_Watershed_4,HUC_Watershed_5,HUC_Watershed_6,HUC_Watershed_7,HUC_Watershed_8,HUC_Watershed_9,HUC_Watershed_10,HUC_Watershed_11,HUC_Watershed_12
Fork Branch  , ,,,,,,,,,,,
Murderkill River  ,Spring Branch-Murderkill River,Ash Gut-Murderkill River,Murderkill River-Town of South Bowers,,,,,,,,,
Browns Branch  ,Browns Branch,,,,,,,,,,,
McColley Pond  ,,,,,,,,,,,,
Coursey Pond  ,,,,,,,,,,,,
Double Run  ,,,,,,,,,,,,
Sewell Branch ,,,,,,,,,,,,
Tappahanna Ditch  , Tappahanna Ditch-Choptank River,,,,,,,,,,,
Culbreth Marsh Ditch ,,,,,,,,,,,,
Cow Marsh Creek  , Cow Marsh Creek,,,,,,,,,,,
White Marsh Br.  , White Marsh Run-Maurice River,,,,,,,,,,,
Red Lion Creek  , Red Lion Creek-Delaware River, Red Lion Branch,,,,,,,,,,
C & D Canal  , C&D Canal East-Delaware River, C&D Canal West-Back Creek,,,,,,,,,,
Lums Pond  ,,,,,,,,,,,,
Dragon Creek  , Dragon Creek-Delaware River,,,,,,,,,,,
Army Creek  , Army Creek-Delaware River,,,,,,,,,,,
Trib Army Crk.  , Army Creek-Delaware River,,,,,,,,,,,
Trib Army CreeK  , Army Creek-Delaware River,,,,,,,,,,,
Murderkill River near levee , Spring Branch-Murderkill River, Ash Gut-Murderkill River, Murderkill River-Town of South Bowers,,,,,,,,,
Murderkill Rv. , Spring Branch-Murderkill River, Ash Gut-Murderkill River, Murderkill River-Town of South Bowers ,,,,,,,,,
Lewes & Rehoboth Canal,,,,,,,,,,,,
Oldmans Point (RM 74.9), ,,,,,,,,,,,
Marcus HooK (RM 78.1),,,,,,,,,,,,
Paulsboro (RM 87.9), ,,,,,,,,,,,
Florence Bend (RM 122.4),,,,,,,,,,,,
Biles Channel (RM 131.04), ,,,,,,,,,,,
Eddystone (RM 84.0),,,,,,,,,,,,
Navy Yard (RM 93.2), ,,,,,,,,,,,
Betsy Ross Bridge (RM 104.75),,,,,,,,,,,,
Benjamin Franklin Bridge (RM 100.2), ,,,,,,,,,,,
Torresdale (RM 110.70),,,,,,,,,,,,
Burlington Bristol Bridge (RM 117.80), , ,,,,,,,,,,
Reedy Island (RM 54.9),,,,,,,,,,,,
Cherry Island (RM 71.0), ,,,,,,,,,,,
New Castle (RM 66.0),,,,,,,,,,,,
Liston Point (RM 48.2), ,,,,,,,,,,,
Pea Patch Island (RM 60.6),,,,,,,,,,,,
South Joe Flogger Shoal (RM 16.5), ,,,,,,,,,,,
Mahon River (RM 31.0),,,,,,,,,,,,
Smyrna River (RM 44.0), ,,,,,,,,,,,
South Brown Shoal (RM 6.5),,,,,,,,,,,,
Ship John Light (RM 36.6),,,,,,,,,,,,
Elbow of Crossledge Shoal (RM 22.75),,,,,,,,,,,,
