station_id,timestamp,water_temp_result_type,water_temp_detection_condition,water_temp_value,water_temp_units,ph_result_type,ph_detection_condition,ph_value,ph_units,do_result_type,do_detection_condition,do_value,do_units,salinity_result_type,salinity_detection_condition,salinity_value,salinity_units,phosphate_phosphorus_result_type,phosphate_phosphorus_detection_condition,phosphate_phosphorus_value,phosphate_phosphorus_units,chlora_result_type,chlora_detection_condition,chlora_value,chlora_units,enterococcus_result_type,enterococcus_detection_condition,enterococcus_value,enterococcus_units,tss_result_type,tss_detection_condition,tss_value,tss_units,nutrient_nitrogen_result_type,nutrient_nitrogen_detection_condition,nutrient_nitrogen_value,nutrient_nitrogen_units
21DELAWQ_WQX-101021,2003-08-27 09:07:00,Actual,Detected,21.29,Deg C.,Actual,Detected,7.86,ph,Actual,Detected,7.46,mg/l,Actual,Detected,0.16,ppt,Actual,Detected,0.05,mg/l,Estimated,Detected,2.2,ug/l,Actual,Present Above Quantification Limit,4840,cfu/100 ml,Actual,Not Detected,1,mg/l,NA,NA,NA,NA
21DELAWQ_WQX-101021,2003-06-10 09:10:00,Actual,Detected,16.38,Deg C.,Actual,Detected,7.16,ph,Actual,Detected,9.41,mg/l,Actual,Detected,0.19,ppt,Actual,Detected,0.08,mg/l,Estimated,Detected,0.9,ug/l,Actual,Detected,400,cfu/100 ml,Actual,Detected,16,mg/l,NA,NA,NA,NA
21DELAWQ_WQX-101021,2004-10-20 08:53:00,Actual,Detected,12.05,Deg C.,Actual,Detected,7.34,ph,Actual,Detected,10.31,mg/l,Actual,Detected,0.11,ppt,Actual,Detected,0.08,mg/l,Estimated,Detected,1.9,ug/l,Actual,Detected,480,cfu/100 ml,Actual,Detected,18,mg/l,NA,NA,NA,NA
21DELAWQ_WQX-101021,2004-08-24 10:18:00,Actual,Detected,19.54,Deg C.,Actual,Detected,7.52,ph,Actual,Detected,8.84,mg/l,Actual,Detected,0.14,ppt,Actual,Detected,0.12,mg/l,Estimated,Detected,1,ug/l,Actual,Detected,360,cfu/100 ml,Actual,Not Detected,1,mg/l,NA,NA,NA,NA
21DELAWQ_WQX-101021,2004-07-19 11:27:00,Actual,Detected,19.59,Deg C.,Actual,Detected,6.9,ph,Actual,Detected,8.58,mg/l,Actual,Detected,0.12,ppt,Estimated,Detected,0.06,mg/l,Estimated,Detected,1.8,ug/l,Actual,Present Above Quantification Limit,4840,cfu/100 ml,Actual,Detected,14,mg/l,NA,NA,NA,NA
21DELAWQ_WQX-101021,2004-04-27 09:16:00,Actual,Detected,12.76,Deg C.,Actual,Detected,7.41,ph,Actual,Detected,10.24,mg/l,Actual,Detected,0.1,ppt,Actual,Detected,0.08,mg/l,Estimated,Detected,4.5,ug/l,Actual,Detected,933,cfu/100 ml,Actual,Detected,11,mg/l,NA,NA,NA,NA
21DELAWQ_WQX-101021,2004-09-07 10:05:00,Actual,Detected,19.38,Deg C.,Actual,Detected,7.66,ph,Actual,Detected,8.31,mg/l,Actual,Detected,0.14,ppt,Estimated,Detected,0.03,mg/l,Estimated,Detected,0.7,ug/l,Actual,Detected,107,cfu/100 ml,Estimated,Detected,4,mg/l,NA,NA,NA,NA
21DELAWQ_WQX-101021,2004-05-18 11:47:00,Actual,Detected,20.99,Deg C.,Actual,Detected,7.36,ph,Actual,Detected,9.59,mg/l,Actual,Detected,0.17,ppt,Actual,Detected,0.04,mg/l,Estimated,Detected,1.2,ug/l,Actual,Detected,370,cfu/100 ml,Actual,Detected,11,mg/l,NA,NA,NA,NA
21DELAWQ_WQX-101021,2004-08-03 11:06:00,Actual,Detected,22.91,Deg C.,Actual,Detected,7.01,ph,Actual,Detected,8.28,mg/l,Actual,Detected,0.15,ppt,Estimated,Detected,0.02,mg/l,Estimated,Detected,1,ug/l,Actual,Present Above Quantification Limit,4840,cfu/100 ml,Estimated,Detected,4,mg/l,NA,NA,NA,NA
21DELAWQ_WQX-101021,2004-07-07 11:06:00,Actual,Detected,21.1,Deg C.,Actual,Detected,6.96,ph,Actual,Detected,9.46,mg/l,Actual,Detected,0.12,ppt,Estimated,Detected,0.02,mg/l,Estimated,Detected,1.9,ug/l,Actual,Detected,390,cfu/100 ml,Actual,Not Detected,1,mg/l,NA,NA,NA,NA
21DELAWQ_WQX-101021,2004-06-07 11:45:00,Actual,Detected,16.29,Deg C.,Actual,Detected,7.52,ph,Actual,Detected,9.85,mg/l,Actual,Detected,0.15,ppt,Estimated,Detected,0.02,mg/l,Estimated,Detected,0.6,ug/l,Actual,Detected,267,cfu/100 ml,Estimated,Detected,2,mg/l,NA,NA,NA,NA
21DELAWQ_WQX-101021,2004-06-23 10:25:00,Actual,Detected,19.85,Deg C.,Actual,Detected,7.53,ph,Actual,Detected,8.71,mg/l,Actual,Detected,0.18,ppt,Actual,Detected,0.05,mg/l,Estimated,Detected,0.7,ug/l,Actual,Detected,933,cfu/100 ml,Actual,Detected,7,mg/l,NA,NA,NA,NA
21DELAWQ_WQX-101021,2004-09-27 11:01:00,Actual,Detected,18.1,Deg C.,Actual,Detected,7.6,ph,Actual,Detected,9.6,mg/l,Actual,Detected,0.18,ppt,Estimated,Detected,0.04,mg/l,Estimated,Detected,0.5,ug/l,Actual,Detected,153,cfu/100 ml,Actual,Not Detected,1,mg/l,NA,NA,NA,NA
21DELAWQ_WQX-101021,2005-04-18 09:03:00,Actual,Detected,11.01,Deg C.,Actual,Detected,7.63,ph,Actual,Detected,10.8,mg/l,Actual,Detected,0.17,ppt,Estimated,Detected,0.02,mg/l,Actual,Detected,2.63,ug/l,Actual,Detected,340,cfu/100 ml,Estimated,Detected,2,mg/l,NA,NA,NA,NA
21DELAWQ_WQX-101021,2005-08-22 08:50:00,Actual,Detected,21.28,Deg C.,Actual,Detected,7.67,ph,Actual,Detected,9.6,mg/l,Actual,Detected,0.17,ppt,Actual,Detected,0.04,mg/l,Actual,Detected,1.96,ug/l,Actual,Detected,40,cfu/100 ml,Actual,Not Detected,1,mg/l,Actual,Detected,1.74,mg/l
21DELAWQ_WQX-101021,2005-06-15 09:57:00,Actual,Detected,22.86,Deg C.,Actual,Detected,7.82,ph,Actual,Detected,7.51,mg/l,Actual,Detected,0.18,ppt,Actual,Detected,0.04,mg/l,Actual,Detected,0.78,ug/l,Actual,Detected,340,cfu/100 ml,Actual,Not Detected,1,mg/l,NA,NA,NA,NA
21DELAWQ_WQX-101021,2005-10-19 08:37:00,Actual,Detected,12.78,Deg C.,Actual,Detected,8.11,ph,Actual,Detected,11.4,mg/l,Actual,Detected,0.18,ppt,Actual,Detected,0.02,mg/l,Actual,Detected,0.56,ug/l,Actual,Detected,290,cfu/100 ml,Estimated,Detected,2,mg/l,Actual,Detected,1.83,mg/l
21DELAWQ_WQX-101021,2006-08-29 08:25:00,Actual,Detected,24.64,Deg C.,Actual,Detected,6.87,ph,Actual,Detected,6.9,mg/l,Actual,Detected,0.64,ppt,Actual,Detected,0.03,mg/l,Actual,Detected,0.89,ug/l,Actual,Detected,400,cfu/100 ml,Actual,Detected,5,mg/l,Actual,Detected,1.29,mg/l
21DELAWQ_WQX-101021,2006-07-12 10:13:00,Actual,Detected,22.49,Deg C.,Actual,Detected,7.68,ph,Actual,Detected,8.66,mg/l,Actual,Detected,0.2,ppt,Actual,Detected,0.02,mg/l,Actual,Detected,1.8,ug/l,Actual,Detected,190,cfu/100 ml,Actual,Not Detected,1,mg/l,Actual,Detected,1.74,mg/l
21DELAWQ_WQX-101021,2006-01-04 08:23:00,Actual,Detected,5.4,Deg C.,Actual,Detected,7.67,ph,Actual,Detected,10.8,mg/l,Actual,Detected,0.15,ppt,Actual,Detected,0.03,mg/l,Actual,Detected,1.93,ug/l,Actual,Detected,260,cfu/100 ml,Estimated,Detected,4,mg/l,Actual,Detected,2.11,mg/l
21DELAWQ_WQX-101021,2006-09-26 08:50:00,Actual,Detected,15.82,Deg C.,Actual,Detected,7.36,ph,Actual,Detected,6.9,mg/l,Actual,Detected,0.3,ppt,Actual,Detected,0.02,mg/l,Actual,Detected,1.39,ug/l,Actual,Detected,500,cfu/100 ml,Estimated,Detected,2,mg/l,Actual,Detected,1.86,mg/l
21DELAWQ_WQX-101021,2006-12-05 09:03:00,Actual,Detected,3.45,Deg C.,Actual,Detected,7.66,ph,Actual,Detected,13.45,mg/l,Actual,Detected,0.17,ppt,Actual,Detected,0.01,mg/l,Actual,Detected,0.39,ug/l,Actual,Detected,93,cfu/100 ml,Actual,Not Detected,1,mg/l,Actual,Detected,1.88,mg/l
21DELAWQ_WQX-101021,2006-05-17 08:35:00,Actual,Detected,13.06,Deg C.,Actual,Detected,7.57,ph,Actual,Detected,9.81,mg/l,Actual,Detected,0.14,ppt,Actual,Detected,0.04,mg/l,Actual,Detected,1.53,ug/l,Actual,Detected,600,cfu/100 ml,Actual,Detected,6,mg/l,Actual,Detected,1.46,mg/l
21DELAWQ_WQX-101021,2006-03-15 08:27:00,Actual,Detected,7.13,Deg C.,Actual,Detected,8.28,ph,Actual,Detected,10.8,mg/l,Actual,Detected,0.19,ppt,Actual,Detected,0.02,mg/l,Actual,Detected,2.64,ug/l,Actual,Detected,43,cfu/100 ml,Estimated,Detected,2,mg/l,Actual,Detected,1.96,mg/l
21DELAWQ_WQX-101021,2006-10-24 08:51:00,Actual,Detected,9.12,Deg C.,Actual,Detected,7.43,ph,Actual,Detected,10.78,mg/l,Actual,Detected,0.32,ppt,Actual,Detected,0.02,mg/l,Actual,Detected,0.23,ug/l,Actual,Detected,160,cfu/100 ml,Actual,Not Detected,1,mg/l,Actual,Detected,1.6,mg/l
21DELAWQ_WQX-101021,2006-11-01 08:52:00,Actual,Detected,12.22,Deg C.,Actual,Detected,7.1,ph,Actual,Detected,9.9,mg/l,Actual,Detected,0.3,ppt,Actual,Detected,0.02,mg/l,Actual,Detected,0.23,ug/l,Actual,Detected,190,cfu/100 ml,Actual,Not Detected,1,mg/l,Actual,Detected,2.04,mg/l
21DELAWQ_WQX-101021,2006-10-19 10:17:00,Actual,Detected,14.94,Deg C.,Actual,Detected,7.89,ph,Actual,Detected,9.44,mg/l,Actual,Detected,0.14,ppt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21DELAWQ_WQX-101021,2007-08-14 08:21:00,Actual,Detected,19.81,Deg C.,Actual,Detected,7.66,ph,Actual,Detected,7.82,mg/l,Actual,Detected,0.17,ppt,Actual,Detected,0.03,mg/l,Actual,Detected,0.64,ug/l,Actual,Detected,1270,cfu/100 ml,Estimated,Detected,3,mg/l,Actual,Detected,1.71,mg/l
21DELAWQ_WQX-101021,2007-07-18 09:05:00,Actual,Detected,22.47,Deg C.,Actual,Detected,7.58,ph,Actual,Detected,8.5,mg/l,Actual,Detected,0.18,ppt,Actual,Detected,0.04,mg/l,Actual,Detected,1.46,ug/l,Actual,Detected,1370,cfu/100 ml,Actual,Not Detected,1,mg/l,Actual,Detected,1.75,mg/l
21DELAWQ_WQX-101021,2007-09-19 08:29:00,Actual,Detected,14.7,Deg C.,Actual,Detected,7.64,ph,Actual,Detected,9.1,mg/l,Actual,Detected,0.2,ppt,Estimated,Detected,0.24,mg/l,Actual,Detected,18.6,ug/l,Actual,Detected,580,cfu/100 ml,Actual,Detected,129,mg/l,Estimated,Detected,3.25,mg/l
21DELAWQ_WQX-101021,2007-05-02 08:47:00,Actual,Detected,13.86,Deg C.,Actual,Detected,7.35,ph,Actual,Detected,10.4,mg/l,Actual,Detected,0.18,ppt,Actual,Not Detected,0,mg/l,Actual,Detected,1.36,ug/l,Actual,Detected,510,cfu/100 ml,Actual,Not Detected,1,mg/l,Actual,Detected,1.76,mg/l
21DELAWQ_WQX-101021,2007-03-14 08:55:00,Actual,Detected,7.66,Deg C.,Actual,Detected,8.32,ph,Actual,Detected,11.4,mg/l,Actual,Detected,0.23,ppt,Estimated,Detected,0.01,mg/l,Actual,Detected,1.85,ug/l,Actual,Detected,33,cfu/100 ml,Actual,Not Detected,1,mg/l,Actual,Detected,2.03,mg/l
21DELAWQ_WQX-101021,2007-10-29 08:34:00,Actual,Detected,10.19,Deg C.,Actual,Detected,8.08,ph,Actual,Detected,11.47,mg/l,Actual,Detected,0.14,ppt,Actual,Detected,0.04,mg/l,Actual,Detected,0.51,ug/l,Actual,Detected,1200,cfu/100 ml,Estimated,Detected,2,mg/l,Estimated,Detected,1.67,mg/l
21DELAWQ_WQX-101021,2007-11-28 09:02:00,Actual,Detected,6.27,Deg C.,Actual,Detected,7.66,ph,Actual,Detected,14.34,mg/l,Actual,Detected,0.16,ppt,Actual,Detected,0.03,mg/l,Actual,Detected,0.83,ug/l,Actual,Detected,310,cfu/100 ml,Estimated,Detected,2,mg/l,Actual,Detected,1.11,mg/l
21DELAWQ_WQX-101021,2007-04-04 09:16:00,Actual,Detected,9.96,Deg C.,Actual,Detected,7.7,ph,Actual,Detected,10.68,mg/l,Actual,Detected,0.21,ppt,Actual,Detected,0.07,mg/l,Actual,Detected,19.2,ug/l,Actual,Detected,1030,cfu/100 ml,Actual,Detected,34,mg/l,Actual,Detected,2.09,mg/l
21DELAWQ_WQX-101021,2007-01-29 08:44:00,Actual,Detected,1.86,Deg C.,Actual,Detected,6.91,ph,Actual,Detected,14.24,mg/l,Actual,Detected,0.22,ppt,Estimated,Detected,0.01,mg/l,Actual,Detected,1.81,ug/l,Actual,Detected,13,cfu/100 ml,Actual,Not Detected,1,mg/l,Actual,Detected,2.4,mg/l
21DELAWQ_WQX-101021,2008-11-24 11:14:00,Actual,Detected,2.16,Deg C.,Actual,Detected,7.5,ph,Actual,Detected,13.64,mg/l,Actual,Detected,0.19,ppt,Actual,Detected,0.02,mg/l,Estimated,Detected,0.1,ug/l,Actual,Detected,73,cfu/100 ml,Actual,Not Detected,0.5,mg/l,Actual,Detected,1.67,mg/l
21DELAWQ_WQX-101021,2008-01-16 08:24:00,Actual,Detected,2.42,Deg C.,Actual,Detected,7.84,ph,Actual,Detected,14.4,mg/l,Actual,Detected,0.18,ppt,Estimated,Detected,0.01,mg/l,Actual,Detected,0.33,ug/l,Actual,Detected,3,cfu/100 ml,Estimated,Detected,1,mg/l,Actual,Detected,2.12,mg/l
21DELAWQ_WQX-101021,2008-06-04 09:30:00,Actual,Detected,18.66,Deg C.,Actual,Detected,8.07,ph,Actual,Detected,8.79,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,0.23,mg/l,Actual,Detected,6.1,ug/l,Actual,Present Above Quantification Limit,4840,cfu/100 ml,Actual,Detected,105,mg/l,Actual,Detected,1.59,mg/l
21DELAWQ_WQX-101021,2008-08-06 09:53:00,Actual,Detected,22.36,Deg C.,Actual,Detected,7.76,ph,Actual,Detected,7.57,mg/l,Actual,Detected,0.19,ppt,Actual,Detected,0.03,mg/l,Actual,Detected,1.02,ug/l,Actual,Detected,500,cfu/100 ml,Estimated,Detected,1,mg/l,Actual,Detected,1.49,mg/l
21DELAWQ_WQX-101021,2008-07-16 08:57:00,Actual,Detected,20.32,Deg C.,Actual,Detected,7.92,ph,Actual,Detected,7.97,mg/l,Actual,Detected,0.16,ppt,Actual,Detected,0.04,mg/l,Actual,Detected,0.87,ug/l,Actual,Detected,260,cfu/100 ml,Actual,Detected,2,mg/l,Actual,Detected,1.26,mg/l
21DELAWQ_WQX-101021,2008-12-15 09:28:00,Actual,Detected,6.12,Deg C.,Actual,Detected,8.66,ph,Actual,Detected,13.57,mg/l,Actual,Detected,0.16,ppt,Actual,Detected,0.02,mg/l,Actual,Detected,0.33,ug/l,Actual,Detected,163,cfu/100 ml,Actual,Detected,2,mg/l,Actual,Detected,1.71,mg/l
21DELAWQ_WQX-101021,2008-05-07 08:31:00,Actual,Detected,13.8,Deg C.,Actual,Detected,7.7,ph,Actual,Detected,9.19,mg/l,Actual,Detected,0.19,ppt,Actual,Detected,0.02,mg/l,Actual,Detected,2.25,ug/l,Actual,Detected,390,cfu/100 ml,Actual,Detected,2,mg/l,Actual,Detected,1.73,mg/l
21DELAWQ_WQX-101021,2008-10-28 09:08:00,Actual,Detected,8.23,Deg C.,Actual,Detected,7.97,ph,Actual,Detected,10.58,mg/l,Actual,Detected,0.1,ppt,Actual,Detected,0.05,mg/l,Actual,Detected,1.05,ug/l,Actual,Present Above Quantification Limit,4840,cfu/100 ml,Actual,Detected,6,mg/l,Actual,Detected,0.92,mg/l
21DELAWQ_WQX-101021,2008-04-29 08:34:00,Actual,Detected,12.61,Deg C.,Actual,Detected,8.11,ph,Actual,Detected,9.64,mg/l,Actual,Detected,0.13,ppt,Actual,Detected,0.04,mg/l,Actual,Detected,6.07,ug/l,Actual,Present Above Quantification Limit,4840,cfu/100 ml,Actual,Detected,5,mg/l,Actual,Detected,1.35,mg/l
21DELAWQ_WQX-101021,2008-03-04 08:23:00,Actual,Detected,8.14,Deg C.,Actual,Detected,7.83,ph,Actual,Detected,12.63,mg/l,Actual,Detected,0.19,ppt,Estimated,Detected,0.01,mg/l,Actual,Detected,2.95,ug/l,Actual,Detected,23,cfu/100 ml,Actual,Not Detected,0.5,mg/l,Actual,Detected,1.91,mg/l
21DELAWQ_WQX-101021,2008-09-03 10:11:00,Actual,Detected,19.88,Deg C.,Actual,Detected,8.05,ph,Actual,Detected,7.9,mg/l,Actual,Detected,0.2,ppt,Actual,Detected,0.03,mg/l,Actual,Detected,1.42,ug/l,Actual,Detected,133,cfu/100 ml,Actual,Detected,2,mg/l,Actual,Detected,1.35,mg/l
21DELAWQ_WQX-101021,2008-02-06 08:21:00,Actual,Detected,8.34,Deg C.,Actual,Detected,7.86,ph,Actual,Detected,12.19,mg/l,Actual,Detected,0.18,ppt,Actual,Detected,0.01,mg/l,Actual,Detected,0.88,ug/l,Actual,Detected,70,cfu/100 ml,Estimated,Detected,1,mg/l,Actual,Detected,1.88,mg/l
21DELAWQ_WQX-101021,2009-04-28 10:18:00,Actual,Detected,18.54,Deg C.,Actual,Detected,7.85,ph,Actual,Detected,9.05,mg/l,Actual,Detected,0.21,ppt,Actual,Detected,0.04,mg/l,Actual,Detected,3.74,ug/l,Actual,Detected,93,cfu/100 ml,Actual,Detected,4,mg/l,Actual,Detected,1.64,mg/l
21DELAWQ_WQX-101021,2009-05-27 09:34:00,Actual,Detected,14.24,Deg C.,Actual,Detected,7.9,ph,Actual,Detected,9.24,mg/l,Actual,Detected,0.18,ppt,Actual,Detected,0.04,mg/l,Actual,Detected,0.44,ug/l,Actual,Detected,560,cfu/100 ml,Actual,Detected,2,mg/l,Actual,Detected,1.77,mg/l
21DELAWQ_WQX-101021,2009-07-07 08:35:00,Actual,Detected,19.11,Deg C.,Actual,Detected,7.17,ph,Actual,Detected,8.53,mg/l,Actual,Detected,0.18,ppt,Actual,Detected,0.03,mg/l,Actual,Detected,0.44,ug/l,Actual,Detected,193,cfu/100 ml,Actual,Detected,2,mg/l,Actual,Detected,1.63,mg/l
21DELAWQ_WQX-101021,2009-09-02 09:31:00,Actual,Detected,16.77,Deg C.,Actual,Detected,8.07,ph,Actual,Detected,9.08,mg/l,Actual,Detected,0.18,ppt,Estimated,Detected,0.03,mg/l,Actual,Detected,0.4,ug/l,Actual,Detected,480,cfu/100 ml,Actual,Detected,3,mg/l,Actual,Detected,1.81,mg/l
21DELAWQ_WQX-101021,2009-06-30 08:35:00,Actual,Detected,19.49,Deg C.,Actual,Detected,7.99,ph,Actual,Detected,7.91,mg/l,Actual,Detected,0.19,ppt,Actual,Detected,0.04,mg/l,Actual,Detected,0.51,ug/l,Actual,Detected,440,cfu/100 ml,Actual,Detected,2,mg/l,Actual,Detected,1.9,mg/l
21DELAWQ_WQX-101021,2009-01-26 09:58:00,Actual,Detected,0.23,Deg C.,Actual,Detected,9.17,ph,Actual,Detected,16.68,mg/l,Actual,Detected,0.19,ppt,Actual,Detected,0.01,mg/l,Actual,Detected,0.98,ug/l,Actual,Detected,50,cfu/100 ml,Estimated,Detected,1,mg/l,Actual,Detected,2.15,mg/l
21DELAWQ_WQX-101021,2009-11-03 10:09:00,Actual,Detected,10.8,Deg C.,Actual,Detected,8.08,ph,Actual,Detected,10.45,mg/l,Actual,Detected,0.17,ppt,Actual,Detected,0.03,mg/l,Estimated,Detected,0.11,ug/l,Actual,Detected,67,cfu/100 ml,Actual,Not Detected,0.5,mg/l,Actual,Detected,2.42,mg/l
21DELAWQ_WQX-101021,2009-12-02 09:27:00,Actual,Detected,6.19,Deg C.,Actual,Detected,8.19,ph,Actual,Detected,11.96,mg/l,Actual,Detected,0.18,ppt,Actual,Detected,0.02,mg/l,Actual,Detected,0.45,ug/l,Actual,Detected,50,cfu/100 ml,Actual,Not Detected,0.5,mg/l,Actual,Detected,1.73,mg/l
21DELAWQ_WQX-101021,2009-03-30 09:13:00,Actual,Detected,9.23,Deg C.,Actual,Detected,8.24,ph,Actual,Detected,10.73,mg/l,Actual,Detected,0.22,ppt,Actual,Not Detected,0.03,mg/l,Actual,Detected,3.38,ug/l,Actual,Detected,600,cfu/100 ml,Actual,Detected,2,mg/l,Actual,Detected,1.62,mg/l
21DELAWQ_WQX-101021,2009-10-06 09:16:00,Actual,Detected,12.41,Deg C.,Actual,Detected,8.23,ph,Actual,Detected,10.09,mg/l,Actual,Detected,0.19,ppt,Actual,Detected,0.02,mg/l,Actual,Detected,0.51,ug/l,Actual,Detected,150,cfu/100 ml,Estimated,Detected,1,mg/l,Actual,Detected,1.87,mg/l
21DELAWQ_WQX-101021,2009-08-04 08:55:00,Actual,Detected,20.59,Deg C.,Actual,Detected,8.06,ph,Actual,Detected,9.23,mg/l,Actual,Detected,0.15,ppt,Estimated,Detected,0.04,mg/l,Actual,Detected,1.23,ug/l,Actual,Detected,1670,cfu/100 ml,Actual,Detected,4,mg/l,Actual,Detected,1.44,mg/l
21DELAWQ_WQX-101021,2009-03-18 09:33:00,Actual,Detected,7.15,Deg C.,Actual,Detected,8.15,ph,Actual,Detected,11.58,mg/l,Actual,Detected,0.21,ppt,Actual,Not Detected,0.03,mg/l,Actual,Detected,1.68,ug/l,Actual,Detected,17,cfu/100 ml,Actual,Not Detected,0.5,mg/l,Actual,Detected,1.7,mg/l
