station_id,timestamp,ph_result_type,ph_detection_condition,ph_value,ph_units,phosphate_phosphorus_result_type,phosphate_phosphorus_detection_condition,phosphate_phosphorus_value,phosphate_phosphorus_units,water_temp_result_type,water_temp_detection_condition,water_temp_value,water_temp_units,chlora_result_type,chlora_detection_condition,chlora_value,chlora_units,do_result_type,do_detection_condition,do_value,do_units,enterococcus_result_type,enterococcus_detection_condition,enterococcus_value,enterococcus_units,tss_result_type,tss_detection_condition,tss_value,tss_units,salinity_result_type,salinity_detection_condition,salinity_value,salinity_units,nutrient_nitrogen_result_type,nutrient_nitrogen_detection_condition,nutrient_nitrogen_value,nutrient_nitrogen_units
21DELAWQ_WQX-304681,2010-05-11 11:09:00,Actual,Detected,6.9,ph,Actual,Detected,0.04,mg/l,Actual,Detected,12.39,Deg C.,Actual,Detected,2.24,ug/l,Actual,Detected,8.95,mg/l,Actual,Not Detected,1.5,cfu/100 ml,Actual,Detected,5,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,4.68,mg/l
21DELAWQ_WQX-304681,2010-06-07 11:17:00,Actual,Detected,6.65,ph,Actual,Detected,0.05,mg/l,Actual,Detected,21.02,Deg C.,Actual,Detected,1.67,ug/l,Actual,Detected,7.57,mg/l,Actual,Detected,110,cfu/100 ml,Actual,Detected,4,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,3.73,mg/l
21DELAWQ_WQX-304681,2011-01-10 11:06:00,Actual,Detected,7.8,ph,Actual,Detected,0.03,mg/l,Actual,Detected,2.58,Deg C.,Actual,Detected,2.77,ug/l,Actual,Detected,11.42,mg/l,Actual,Detected,23,cfu/100 ml,Actual,Detected,3,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,3.92,mg/l
21DELAWQ_WQX-304681,2011-08-08 10:37:00,Actual,Detected,6.6,ph,Actual,Detected,0.03,mg/l,Actual,Detected,24.65,Deg C.,Actual,Detected,24.5,ug/l,Actual,Detected,5.19,mg/l,Actual,Present Above Quantification Limit,4840,cfu/100 ml,Actual,Detected,12,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,3.1,mg/l
21DELAWQ_WQX-304681,2011-04-18 11:31:00,Actual,Detected,7.24,ph,Actual,Detected,0.08,mg/l,Actual,Detected,13.56,Deg C.,Actual,Detected,5.13,ug/l,Actual,Detected,7.58,mg/l,Actual,Detected,120,cfu/100 ml,Actual,Detected,6,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,3.18,mg/l
21DELAWQ_WQX-304681,2011-05-09 11:24:00,Actual,Detected,6.97,ph,Actual,Detected,0.04,mg/l,Actual,Detected,16.28,Deg C.,Actual,Detected,2.8,ug/l,Actual,Detected,8.38,mg/l,Actual,Detected,127,cfu/100 ml,Actual,Detected,4,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,3.46,mg/l
21DELAWQ_WQX-304681,2011-06-06 11:18:00,Actual,Detected,7.04,ph,Actual,Detected,0.05,mg/l,Actual,Detected,19.96,Deg C.,Actual,Detected,5.68,ug/l,Actual,Detected,7.91,mg/l,NA,NA,NA,NA,Actual,Detected,8,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,2.95,mg/l
21DELAWQ_WQX-304681,2011-02-07 11:07:00,Actual,Detected,8.15,ph,Actual,Detected,0.03,mg/l,Actual,Detected,7.37,Deg C.,Actual,Detected,4.57,ug/l,Actual,Detected,9.49,mg/l,Actual,Detected,17,cfu/100 ml,Actual,Detected,3,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,3.64,mg/l
21DELAWQ_WQX-304681,2011-10-10 11:09:00,Actual,Detected,6.2,ph,Actual,Detected,0.04,mg/l,Actual,Detected,16.06,Deg C.,Actual,Detected,3.85,ug/l,Actual,Detected,8.08,mg/l,Actual,Detected,73,cfu/100 ml,Actual,Detected,8,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,3.12,mg/l
21DELAWQ_WQX-304681,2011-12-05 13:06:00,Actual,Detected,6.73,ph,Actual,Detected,0.03,mg/l,NA,NA,NA,NA,Actual,Detected,0.55,ug/l,NA,NA,NA,NA,Actual,Detected,3,cfu/100 ml,Actual,Detected,3,mg/l,NA,NA,NA,NA,Actual,Detected,3.91,mg/l
21DELAWQ_WQX-304681,2011-03-07 11:13:00,Actual,Detected,7.97,ph,Actual,Detected,0.24,mg/l,Actual,Detected,9.65,Deg C.,Actual,Detected,12.4,ug/l,Actual,Detected,8,mg/l,Actual,Detected,1470,cfu/100 ml,Actual,Detected,19,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,3.03,mg/l
21DELAWQ_WQX-304681,2012-12-12 11:20:00,Actual,Detected,6.22,ph,Actual,Detected,0.05,mg/l,Actual,Detected,9.93,Deg C.,Actual,Detected,7.02,ug/l,Actual,Detected,9.04,mg/l,Actual,Detected,43,cfu/100 ml,Actual,Detected,4,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,3.77,mg/l
21DELAWQ_WQX-304681,2012-06-12 11:13:00,Actual,Detected,6.41,ph,Actual,Detected,0.03,mg/l,Actual,Detected,22.9,Deg C.,Actual,Detected,1.96,ug/l,Actual,Detected,3.47,mg/l,Actual,Detected,480,cfu/100 ml,Actual,Detected,2,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,2.2,mg/l
21DELAWQ_WQX-304681,2012-02-14 11:48:00,Actual,Detected,6.39,ph,Actual,Detected,0.03,mg/l,Actual,Detected,7.5,Deg C.,Actual,Detected,2.12,ug/l,Actual,Detected,10.49,mg/l,Actual,Detected,3,cfu/100 ml,Actual,Detected,2,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,4.33,mg/l
21DELAWQ_WQX-304681,2012-04-17 11:39:00,Actual,Detected,6.26,ph,Actual,Detected,0.04,mg/l,Actual,Detected,18.68,Deg C.,Actual,Detected,2.55,ug/l,Actual,Detected,6.97,mg/l,Actual,Detected,40,cfu/100 ml,Actual,Detected,2,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,3.14,mg/l
21DELAWQ_WQX-304681,2012-10-15 11:32:00,Actual,Detected,6.37,ph,Actual,Detected,0.04,mg/l,Actual,Detected,16.12,Deg C.,Actual,Detected,58.6,ug/l,Actual,Detected,7.01,mg/l,Actual,Detected,43,cfu/100 ml,Actual,Detected,8,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,3.76,mg/l
21DELAWQ_WQX-304681,2012-08-27 11:15:00,Actual,Detected,6.45,ph,Actual,Detected,0.05,mg/l,Actual,Detected,22.64,Deg C.,Actual,Detected,45.3,ug/l,Actual,Detected,5.45,mg/l,Actual,Detected,180,cfu/100 ml,Actual,Detected,7,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,2.6,mg/l
21DELAWQ_WQX-304681,2013-10-21 11:42:00,Actual,Detected,6.17,ph,Actual,Detected,0.04,mg/l,Actual,Detected,13.69,Deg C.,Actual,Detected,0.64,ug/l,Actual,Detected,6.87,mg/l,Actual,Detected,8,cfu/100 ml,Actual,Not Detected,0.5,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,3.2,mg/l
21DELAWQ_WQX-304681,2013-06-18 11:28:00,Actual,Detected,6.36,ph,Actual,Detected,0.1,mg/l,Actual,Detected,21.81,Deg C.,Actual,Detected,6.56,ug/l,Actual,Detected,7.43,mg/l,Actual,Detected,73,cfu/100 ml,Actual,Detected,2,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,3.64,mg/l
21DELAWQ_WQX-304681,2013-08-19 11:41:00,Actual,Detected,6.34,ph,Actual,Detected,0.02,mg/l,Actual,Detected,19,Deg C.,Actual,Detected,1.07,ug/l,Actual,Detected,6.69,mg/l,Actual,Detected,63,cfu/100 ml,Actual,Not Detected,0.5,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,3.32,mg/l
21DELAWQ_WQX-304681,2013-02-19 11:07:00,Actual,Detected,6.41,ph,Actual,Detected,0.04,mg/l,Actual,Detected,6.92,Deg C.,Actual,Detected,3.07,ug/l,Actual,Detected,10.69,mg/l,Actual,Detected,37,cfu/100 ml,Actual,Detected,4,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,4.1,mg/l
21DELAWQ_WQX-304681,2013-04-17 10:59:00,Actual,Detected,6.22,ph,Actual,Detected,0.05,mg/l,Actual,Detected,16.32,Deg C.,Actual,Detected,8.88,ug/l,Actual,Detected,8.86,mg/l,Actual,Detected,3,cfu/100 ml,Actual,Detected,6,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,3.46,mg/l
21DELAWQ_WQX-304681,2013-12-16 11:47:00,Actual,Detected,6.29,ph,Actual,Detected,0.12,mg/l,Actual,Detected,6.62,Deg C.,Actual,Detected,1.55,ug/l,Actual,Detected,9.77,mg/l,Actual,Detected,75,cfu/100 ml,Estimated,Detected,1,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,3.32,mg/l
21DELAWQ_WQX-304681,2014-12-15 11:55:00,Actual,Detected,6.26,ph,Actual,Detected,0.04,mg/l,Actual,Detected,8.61,Deg C.,Actual,Detected,1.09,ug/l,Actual,Detected,9.03,mg/l,Actual,Detected,8,cfu/100 ml,Actual,Not Detected,0.5,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,4.05,mg/l
21DELAWQ_WQX-304681,2014-11-24 12:26:00,Actual,Detected,6.14,ph,Actual,Detected,0.02,mg/l,Actual,Detected,14.51,Deg C.,Actual,Detected,1.08,ug/l,Actual,Detected,7.41,mg/l,Actual,Detected,22,cfu/100 ml,Actual,Not Detected,0.5,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,4.08,mg/l
21DELAWQ_WQX-304681,2014-09-09 11:50:00,Actual,Detected,6.47,ph,Actual,Detected,0.05,mg/l,Actual,Detected,19.78,Deg C.,Actual,Detected,2.77,ug/l,Actual,Detected,4.96,mg/l,Actual,Detected,40,cfu/100 ml,Actual,Detected,2,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,3.51,mg/l
21DELAWQ_WQX-304681,2014-04-16 11:23:00,Actual,Detected,6.31,ph,Actual,Detected,0.24,mg/l,Actual,Detected,8.44,Deg C.,Actual,Detected,11.1,ug/l,Actual,Detected,8.93,mg/l,Actual,Detected,521,cfu/100 ml,Actual,Detected,20,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,3.62,mg/l
21DELAWQ_WQX-304681,2014-10-14 12:12:00,Actual,Detected,6.21,ph,Actual,Detected,0.04,mg/l,Actual,Detected,16.99,Deg C.,Actual,Detected,1.62,ug/l,Actual,Detected,6.43,mg/l,Actual,Detected,30,cfu/100 ml,Actual,Detected,2,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,3.68,mg/l
21DELAWQ_WQX-304681,2014-06-23 11:28:00,Actual,Detected,6.52,ph,Actual,Detected,0.09,mg/l,Actual,Detected,21.25,Deg C.,Actual,Detected,1.9,ug/l,Actual,Detected,6.07,mg/l,Actual,Detected,128,cfu/100 ml,Estimated,Detected,1,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,3.46,mg/l
21DELAWQ_WQX-304681,2014-08-25 11:35:00,Actual,Detected,6.36,ph,Actual,Detected,0.12,mg/l,Actual,Detected,19.6,Deg C.,Actual,Detected,4.15,ug/l,Actual,Detected,5.59,mg/l,Actual,Detected,79,cfu/100 ml,Estimated,Detected,1,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,3.62,mg/l
21DELAWQ_WQX-304681,2014-07-21 11:09:00,Actual,Detected,6.3,ph,Actual,Detected,0.1,mg/l,Actual,Detected,20.52,Deg C.,Actual,Detected,49,ug/l,Actual,Detected,5.49,mg/l,Actual,Detected,345,cfu/100 ml,Actual,Detected,5,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,3.88,mg/l
21DELAWQ_WQX-304681,2014-02-10 11:54:00,Actual,Detected,6.33,ph,Actual,Detected,0.07,mg/l,Actual,Detected,5.87,Deg C.,Actual,Detected,1.11,ug/l,Actual,Detected,10.17,mg/l,Actual,Detected,2,cfu/100 ml,Actual,Detected,2,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,4.08,mg/l
21DELAWQ_WQX-304681,2015-11-30 12:09:00,Actual,Detected,6.43,ph,Actual,Detected,0.04,mg/l,Actual,Detected,9.91,Deg C.,Actual,Detected,1.88,ug/l,Actual,Detected,8.94,mg/l,Actual,Detected,43,cfu/100 ml,Actual,Detected,4,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,4.2,mg/l
21DELAWQ_WQX-304681,2015-03-16 12:08:00,Actual,Detected,6.1,ph,Actual,Detected,0.07,mg/l,Actual,Detected,9.12,Deg C.,Actual,Detected,5.46,ug/l,Actual,Detected,9.34,mg/l,Actual,Detected,6,cfu/100 ml,Actual,Detected,14,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,3.5,mg/l
21DELAWQ_WQX-304681,2015-01-13 11:46:00,Actual,Detected,6.57,ph,Actual,Detected,0.13,mg/l,Actual,Detected,4.39,Deg C.,Actual,Detected,5.2,ug/l,Actual,Detected,11.65,mg/l,Actual,Detected,1300,cfu/100 ml,Actual,Detected,10,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,3.11,mg/l
21DELAWQ_WQX-304681,2015-12-14 11:40:00,Actual,Detected,6.35,ph,Actual,Detected,0.04,mg/l,Actual,Detected,15.05,Deg C.,Actual,Detected,1.64,ug/l,Actual,Detected,9.66,mg/l,Actual,Detected,40,cfu/100 ml,Actual,Detected,4,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,4.37,mg/l
21DELAWQ_WQX-304681,2015-06-22 11:49:00,Actual,Detected,6.93,ph,Actual,Detected,0.17,mg/l,Actual,Detected,23.49,Deg C.,Actual,Detected,4.02,ug/l,Actual,Detected,6.88,mg/l,Actual,Detected,480,cfu/100 ml,Actual,Detected,21,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,3.9,mg/l
21DELAWQ_WQX-304681,2015-02-23 11:33:00,Actual,Detected,6.21,ph,Actual,Detected,0.1,mg/l,Actual,Detected,4.75,Deg C.,Actual,Detected,4.05,ug/l,Actual,Detected,10.02,mg/l,Actual,Detected,66,cfu/100 ml,Actual,Detected,13,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,3.52,mg/l
21DELAWQ_WQX-304681,2015-09-28 11:04:00,Actual,Detected,6.44,ph,Actual,Detected,0.06,mg/l,Actual,Detected,20.49,Deg C.,Actual,Detected,4.47,ug/l,Actual,Detected,9.01,mg/l,Actual,Detected,344,cfu/100 ml,Actual,Detected,7,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,4.64,mg/l
21DELAWQ_WQX-304681,2015-05-12 11:11:00,Actual,Detected,6.35,ph,Actual,Detected,0.08,mg/l,Actual,Detected,18.94,Deg C.,Actual,Detected,8.06,ug/l,Actual,Detected,8,mg/l,Actual,Detected,17,cfu/100 ml,Actual,Detected,7,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,3.77,mg/l
21DELAWQ_WQX-304681,2015-10-26 11:37:00,Actual,Detected,6.32,ph,Actual,Detected,0.04,mg/l,Actual,Detected,12.9,Deg C.,Actual,Detected,2,ug/l,Actual,Detected,8.99,mg/l,Actual,Detected,116,cfu/100 ml,Actual,Detected,6,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,4.62,mg/l
21DELAWQ_WQX-304681,2015-04-27 11:17:00,Actual,Detected,6.33,ph,Actual,Detected,0.06,mg/l,Actual,Detected,12.16,Deg C.,Actual,Detected,3.58,ug/l,Actual,Detected,8.41,mg/l,Actual,Detected,2,cfu/100 ml,Actual,Detected,9,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,3.74,mg/l
21DELAWQ_WQX-304681,2015-07-27 12:18:00,Actual,Detected,6.46,ph,Actual,Detected,0.09,mg/l,Actual,Detected,22.15,Deg C.,Actual,Detected,3.44,ug/l,Actual,Detected,6.89,mg/l,Actual,Detected,227,cfu/100 ml,Actual,Detected,13,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,3.83,mg/l
21DELAWQ_WQX-304681,2015-08-25 11:20:00,Actual,Detected,6.37,ph,Actual,Detected,0.08,mg/l,Actual,Detected,22.34,Deg C.,Actual,Detected,4.5,ug/l,Actual,Detected,6.92,mg/l,Actual,Detected,116,cfu/100 ml,Actual,Detected,8,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,4.13,mg/l
21DELAWQ_WQX-304681,2016-08-09 11:31:00,Actual,Detected,7.22,ph,Actual,Detected,0.04,mg/l,Actual,Detected,20.73,Deg C.,Actual,Detected,3.08,ug/l,Actual,Detected,6.92,mg/l,Actual,Detected,106,cfu/100 ml,Actual,Detected,2,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,4.13,mg/l
21DELAWQ_WQX-304681,2016-12-14 11:31:00,Actual,Detected,6.51,ph,Actual,Detected,0.04,mg/l,Actual,Detected,8.86,Deg C.,Actual,Detected,1.78,ug/l,Actual,Detected,8.98,mg/l,Actual,Detected,24,cfu/100 ml,Actual,Detected,5.1,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,4.95,mg/l
21DELAWQ_WQX-304681,2016-01-12 11:05:00,Actual,Detected,6.92,ph,Actual,Detected,0.05,mg/l,Actual,Detected,5.24,Deg C.,Actual,Detected,1.7,ug/l,Actual,Detected,10.42,mg/l,Actual,Detected,24,cfu/100 ml,Actual,Detected,9,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,4.18,mg/l
21DELAWQ_WQX-304681,2016-04-25 11:12:00,Actual,Detected,6.94,ph,Actual,Detected,0.01,mg/l,Actual,Detected,14.25,Deg C.,Actual,Detected,4.13,ug/l,Actual,Detected,9.23,mg/l,Actual,Detected,6,cfu/100 ml,Actual,Detected,5,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,3.78,mg/l
21DELAWQ_WQX-304681,2016-10-31 11:14:00,Actual,Detected,6.48,ph,Actual,Detected,0.04,mg/l,Actual,Detected,14.06,Deg C.,Actual,Detected,11.1,ug/l,Actual,Detected,10.03,mg/l,Actual,Detected,29,cfu/100 ml,Actual,Detected,5,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,4.35,mg/l
21DELAWQ_WQX-304681,2016-06-28 11:33:00,Actual,Detected,7.09,ph,Actual,Detected,0.06,mg/l,Actual,Detected,21.51,Deg C.,Actual,Detected,1.06,ug/l,Actual,Detected,6.19,mg/l,Actual,Detected,306,cfu/100 ml,Actual,Detected,4,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,3.78,mg/l
21DELAWQ_WQX-304681,2016-05-24 11:10:00,Actual,Detected,6.29,ph,Actual,Detected,0.07,mg/l,Actual,Detected,15.74,Deg C.,Actual,Detected,2.07,ug/l,Actual,Detected,7.6,mg/l,Actual,Detected,29,cfu/100 ml,Actual,Detected,3,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,3.67,mg/l
21DELAWQ_WQX-304681,2016-02-16 11:09:00,Actual,Detected,6.39,ph,NA,NA,NA,NA,Actual,Detected,9.51,Deg C.,Actual,Detected,3.78,ug/l,Actual,Detected,9.38,mg/l,Actual,Detected,114,cfu/100 ml,Actual,Detected,15,mg/l,Actual,Detected,0.1,ppt,NA,NA,NA,NA
21DELAWQ_WQX-304681,2016-03-21 11:29:00,Actual,Detected,6.87,ph,Actual,Detected,0.03,mg/l,Actual,Detected,9,Deg C.,Actual,Detected,1.75,ug/l,Actual,Detected,12.16,mg/l,Actual,Detected,2,cfu/100 ml,Actual,Detected,6,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,4.09,mg/l
21DELAWQ_WQX-304681,2017-12-13 11:09:00,Actual,Detected,7.89,ph,Actual,Detected,0.02,mg/l,Actual,Detected,5.67,Deg C.,Actual,Detected,3.23,ug/l,Actual,Detected,10.23,mg/l,Actual,Detected,6,cfu/100 ml,Actual,Not Detected,0.5,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,4.07,mg/l
21DELAWQ_WQX-304681,2017-02-20 10:52:00,Actual,Detected,6.25,ph,Actual,Detected,0.03,mg/l,Actual,Detected,10.89,Deg C.,Actual,Detected,3.9,ug/l,Actual,Detected,9.8,mg/l,Actual,Detected,2,cfu/100 ml,Actual,Detected,6.8,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,4.59,mg/l
21DELAWQ_WQX-304681,2017-07-26 11:13:00,Actual,Detected,6.67,ph,Actual,Detected,0.07,mg/l,Actual,Detected,22.18,Deg C.,Actual,Detected,7.64,ug/l,Actual,Detected,8.22,mg/l,Actual,Detected,403,cfu/100 ml,Actual,Detected,9.2,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,3.26,mg/l
21DELAWQ_WQX-304681,2017-06-19 11:01:00,Actual,Detected,6.62,ph,Actual,Detected,0.08,mg/l,Actual,Detected,23.38,Deg C.,Actual,Detected,4.89,ug/l,Actual,Detected,8.36,mg/l,Actual,Detected,109,cfu/100 ml,Actual,Detected,4.2,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,4.32,mg/l
21DELAWQ_WQX-304681,2017-04-19 10:44:00,Actual,Detected,6.46,ph,Actual,Detected,0.06,mg/l,Actual,Detected,13.2,Deg C.,Actual,Detected,8.4,ug/l,Actual,Detected,9.21,mg/l,Actual,Detected,14,cfu/100 ml,Estimated,Detected,7.6,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,4.2,mg/l
21DELAWQ_WQX-304681,2017-10-24 11:11:00,Actual,Detected,7.96,ph,Actual,Detected,0.02,mg/l,Actual,Detected,18.24,Deg C.,Actual,Detected,0.81,ug/l,Actual,Detected,6.97,mg/l,Actual,Detected,72,cfu/100 ml,Actual,Not Detected,0.5,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,3.37,mg/l
21DELAWQ_WQX-304681,2018-02-14 11:02:00,Actual,Detected,6.26,ph,Actual,Detected,0.07,mg/l,Actual,Detected,8.93,Deg C.,Actual,Detected,10.3,ug/l,Actual,Detected,9.8,mg/l,Actual,Detected,8,cfu/100 ml,Actual,Detected,5.3,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,3.81,mg/l
21DELAWQ_WQX-304681,2018-06-27 12:14:00,Actual,Detected,6.74,ph,Actual,Detected,0.06,mg/l,Actual,Detected,20.8,Deg C.,Actual,Detected,3.28,ug/l,Actual,Detected,7.9,mg/l,Actual,Detected,73,cfu/100 ml,Actual,Detected,3.1,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,3.76,mg/l
21DELAWQ_WQX-304681,2018-10-22 10:57:00,Actual,Detected,6.41,ph,Actual,Detected,0.03,mg/l,Actual,Detected,10.8,Deg C.,Actual,Detected,1.77,ug/l,Actual,Detected,9.37,mg/l,Actual,Detected,24,cfu/100 ml,Estimated,Detected,2.1,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,4.3,mg/l
21DELAWQ_WQX-304681,2018-12-12 10:35:00,Actual,Detected,6.49,ph,Actual,Detected,0.04,mg/l,Actual,Detected,8.05,Deg C.,Actual,Detected,1.07,ug/l,Actual,Detected,10.43,mg/l,Actual,Detected,17,cfu/100 ml,Actual,Detected,5.9,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,4.81,mg/l
