OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-MD,USGS Maryland Water Science Center,USGS-01483500,"LEIPSIC RIVER NEAR CHESWOLD, DE",Stream,,02040207,9.35,sq mi,,,39.23286110000000,-75.6323056000000,,1,seconds,Interpolated from Digital MAP.,NAD83,16.58,feet,.01,feet,Level or other surveyed method.,NAVD88,US,10,001,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01483620,"MORGAN BRANCH NEAR DOVER, DE",Stream,,02040207,2.65,sq mi,,,39.15405556000000,-75.4891944000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,9,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,10,001,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01483650,"FORK BRANCH AT DUPONT, DE",Stream,,02040207,7.50,sq mi,,,39.19900090000000,-75.5774259000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,10,001,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01483655,"FORK BRANCH NEAR DOVER, DE",Stream,,02040207,,,,,39.19538989000000,-75.5640920900000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,10,001,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01483666,"Penrose B nr Pearsons Corner, DE",Stream,,02040207,3.77,sq mi,,,39.16361110000000,-75.6327777800000,24000,1,seconds,Interpolated from MAP.,NAD83,50,feet,5,feet,Interpolated from topographic map.,NGVD29,US,10,001,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01483675,"CAHOON BRANCH AT DOVER, DE",Stream,,02040207,,,,,39.16816778000000,-75.5768702000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,10,001,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01483680,"MAIDSTONE BRANCH AT DUPONT, DE",Stream,,02040207,17.30,sq mi,,,39.18844547000000,-75.5674255000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,10,001,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01483700,"ST JONES RIVER AT DOVER, DE",Stream,,02040207,31.9,sq mi,,,39.16372220000000,-75.5190833000000,,1,seconds,Interpolated from MAP.,NAD83,-0.77,feet,.1,feet,Interpolated from Digital Elevation Model,NAVD88,US,10,001,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01483720,"PUNCHEON BRANCH AT DOVER, DE",Stream,,02040207,2.54,sq mi,,,39.14039020000000,-75.5385353900000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,10,001,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01483990,"Black Swamp C nr Mastens Corner, DE",Stream,,02040207,4.24,sq mi,,,38.97594665000000,-75.6013149900000,24000,1,seconds,Interpolated from MAP.,NAD83,50,feet,5,feet,Interpolated from topographic map.,NGVD29,US,10,001,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01484020,"BROWNS BRANCH NEAR HOUSTON, DE",Stream,,02040207,12.40,sq mi,,,38.95872410000000,-75.5088117000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,10,001,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01484036,"Hudson B at Canterbury, DE",Stream,,02040207,4.85,sq mi,,,39.03900176000000,-75.5471464000000,24000,1,seconds,Interpolated from MAP.,NAD83,30,feet,5,feet,Interpolated from topographic map.,NGVD29,US,10,001,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01484050,"PRATT BRANCH NEAR FELTON, DE",Stream,,02040207,2.91,sq mi,,,39.01027778000000,-75.5289722000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,25,feet,10,feet,Interpolated from topographic map.,NGVD29,US,10,001,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01484060,"DOUBLE RUN NEAR MAGNOLIA, DE",Stream,,02040207,5.68,sq mi,,,39.05455710000000,-75.4949223000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,10,001,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01484100,"BEAVERDAM BRANCH AT HOUSTON, DE",Stream,,02040207,3.02,sq mi,,,38.90577778000000,-75.5127500000000,,1,seconds,Interpolated from MAP.,NAD83,34.87,feet,.1,feet,Interpolated from Digital Elevation Model,NAVD88,US,10,001,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01484125,"TANTROUGH BRANCH AT MILFORD, DE",Stream,,02040207,,,,,38.90955745000000,-75.4593652000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,10,001,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01484135,"HAVEN LAKE AT MILFORD, DE","Lake, Reservoir, Impoundment",,02040207,,,,,38.91122409000000,-75.4521427000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,10,001,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01484143,"HAVEN LAKE OUTLET AT MILFORD, DE","Lake, Reservoir, Impoundment",,02040207,,,,,38.91291667000000,-75.4441667000000,24000,1,seconds,Interpolated from Digital MAP.,NAD83,0.00,feet,0.1,feet,Level or other surveyed method.,NAVD88,US,10,005,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01484146,"SILVER LAKE AT MILFORD, DE",Stream,,02040207,,,,,38.91177959000000,-75.4365864000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,10,001,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01484200,"CEDAR CREEK NEAR LINCOLN, DE",Stream,,02040207,7.21,sq mi,,,38.85094630000000,-75.4176967000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,10,005,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01484240,"PEMBERTON BRANCH NEAR MILTON, DE",Stream,,02040207,6.68,sq mi,,,38.77400159000000,-75.3410262000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,10,005,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01484270,"BEAVERDAM CREEK NEAR MILTON, DE",Stream,,02040207,6.85,sq mi,,,38.76150117000000,-75.2671335000000,,1,seconds,Interpolated from MAP.,NAD83,0.91,feet,.01,feet,Level or other surveyed method.,NGVD29,US,10,005,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01484300,"SOWBRIDGE BRANCH NEAR MILTON, DE",Stream,,02040207,7.08,sq mi,,,38.81427928000000,-75.3271366000000,,1,seconds,Interpolated from MAP.,NAD83,3.43,feet,.01,feet,Level or other surveyed method.,NGVD29,US,10,005,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01484534,"SWAN CREEK NEAR MILLSBORO, DE",Stream,,02040303,5.23,sq mi,,,38.62290468000000,-75.2560945000000,24000,.1,seconds,Interpolated from MAP.,NAD83,15,feet,1,feet,Interpolated from topographic map.,NGVD29,US,10,005,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01484548,"VINES CREEK AT OMAR, DE",Stream,,02040303,13.60,sq mi,,,38.52900205000000,-75.2021314000000,,1,seconds,Interpolated from MAP.,NAD83,4.50,feet,.01,feet,Level or other surveyed method.,NGVD29,US,10,005,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01484550,PEPPER C AT DAGSBORO DE,Stream,,02040303,8.78,sq mi,,,38.54733560000000,-75.2440775900000,24000,1,seconds,Interpolated from MAP.,NAD83,12,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,10,005,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01484640,"Unity Branch at Fairmount, DE",Stream,,02040303,3.58,sq mi,,,38.66250000000000,-75.2219444000000,24000,1,seconds,Interpolated from MAP.,NAD83,15,feet,5,feet,Interpolated from topographic map.,NGVD29,US,10,005,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01484645,"PHILLIPS BRANCH NEAR FAIRMOUNT, DE",Stream,,02040303,3.35,sq mi,,,38.65844590000000,-75.2082422000000,24000,1,seconds,Interpolated from MAP.,NAD83,10,feet,.5,feet,Interpolated from topographic map.,NGVD29,US,10,005,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01484652,"Bundicks Br nr Cool Spring, DE",Stream,,02040303,2.98,sq mi,,,38.71705680000000,-75.2490772000000,24000,1,seconds,Interpolated from MAP.,NAD83,30,feet,5,feet,Interpolated from topographic map.,NGVD29,US,10,005,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-0148469995,"BEARHOLE DITCH TRIBUTARY NEAR BUNTING, DE",Stream,,02040303,0.62,sq mi,,,38.48844650000000,-75.1735193000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,10,005,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01484710,"BUNTINGS BRANCH NEAR SELBYVILLE, DE",Stream,,02040303,4.15,sq mi,,,38.45566940000000,-75.2065765000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,10,005,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-0148498080,"UNAMED DITCH TO NF GREEN RUN NEAR WHITESVILLE, DE",Stream,,02080111,1,sq mi,1,sq mi,38.46250000000000,-75.3952777800000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,45,feet,5,feet,Interpolated from topographic map.,NGVD29,US,10,005,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01486800,"NANTICOKE RIVER NEAR GREENWOOD, DE",Stream,,02080109,,,,,38.82678014000000,-75.5704810800000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,10,005,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01486815,"NANTICOKE RIVER AT GREENWOOD, DE",Stream,,02080109,,,,,38.80566907000000,-75.5807593000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,10,005,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01486820,"CART BRANCH AT GREENWOOD, DE",Stream,,02080109,,,,,38.79372465000000,-75.5893708000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,10,005,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01486870,"NANTICOKE RIVER AT BRIDGEVILLE, DE",Stream,,02080109,,,,,38.74733586000000,-75.5813150000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,10,005,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01486905,"BRIDGEVILLE BRANCH AT BRIDGEVILLE, DE",Stream,,02080109,,,,,38.74650250000000,-75.5993713000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,10,005,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01486980,TOMS DAM B NR GREENWOOD DE,Stream,,02080109,5.28,sq mi,,,38.80122460000000,-75.5574252000000,24000,1,seconds,Interpolated from MAP.,NAD83,42,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,10,005,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01486983,"TOMS DAM BRANCH NEAR BRIDGEVILLE, DE",Stream,,02080109,,,,,38.76122470000000,-75.5557585800000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,10,005,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01486985,"GUM BRANCH NEAR OAKLEY, DE",Stream,,02080109,,,,,38.76872470000000,-75.5157571000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,10,005,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01486987,"WEST BRANCH NEAR GULLY CAMP, DE",Stream,,02080109,,,,,38.77372469000000,-75.5268686000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,10,005,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01487000,"NANTICOKE RIVER NEAR BRIDGEVILLE, DE",Stream,,02080109,75.4,sq mi,,,38.72833330000000,-75.5618611000000,24000,1,seconds,Interpolated from MAP.,NAD83,12.82,feet,.1,feet,Interpolated from Digital Elevation Model,NAVD88,US,10,005,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01487030,"NANTICOKE RIVER AT MIDDLEFORD, DE",Stream,,02080109,,,,,38.66539207000000,-75.5646475000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,10,005,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01487060,"MIFFLIN DITCH NEAR GEORGETOWN, DE",Stream,,02080109,1.25,sq mi,,,38.72788889000000,-75.4151388900000,24000,.1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,10,005,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01487116,"Stony Br at Hardscrabble, DE",Stream,,02080109,7.79,sq mi,,,38.62428107000000,-75.4732546000000,24000,1,seconds,Interpolated from MAP.,NAD83,40,feet,10,feet,Interpolated from topographic map.,NGVD29,US,10,005,,,,,,,,,,NWIS
