OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ProjectName,ActivityConductingOrganizationText,MonitoringLocationIdentifier,MonitoringLocationName,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultIdentifier,ResultDetectionConditionText,MethodSpeciationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,DataQuality/PrecisionValue,DataQuality/BiasValue,DataQuality/ConfidenceIntervalValue,DataQuality/UpperConfidenceLimitValue,DataQuality/LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,BinaryObjectFileName,BinaryObjectFileTypeCode,ResultFileUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LabSamplePreparationUrl,LastUpdated,ProviderName
21DELAWQ_WQX,Delaware Dept Natural Resources & Environmental Control,21DELAWQ_WQX-2401001-003-SPM-004-Water,Sample-Routine,Water,Surface Water,2024-01-09,08:49:00,EST,,,,Surface,,,,,,,,DE-ASWQMP,Delaware Ambient Statewide Surface Water Quality Monitoring Program,Delaware DNREC Environmental Laboratory,21DELAWQ_WQX-104011,Brandywine Creek @ Foot Bridge in Brandywine Park,,,,,39.7600400000,-75.5560930000,Stainless Bucket,21DELAWQ_WQX,Grab Sample Collected With A Stainless Bucket,,Bucket,STORET-1013888973,,as N,Ammonia,Unfiltered,0.053,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,350.1,USEPA,350.1 ~ EPA; Ammonia Nitrogen by Colorimetry,,https://www.nemi.gov/methods/method_summary/5405/,Delaware DNREC Environmental Laboratory,2024-01-16,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21DELAWQ_WQX/activities/21DELAWQ_WQX-2401001-003-SPM-004-Water/results/1013888973/resdetectqntlmts,Lower Quantitation Limit,0.020,mg/L,,2024-03-28T14:16:35,STORET
21DELAWQ_WQX,Delaware Dept Natural Resources & Environmental Control,21DELAWQ_WQX-2401001-013-SPM-002-Water,Sample-Routine,Water,Surface Water,2024-01-09,08:40:00,EST,,,,Surface,,,,,,,,DE-ASWQMP,Delaware Ambient Statewide Surface Water Quality Monitoring Program,Delaware DNREC Environmental Laboratory,21DELAWQ_WQX-105151,White Clay Creek @ Delaware Park Blvd. (USGS gage 014790000),,,,,39.6989570000,-75.6754380000,Stainless Bucket,21DELAWQ_WQX,Grab Sample Collected With A Stainless Bucket,,Bucket,STORET-1013889335,,as N,"Total Nitrogen, mixed forms",Unfiltered,2.38,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,4500-P-J,APHA,4500 P J ~ Persulfate Method for Simultaneous Determination of Total Nitrogen and Total Phosphorus,,,Delaware DNREC Environmental Laboratory,2024-01-12,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21DELAWQ_WQX/activities/21DELAWQ_WQX-2401001-013-SPM-002-Water/results/1013889335/resdetectqntlmts,Lower Quantitation Limit,0.100,mg/L,,2024-03-28T14:16:58,STORET
21DELAWQ_WQX,Delaware Dept Natural Resources & Environmental Control,21DELAWQ_WQX-2401029-005-SPM-002-Water,Sample-Routine,Water,Surface Water,2024-02-06,09:49:00,EST,,,,Surface,,,,,,,,DE-ASWQMP,Delaware Ambient Statewide Surface Water Quality Monitoring Program,Delaware DNREC Environmental Laboratory,21DELAWQ_WQX-103031,Red Clay Creek @ Lancaster Pike (Rt. 48) (USGS gage 01480000),,,,,39.7628780000,-75.6365780000,Stainless Bucket,21DELAWQ_WQX,Grab Sample Collected With A Stainless Bucket,,Bucket,STORET-1013891330,,as N,"Total Nitrogen, mixed forms","Filtered, field",3.88,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,4500-P-J,APHA,4500 P J ~ Persulfate Method for Simultaneous Determination of Total Nitrogen and Total Phosphorus,,,Delaware DNREC Environmental Laboratory,2024-02-14,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21DELAWQ_WQX/activities/21DELAWQ_WQX-2401029-005-SPM-002-Water/results/1013891330/resdetectqntlmts,Lower Quantitation Limit,0.100,mg/L,,2024-03-28T14:19:30,STORET
21DELAWQ_WQX,Delaware Dept Natural Resources & Environmental Control,21DELAWQ_WQX-2402003-009-SPM-004-Water,Sample-Routine,Water,Surface Water,2024-02-13,09:40:00,EST,,,,Surface,,,,,,,,DE-ASWQMP,Delaware Ambient Statewide Surface Water Quality Monitoring Program,Delaware DNREC Environmental Laboratory,21DELAWQ_WQX-201011,Mill Creek (Lake Como outfall) @ Rt. 13,,,,,39.2968150000,-75.6002020000,Stainless Bucket,21DELAWQ_WQX,Grab Sample Collected With A Stainless Bucket,,Bucket,STORET-1013892142,,as N,Nitrate + Nitrite,Unfiltered,1.79,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,,https://www.nemi.gov/methods/method_summary/4702/,Delaware DNREC Environmental Laboratory,2024-02-15,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21DELAWQ_WQX/activities/21DELAWQ_WQX-2402003-009-SPM-004-Water/results/1013892142/resdetectqntlmts,Lower Quantitation Limit,0.030,mg/L,,2024-03-28T14:20:27,STORET
21DELAWQ_WQX,Delaware Dept Natural Resources & Environmental Control,21DELAWQ_WQX-2402003-001-SPM-004-Water,Sample-Routine,Water,Surface Water,2024-02-13,07:27:00,EST,,,,Surface,,,,,,,,DE-ASWQMP,Delaware Ambient Statewide Surface Water Quality Monitoring Program,Delaware DNREC Environmental Laboratory,21DELAWQ_WQX-204031,Little River @ Bayside Dr. (Rt. 9),,,,,39.1605500000,-75.4454110000,Stainless Bucket,21DELAWQ_WQX,Grab Sample Collected With A Stainless Bucket,,Bucket,STORET-1013891925,,as N,Nitrate + Nitrite,Unfiltered,1.17,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,,https://www.nemi.gov/methods/method_summary/4702/,Delaware DNREC Environmental Laboratory,2024-02-15,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21DELAWQ_WQX/activities/21DELAWQ_WQX-2402003-001-SPM-004-Water/results/1013891925/resdetectqntlmts,Lower Quantitation Limit,0.030,mg/L,,2024-03-28T14:20:08,STORET
21DELAWQ_WQX,Delaware Dept Natural Resources & Environmental Control,21DELAWQ_WQX-2401017-005-SPM-004-Water,Sample-Routine,Water,Surface Water,2024-01-17,10:22:00,EST,,,,Surface,,,,,,,,DE-ASWQMP,Delaware Ambient Statewide Surface Water Quality Monitoring Program,Delaware DNREC Environmental Laboratory,21DELAWQ_WQX-303171,Beaverdam Creek @ Cave Neck Rd. (Rd. 88),,,,,38.7615360000,-75.2668050000,Stainless Bucket,21DELAWQ_WQX,Grab Sample Collected With A Stainless Bucket,,Bucket,STORET-1013890564,,as N,Nitrate + Nitrite,Unfiltered,4.26,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,,https://www.nemi.gov/methods/method_summary/4702/,Delaware DNREC Environmental Laboratory,2024-01-22,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21DELAWQ_WQX/activities/21DELAWQ_WQX-2401017-005-SPM-004-Water/results/1013890564/resdetectqntlmts,Lower Quantitation Limit,0.150,mg/L,,2024-03-28T14:18:31,STORET
21DELAWQ_WQX,Delaware Dept Natural Resources & Environmental Control,21DELAWQ_WQX-2402007-002-SPM-002-Water,Sample-Routine,Water,Surface Water,2024-02-21,08:30:00,EST,,,,Surface,,,,,,,,DE-ASWQMP,Delaware Ambient Statewide Surface Water Quality Monitoring Program,Delaware DNREC Environmental Laboratory,21DELAWQ_WQX-208181,Abbotts Pond @ Abbotts Pond Rd. (Rd. 620),,,,,38.8856910000,-75.4760550000,Stainless Bucket,21DELAWQ_WQX,Grab Sample Collected With A Stainless Bucket,,Bucket,STORET-1013892904,,as N,"Total Nitrogen, mixed forms",Unfiltered,6.01,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,4500-P-J,APHA,4500 P J ~ Persulfate Method for Simultaneous Determination of Total Nitrogen and Total Phosphorus,,,Delaware DNREC Environmental Laboratory,2024-02-29,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21DELAWQ_WQX/activities/21DELAWQ_WQX-2402007-002-SPM-002-Water/results/1013892904/resdetectqntlmts,Lower Quantitation Limit,0.200,mg/L,,2024-03-28T14:21:26,STORET
21DELAWQ_WQX,Delaware Dept Natural Resources & Environmental Control,21DELAWQ_WQX-2401029-004-SPM-004-Water,Sample-Routine,Water,Surface Water,2024-02-06,09:23:00,EST,,,,Surface,,,,,,,,DE-ASWQMP,Delaware Ambient Statewide Surface Water Quality Monitoring Program,Delaware DNREC Environmental Laboratory,21DELAWQ_WQX-104021,Brandywine Creek @ New Bridge Rd. (Rd. 279) (USGS gage 01481500),,,,,39.7698320000,-75.5788440000,Stainless Bucket,21DELAWQ_WQX,Grab Sample Collected With A Stainless Bucket,,Bucket,STORET-1013891297,,as N,Nitrate + Nitrite,"Filtered, field",3.22,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,,https://www.nemi.gov/methods/method_summary/4702/,Delaware DNREC Environmental Laboratory,2024-02-09,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21DELAWQ_WQX/activities/21DELAWQ_WQX-2401029-004-SPM-004-Water/results/1013891297/resdetectqntlmts,Lower Quantitation Limit,0.030,mg/L,,2024-03-28T14:19:28,STORET
21DELAWQ_WQX,Delaware Dept Natural Resources & Environmental Control,21DELAWQ_WQX-2401026-001-SPM-004-Water,Sample-Routine,Water,Surface Water,2024-01-30,07:48:00,EST,,,,Surface,,,,,,,,DE-ASWQMP,Delaware Ambient Statewide Surface Water Quality Monitoring Program,Delaware DNREC Environmental Laboratory,21DELAWQ_WQX-112021,Sewell Branch @ Sewell Branch Rd. (Rd. 95),,,,,39.2467160000,-75.7490920000,Stainless Bucket,21DELAWQ_WQX,Grab Sample Collected With A Stainless Bucket,,Bucket,STORET-1013890773,,as N,Ammonia,Unfiltered,0.047,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,350.1,USEPA,350.1 ~ EPA; Ammonia Nitrogen by Colorimetry,,https://www.nemi.gov/methods/method_summary/5405/,Delaware DNREC Environmental Laboratory,2024-02-02,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21DELAWQ_WQX/activities/21DELAWQ_WQX-2401026-001-SPM-004-Water/results/1013890773/resdetectqntlmts,Lower Quantitation Limit,0.020,mg/L,,2024-03-28T14:18:49,STORET
21DELAWQ_WQX,Delaware Dept Natural Resources & Environmental Control,21DELAWQ_WQX-2401026-001-SPM-002-Water,Sample-Routine,Water,Surface Water,2024-01-30,07:48:00,EST,,,,Surface,,,,,,,,DE-ASWQMP,Delaware Ambient Statewide Surface Water Quality Monitoring Program,Delaware DNREC Environmental Laboratory,21DELAWQ_WQX-112021,Sewell Branch @ Sewell Branch Rd. (Rd. 95),,,,,39.2467160000,-75.7490920000,Stainless Bucket,21DELAWQ_WQX,Grab Sample Collected With A Stainless Bucket,,Bucket,STORET-1013890766,,as P,Soluble Reactive Phosphorus (SRP),"Filtered, field",0.080,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,365.1,USEPA,Phosphorus by Colorimetry,,https://www.nemi.gov/methods/method_summary/4823/,Delaware DNREC Environmental Laboratory,2024-01-31,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21DELAWQ_WQX/activities/21DELAWQ_WQX-2401026-001-SPM-002-Water/results/1013890766/resdetectqntlmts,Lower Quantitation Limit,0.010,mg/L,,2024-03-28T14:18:48,STORET
21DELAWQ_WQX,Delaware Dept Natural Resources & Environmental Control,21DELAWQ_WQX-2402009-010-SPM-002-Water,Quality Control Sample-Field Blank,Water,Surface Water,2024-02-27,09:07:00,EST,,,,Surface,,,,,,,,DE-ASWQMP,Delaware Ambient Statewide Surface Water Quality Monitoring Program,Delaware DNREC Environmental Laboratory,21DELAWQ_WQX-304311,Concord Pond @ German Rd. (Rd. 524),,,,,38.6431040000,-75.5539450000,Water Bottle,21DELAWQ_WQX,Grab Sample Collected With A Water Bottle,,Water Bottle,STORET-1013893428,Not Detected,as P,Soluble Reactive Phosphorus (SRP),"Filtered, field",,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,365.1,USEPA,Phosphorus by Colorimetry,,https://www.nemi.gov/methods/method_summary/4823/,Delaware DNREC Environmental Laboratory,2024-02-28,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21DELAWQ_WQX/activities/21DELAWQ_WQX-2402009-010-SPM-002-Water/results/1013893428/resdetectqntlmts,Sample Detection Limit,0.004,mg/L,,2024-03-28T14:22:07,STORET
