station_id,timestamp,tss_result_type,tss_detection_condition,tss_value,tss_units,do_result_type,do_detection_condition,do_value,do_units,ph_result_type,ph_detection_condition,ph_value,ph_units,chlora_result_type,chlora_detection_condition,chlora_value,chlora_units,nutrient_nitrogen_result_type,nutrient_nitrogen_detection_condition,nutrient_nitrogen_value,nutrient_nitrogen_units,enterococcus_result_type,enterococcus_detection_condition,enterococcus_value,enterococcus_units,salinity_result_type,salinity_detection_condition,salinity_value,salinity_units,water_temp_result_type,water_temp_detection_condition,water_temp_value,water_temp_units,phosphate_phosphorus_result_type,phosphate_phosphorus_detection_condition,phosphate_phosphorus_value,phosphate_phosphorus_units
21DELAWQ_WQX-109251,2010-04-19 08:47:00,Actual,Detected,2,mg/l,Actual,Detected,9.61,mg/l,Actual,Detected,8.05,ph,Actual,Detected,3.71,ug/l,Actual,Detected,5.59,mg/l,Actual,Detected,150,cfu/100 ml,Actual,Detected,0.16,ppt,Actual,Detected,12.04,Deg C.,Actual,Detected,0.03,mg/l
21DELAWQ_WQX-109251,2010-12-08 09:28:00,Actual,Detected,2,mg/l,Actual,Detected,10.82,mg/l,Actual,Detected,7.07,ph,Actual,Detected,1.05,ug/l,Actual,Detected,4.81,mg/l,Actual,Detected,130,cfu/100 ml,Actual,Detected,0.15,ppt,Actual,Detected,5.1,Deg C.,Actual,Detected,0.03,mg/l
21DELAWQ_WQX-109251,2010-03-30 10:31:00,Actual,Detected,22,mg/l,Actual,Detected,10.1,mg/l,Actual,Detected,7.5,ph,Actual,Detected,9.02,ug/l,Actual,Detected,2.4,mg/l,Actual,Present Above Quantification Limit,4840,cfu/100 ml,Actual,Detected,0.19,ppt,Actual,Detected,10.12,Deg C.,Actual,Detected,0.08,mg/l
21DELAWQ_WQX-109251,2011-08-03 09:25:00,Actual,Detected,2,mg/l,Actual,Detected,7.72,mg/l,Actual,Detected,7.59,ph,Actual,Detected,0.77,ug/l,Actual,Detected,4.62,mg/l,Actual,Detected,1230,cfu/100 ml,Actual,Detected,0.15,ppt,Actual,Detected,18.79,Deg C.,Actual,Detected,0.02,mg/l
21DELAWQ_WQX-109251,2011-05-18 11:09:00,Actual,Detected,4,mg/l,Actual,Detected,8.04,mg/l,Actual,Detected,7.89,ph,Actual,Detected,1.49,ug/l,Actual,Detected,3.88,mg/l,Actual,Detected,510,cfu/100 ml,Actual,Detected,0.16,ppt,Actual,Detected,16.15,Deg C.,Actual,Detected,0.02,mg/l
21DELAWQ_WQX-109251,2011-08-29 11:45:00,Actual,Detected,13,mg/l,Actual,Detected,7.9,mg/l,Actual,Detected,6.87,ph,Actual,Detected,4.49,ug/l,Actual,Detected,1.39,mg/l,Actual,Detected,420,cfu/100 ml,Actual,Not Detected,0.05,ppt,Actual,Detected,20.91,Deg C.,Actual,Detected,0.07,mg/l
21DELAWQ_WQX-109251,2011-09-08 11:02:00,Actual,Detected,21,mg/l,Actual,Detected,7.23,mg/l,Actual,Detected,6.9,ph,Actual,Detected,13.1,ug/l,Actual,Detected,1.93,mg/l,Actual,Detected,18000,cfu/100 ml,Actual,Not Detected,0.05,ppt,Actual,Detected,20.86,Deg C.,Actual,Detected,0.1,mg/l
21DELAWQ_WQX-109251,2011-10-04 09:42:00,Actual,Detected,4,mg/l,Actual,Detected,8.92,mg/l,Actual,Detected,7.19,ph,Actual,Detected,23.8,ug/l,Actual,Detected,3.15,mg/l,Actual,Detected,430,cfu/100 ml,Actual,Detected,0.12,ppt,Actual,Detected,13.6,Deg C.,Actual,Detected,0.04,mg/l
21DELAWQ_WQX-109251,2011-05-11 10:41:00,Actual,Detected,6,mg/l,Actual,Detected,8.61,mg/l,Actual,Detected,7.29,ph,Actual,Detected,1.06,ug/l,Actual,Detected,4.54,mg/l,Actual,Detected,490,cfu/100 ml,Actual,Detected,0.15,ppt,Actual,Detected,14.61,Deg C.,Actual,Detected,0.04,mg/l
21DELAWQ_WQX-109251,2011-03-14 10:12:00,Actual,Detected,2,mg/l,Actual,Detected,11.23,mg/l,Actual,Detected,8.24,ph,Actual,Detected,2.7,ug/l,Actual,Detected,4.02,mg/l,Actual,Detected,190,cfu/100 ml,Actual,Detected,0.22,ppt,Actual,Detected,8.4,Deg C.,Actual,Detected,0.03,mg/l
21DELAWQ_WQX-109251,2011-07-20 09:49:00,Actual,Detected,3,mg/l,Actual,Detected,8.25,mg/l,Actual,Detected,7.53,ph,Actual,Detected,0.6,ug/l,Actual,Detected,4.5,mg/l,Actual,Detected,1630,cfu/100 ml,Actual,Detected,0.15,ppt,Actual,Detected,19.04,Deg C.,Actual,Detected,0.02,mg/l
21DELAWQ_WQX-109251,2011-09-12 09:32:00,Actual,Detected,5,mg/l,Actual,Detected,7.77,mg/l,Actual,Detected,6.98,ph,Actual,Detected,2.59,ug/l,Actual,Detected,2.63,mg/l,Actual,Detected,600,cfu/100 ml,Actual,Detected,0.11,ppt,Actual,Detected,18.79,Deg C.,Actual,Detected,0.05,mg/l
21DELAWQ_WQX-109251,2011-11-30 09:16:00,Actual,Detected,7,mg/l,Actual,Detected,9.33,mg/l,Actual,Detected,7.16,ph,Actual,Detected,13.9,ug/l,Actual,Detected,1.3,mg/l,Actual,Detected,580,cfu/100 ml,Actual,Detected,0.1,ppt,Actual,Detected,11.32,Deg C.,Actual,Detected,0.01,mg/l
21DELAWQ_WQX-109251,2011-11-07 10:08:00,Actual,Detected,3,mg/l,Actual,Detected,10.77,mg/l,Actual,Detected,7.24,ph,Actual,Detected,0.54,ug/l,Actual,Detected,4.05,mg/l,NA,NA,NA,NA,Actual,Detected,0.12,ppt,Actual,Detected,11.58,Deg C.,Actual,Detected,0.02,mg/l
21DELAWQ_WQX-109251,2011-04-05 09:26:00,Actual,Detected,11,mg/l,Actual,Detected,8.51,mg/l,Actual,Detected,7.64,ph,Actual,Detected,4.77,ug/l,Actual,Detected,3.95,mg/l,Actual,Detected,550,cfu/100 ml,Actual,Detected,0.17,ppt,Actual,Detected,13.62,Deg C.,Actual,Detected,0.05,mg/l
21DELAWQ_WQX-109251,2011-02-15 10:07:00,Actual,Detected,3,mg/l,Actual,Detected,11.67,mg/l,Actual,Detected,8.85,ph,Actual,Detected,3.47,ug/l,Actual,Detected,4.31,mg/l,Actual,Detected,220,cfu/100 ml,Actual,Detected,0.19,ppt,Actual,Detected,5.85,Deg C.,Actual,Detected,0.02,mg/l
21DELAWQ_WQX-109251,2011-01-24 09:43:00,Actual,Detected,2,mg/l,Actual,Detected,13.44,mg/l,Actual,Detected,8.5,ph,Actual,Detected,1.58,ug/l,Actual,Detected,4.79,mg/l,Actual,Detected,133,cfu/100 ml,Actual,Detected,0.16,ppt,Actual,Detected,3.02,Deg C.,Actual,Detected,0.02,mg/l
21DELAWQ_WQX-109251,2011-06-01 09:33:00,Actual,Detected,4,mg/l,Actual,Detected,8.31,mg/l,Actual,Detected,7.64,ph,Actual,Detected,0.52,ug/l,Actual,Detected,4.62,mg/l,Actual,Detected,550,cfu/100 ml,Actual,Detected,0.15,ppt,Actual,Detected,18.43,Deg C.,Actual,Detected,0.04,mg/l
21DELAWQ_WQX-109251,2012-12-04 09:18:00,Actual,Detected,3,mg/l,Actual,Detected,9.55,mg/l,Actual,Detected,6.94,ph,Actual,Detected,7.56,ug/l,Actual,Detected,4.02,mg/l,Actual,Detected,90,cfu/100 ml,Actual,Detected,0.17,ppt,Actual,Detected,11.88,Deg C.,Actual,Detected,0.03,mg/l
21DELAWQ_WQX-109251,2012-09-10 09:57:00,Actual,Detected,2,mg/l,Actual,Detected,7.96,mg/l,Actual,Detected,6.97,ph,Actual,Detected,1.57,ug/l,Actual,Detected,3.38,mg/l,Actual,Detected,500,cfu/100 ml,Actual,Detected,0.14,ppt,Actual,Detected,17.52,Deg C.,Actual,Detected,0.03,mg/l
21DELAWQ_WQX-109251,2012-08-07 09:30:00,Actual,Detected,5,mg/l,Actual,Detected,7.26,mg/l,Actual,Detected,7.16,ph,Actual,Detected,2.34,ug/l,Actual,Detected,2.94,mg/l,Actual,Detected,1600,cfu/100 ml,Actual,Detected,0.15,ppt,Actual,Detected,20.68,Deg C.,Actual,Detected,0.05,mg/l
21DELAWQ_WQX-109251,2012-11-19 09:36:00,Actual,Detected,3,mg/l,Actual,Detected,10.49,mg/l,Actual,Detected,7.1,ph,Actual,Detected,1.65,ug/l,Actual,Detected,4.21,mg/l,Actual,Detected,170,cfu/100 ml,Actual,Detected,0.16,ppt,Actual,Detected,9.93,Deg C.,Actual,Detected,0.03,mg/l
21DELAWQ_WQX-109251,2012-03-12 09:38:00,Estimated,Detected,1,mg/l,Actual,Detected,10.22,mg/l,Actual,Detected,7.59,ph,Actual,Detected,2.77,ug/l,Actual,Detected,4.23,mg/l,Actual,Detected,180,cfu/100 ml,Actual,Detected,0.14,ppt,Actual,Detected,8.94,Deg C.,Actual,Detected,0.01,mg/l
21DELAWQ_WQX-109251,2012-02-06 09:53:00,Actual,Detected,2,mg/l,Actual,Detected,11.1,mg/l,Actual,Detected,7.41,ph,Actual,Detected,1.83,ug/l,Actual,Detected,4.2,mg/l,Actual,Detected,133,cfu/100 ml,Actual,Detected,0.14,ppt,Actual,Detected,6.98,Deg C.,Actual,Detected,0.02,mg/l
21DELAWQ_WQX-109251,2012-07-10 09:21:00,Actual,Detected,10,mg/l,Actual,Detected,7.97,mg/l,Actual,Detected,7.02,ph,Actual,Detected,1.66,ug/l,Actual,Detected,4.55,mg/l,Actual,Present Above Quantification Limit,4840,cfu/100 ml,Actual,Detected,0.16,ppt,Actual,Detected,18.64,Deg C.,Actual,Detected,0.05,mg/l
21DELAWQ_WQX-109251,2012-10-31 11:26:00,Actual,Detected,8,mg/l,Actual,Detected,9.81,mg/l,Actual,Detected,6.65,ph,Actual,Detected,3.7,ug/l,Actual,Detected,1.15,mg/l,Actual,Detected,3900,cfu/100 ml,Actual,Not Detected,0.05,ppt,Actual,Detected,11.15,Deg C.,Actual,Detected,0.1,mg/l
21DELAWQ_WQX-109251,2012-04-03 10:20:00,Actual,Detected,2,mg/l,Actual,Detected,10.09,mg/l,Actual,Detected,7.05,ph,Actual,Detected,2.26,ug/l,Actual,Detected,4.36,mg/l,Actual,Detected,147,cfu/100 ml,Actual,Detected,0.15,ppt,Actual,Detected,10.73,Deg C.,Actual,Detected,0.05,mg/l
21DELAWQ_WQX-109251,2012-04-24 11:58:00,Actual,Detected,13,mg/l,Actual,Detected,9.22,mg/l,Actual,Detected,6.97,ph,Actual,Detected,6.4,ug/l,Actual,Detected,2.86,mg/l,Actual,Detected,1500,cfu/100 ml,Actual,Detected,0.18,ppt,Actual,Detected,12.53,Deg C.,Actual,Detected,0.08,mg/l
21DELAWQ_WQX-109251,2012-05-08 09:56:00,Actual,Detected,2,mg/l,Actual,Detected,8.69,mg/l,Actual,Detected,6.97,ph,Actual,Detected,0.55,ug/l,Actual,Detected,4.19,mg/l,Actual,Detected,350,cfu/100 ml,Actual,Detected,0.15,ppt,Actual,Detected,14.74,Deg C.,Actual,Detected,0.03,mg/l
21DELAWQ_WQX-109251,2012-10-02 09:07:00,Actual,Detected,3,mg/l,Actual,Detected,8.22,mg/l,Actual,Detected,7.16,ph,Actual,Detected,0.33,ug/l,Actual,Detected,4.16,mg/l,Actual,Detected,700,cfu/100 ml,Actual,Detected,0.16,ppt,Actual,Detected,16.42,Deg C.,Actual,Detected,0.03,mg/l
21DELAWQ_WQX-109251,2012-01-10 10:21:00,Actual,Detected,3,mg/l,Actual,Detected,10.64,mg/l,Actual,Detected,7.42,ph,Actual,Detected,1.57,ug/l,Actual,Detected,4.33,mg/l,Actual,Detected,23,cfu/100 ml,Actual,Detected,0.12,ppt,Actual,Detected,8.09,Deg C.,Actual,Detected,0.02,mg/l
21DELAWQ_WQX-109251,2012-01-12 14:18:00,Actual,Detected,13,mg/l,Actual,Detected,10.45,mg/l,Actual,Detected,7.02,ph,Actual,Detected,9.42,ug/l,Actual,Detected,2.19,mg/l,Actual,Detected,300,cfu/100 ml,Actual,Detected,0.11,ppt,Actual,Detected,9.66,Deg C.,Actual,Detected,0.07,mg/l
21DELAWQ_WQX-109251,2012-06-05 09:52:00,Actual,Detected,5,mg/l,Actual,Detected,8.98,mg/l,Actual,Detected,7.06,ph,Actual,Detected,0.59,ug/l,Actual,Detected,4.27,mg/l,Actual,Detected,533,cfu/100 ml,Actual,Detected,0.12,ppt,Actual,Detected,15.2,Deg C.,Actual,Detected,0.03,mg/l
21DELAWQ_WQX-109251,2013-04-08 09:41:00,Actual,Detected,6,mg/l,Actual,Detected,11.09,mg/l,Actual,Detected,7.32,ph,Actual,Detected,17.3,ug/l,Actual,Detected,3.78,mg/l,Actual,Detected,80,cfu/100 ml,Actual,Detected,0.15,ppt,Actual,Detected,12.08,Deg C.,Actual,Detected,0.04,mg/l
21DELAWQ_WQX-109251,2013-05-14 09:10:00,Actual,Detected,2,mg/l,Actual,Detected,10.68,mg/l,Actual,Detected,7.07,ph,Actual,Detected,1.59,ug/l,Actual,Detected,3.81,mg/l,Actual,Detected,177,cfu/100 ml,Actual,Detected,0.15,ppt,Actual,Detected,11.32,Deg C.,Actual,Detected,0.03,mg/l
21DELAWQ_WQX-109251,2013-07-09 09:58:00,Actual,Detected,2,mg/l,Actual,Detected,7.88,mg/l,Actual,Detected,7.02,ph,Actual,Detected,0.58,ug/l,Estimated,Detected,3.65,mg/l,Actual,Detected,1630,cfu/100 ml,Actual,Detected,0.14,ppt,Actual,Detected,20.25,Deg C.,Estimated,Detected,0.04,mg/l
21DELAWQ_WQX-109251,2013-02-05 09:52:00,Estimated,Detected,1,mg/l,Actual,Detected,11.04,mg/l,Actual,Detected,7.35,ph,Actual,Detected,0.48,ug/l,Actual,Detected,4.23,mg/l,Actual,Detected,133,cfu/100 ml,Actual,Detected,0.17,ppt,Actual,Detected,6.74,Deg C.,Actual,Detected,0.02,mg/l
21DELAWQ_WQX-109251,2013-01-09 09:19:00,Actual,Detected,4,mg/l,Actual,Detected,10.31,mg/l,Actual,Detected,7.04,ph,Actual,Detected,1.51,ug/l,Actual,Detected,4.93,mg/l,Actual,Detected,100,cfu/100 ml,Actual,Detected,0.17,ppt,Actual,Detected,7.87,Deg C.,Actual,Detected,0.04,mg/l
21DELAWQ_WQX-109251,2013-09-04 09:57:00,Actual,Detected,3,mg/l,Actual,Detected,8.64,mg/l,Actual,Detected,7.06,ph,Actual,Detected,2.45,ug/l,Actual,Detected,3.96,mg/l,Actual,Detected,410,cfu/100 ml,Actual,Detected,0.14,ppt,Actual,Detected,17.74,Deg C.,Actual,Detected,0.03,mg/l
21DELAWQ_WQX-109251,2013-11-06 09:25:00,Actual,Detected,2,mg/l,Actual,Detected,8.72,mg/l,Actual,Detected,7.71,ph,Actual,Detected,0.44,ug/l,Actual,Detected,3.83,mg/l,Actual,Detected,67,cfu/100 ml,Actual,Detected,0.15,ppt,Actual,Detected,12.04,Deg C.,Actual,Detected,0.04,mg/l
21DELAWQ_WQX-109251,2013-10-11 12:20:00,Actual,Detected,24,mg/l,Actual,Detected,8.58,mg/l,Actual,Detected,7.08,ph,Actual,Detected,7.7,ug/l,Actual,Detected,1.48,mg/l,Actual,Detected,5170,cfu/100 ml,Actual,Not Detected,0.05,ppt,Actual,Detected,16.37,Deg C.,Actual,Detected,0.1,mg/l
21DELAWQ_WQX-109251,2013-07-02 12:09:00,Estimated,Detected,1,mg/l,NA,NA,NA,NA,NA,NA,NA,NA,Actual,Detected,2.2,ug/l,Actual,Detected,2.89,mg/l,Actual,Detected,1310,cfu/100 ml,NA,NA,NA,NA,NA,NA,NA,NA,Actual,Detected,0.05,mg/l
21DELAWQ_WQX-109251,2013-03-27 09:37:00,Actual,Detected,13,mg/l,Actual,Detected,11.04,mg/l,Actual,Detected,7.15,ph,Actual,Detected,5.12,ug/l,Estimated,Detected,3.19,mg/l,Actual,Detected,83,cfu/100 ml,Actual,Detected,0.2,ppt,Actual,Detected,8.04,Deg C.,Actual,Detected,0.02,mg/l
21DELAWQ_WQX-109251,2013-06-10 09:32:00,Actual,Detected,8,mg/l,Actual,Detected,7.71,mg/l,Actual,Detected,7.01,ph,Actual,Detected,2.14,ug/l,Actual,Detected,2.74,mg/l,Actual,Detected,25000,cfu/100 ml,Actual,Detected,0.13,ppt,Actual,Detected,18.74,Deg C.,Actual,Detected,0.07,mg/l
21DELAWQ_WQX-109251,2014-08-06 11:09:00,Actual,Detected,6,mg/l,Actual,Detected,8.02,mg/l,Actual,Detected,7.11,ph,Actual,Detected,0.83,ug/l,Actual,Detected,3.32,mg/l,Actual,Detected,263,cfu/100 ml,Actual,Detected,0.18,ppt,Actual,Detected,19.62,Deg C.,Actual,Detected,0.05,mg/l
21DELAWQ_WQX-109251,2014-11-10 09:45:00,Estimated,Detected,1,mg/l,Actual,Detected,9.42,mg/l,Actual,Detected,6.93,ph,Actual,Detected,1.11,ug/l,Actual,Detected,3.32,mg/l,Actual,Detected,192,cfu/100 ml,Actual,Detected,0.16,ppt,Actual,Detected,10.28,Deg C.,Actual,Detected,0.03,mg/l
21DELAWQ_WQX-109251,2014-01-07 10:09:00,Actual,Detected,4,mg/l,Actual,Detected,12.64,mg/l,Actual,Detected,7.08,ph,Actual,Detected,1.91,ug/l,Actual,Detected,3.36,mg/l,Actual,Detected,114,cfu/100 ml,Actual,Detected,0.3,ppt,Actual,Detected,0.22,Deg C.,Actual,Detected,0.05,mg/l
21DELAWQ_WQX-109251,2014-12-02 09:48:00,Actual,Detected,29,mg/l,Actual,Detected,10.85,mg/l,Actual,Detected,7.14,ph,Actual,Detected,2.56,ug/l,Actual,Detected,2.59,mg/l,Actual,Detected,1370,cfu/100 ml,Actual,Detected,0.13,ppt,Actual,Detected,8.15,Deg C.,Actual,Detected,0.1,mg/l
21DELAWQ_WQX-109251,2014-08-13 13:08:00,Actual,Detected,28,mg/l,Actual,Detected,6.83,mg/l,Actual,Detected,7.07,ph,Actual,Detected,7.96,ug/l,Actual,Detected,0.88,mg/l,Actual,Detected,1230,cfu/100 ml,Actual,Detected,0.1,ppt,Actual,Detected,24.11,Deg C.,Actual,Detected,0.13,mg/l
21DELAWQ_WQX-109251,2014-09-08 10:01:00,Actual,Detected,2,mg/l,Actual,Detected,8.69,mg/l,Actual,Detected,7.21,ph,Actual,Detected,1.27,ug/l,Actual,Detected,3.52,mg/l,Actual,Detected,137,cfu/100 ml,Actual,Detected,0.15,ppt,Actual,Detected,18.94,Deg C.,Actual,Detected,0.04,mg/l
21DELAWQ_WQX-109251,2014-12-03 12:24:00,Actual,Detected,3,mg/l,Actual,Detected,7.64,mg/l,Actual,Detected,7.22,ph,Actual,Detected,2.8,ug/l,Actual,Detected,2.44,mg/l,Actual,Detected,275,cfu/100 ml,Actual,Detected,0.15,ppt,Actual,Detected,9.25,Deg C.,Actual,Detected,0.05,mg/l
21DELAWQ_WQX-109251,2014-05-06 09:15:00,Actual,Detected,4,mg/l,Actual,Detected,9.54,mg/l,Actual,Detected,6.62,ph,Actual,Detected,2.79,ug/l,Actual,Detected,3.14,mg/l,Actual,Detected,123,cfu/100 ml,Actual,Detected,0.16,ppt,Actual,Detected,13.17,Deg C.,Actual,Detected,0.07,mg/l
21DELAWQ_WQX-109251,2014-03-11 09:35:00,Actual,Detected,3,mg/l,Actual,Detected,11.05,mg/l,Actual,Detected,7.04,ph,Actual,Detected,1.51,ug/l,Estimated,Detected,4,mg/l,Actual,Detected,85,cfu/100 ml,Actual,Detected,0.18,ppt,Actual,Detected,8.88,Deg C.,Actual,Detected,0.04,mg/l
21DELAWQ_WQX-109251,2014-10-06 10:01:00,Actual,Detected,4,mg/l,Actual,Detected,9.03,mg/l,Actual,Detected,7.56,ph,Actual,Detected,0.78,ug/l,Actual,Detected,4.47,mg/l,Actual,Detected,344,cfu/100 ml,Actual,Detected,0.16,ppt,Actual,Detected,13.51,Deg C.,Actual,Detected,0.03,mg/l
21DELAWQ_WQX-109251,2014-07-08 09:56:00,Actual,Detected,2,mg/l,Actual,Detected,8.41,mg/l,Actual,Detected,7.07,ph,Actual,Detected,0.97,ug/l,Actual,Detected,3.7,mg/l,Actual,Detected,582,cfu/100 ml,Actual,Detected,0.14,ppt,Actual,Detected,20.41,Deg C.,Actual,Detected,0.06,mg/l
21DELAWQ_WQX-109251,2015-10-05 11:53:00,Actual,Detected,3,mg/l,Actual,Detected,8.14,mg/l,Actual,Detected,7.11,ph,Actual,Detected,5.65,ug/l,Actual,Detected,3.02,mg/l,Actual,Detected,231,cfu/100 ml,Actual,Detected,0.15,ppt,Actual,Detected,14.31,Deg C.,Actual,Detected,0.04,mg/l
21DELAWQ_WQX-109251,2015-10-06 09:32:00,Actual,Detected,3,mg/l,Actual,Detected,9.17,mg/l,Actual,Detected,7.03,ph,Actual,Detected,3.34,ug/l,Actual,Detected,3.81,mg/l,Actual,Detected,258,cfu/100 ml,Actual,Detected,0.17,ppt,Actual,Detected,14.01,Deg C.,Actual,Detected,0.03,mg/l
21DELAWQ_WQX-109251,2015-05-11 10:23:00,Actual,Detected,8,mg/l,Actual,Detected,8.76,mg/l,Actual,Detected,6.8,ph,Actual,Detected,2.76,ug/l,Actual,Detected,3.83,mg/l,Actual,Detected,690,cfu/100 ml,Actual,Detected,0.17,ppt,Actual,Detected,17.13,Deg C.,Actual,Detected,0.04,mg/l
21DELAWQ_WQX-109251,2015-06-02 10:16:00,Actual,Detected,64,mg/l,Actual,Detected,8.02,mg/l,Actual,Detected,7.03,ph,Actual,Detected,6.42,ug/l,Actual,Detected,1.37,mg/l,Actual,Present Above Quantification Limit,4840,cfu/100 ml,Actual,Detected,0.54,ppt,Actual,Detected,19.79,Deg C.,Actual,Detected,0.19,mg/l
21DELAWQ_WQX-109251,2015-07-08 09:18:00,Actual,Detected,5,mg/l,Actual,Detected,9.22,mg/l,Actual,Detected,7.24,ph,Actual,Detected,3.56,ug/l,Actual,Detected,3.14,mg/l,Actual,Detected,1840,cfu/100 ml,Actual,Detected,0.15,ppt,Actual,Detected,21.34,Deg C.,Actual,Detected,0.04,mg/l
21DELAWQ_WQX-109251,2015-03-09 09:58:00,Actual,Detected,9,mg/l,Actual,Detected,12.85,mg/l,Actual,Detected,6.74,ph,Actual,Detected,4.52,ug/l,Actual,Detected,2.5,mg/l,Actual,Detected,113,cfu/100 ml,Actual,Detected,0.3,ppt,Actual,Detected,5.33,Deg C.,Actual,Detected,0.06,mg/l
21DELAWQ_WQX-109251,2015-12-01 09:51:00,Actual,Detected,4,mg/l,Actual,Detected,9.5,mg/l,Actual,Detected,7.07,ph,Actual,Detected,2.91,ug/l,Actual,Detected,3.77,mg/l,Actual,Detected,262,cfu/100 ml,Actual,Detected,0.16,ppt,Actual,Detected,12.23,Deg C.,Actual,Detected,0.04,mg/l
21DELAWQ_WQX-109251,2015-09-08 09:14:00,Actual,Detected,4,mg/l,Actual,Detected,8.64,mg/l,Actual,Detected,6.95,ph,Actual,Detected,1.51,ug/l,Actual,Detected,3.98,mg/l,Actual,Detected,1450,cfu/100 ml,Actual,Detected,0.16,ppt,Actual,Detected,19.45,Deg C.,Actual,Detected,0.03,mg/l
21DELAWQ_WQX-109251,2015-08-05 09:54:00,Actual,Detected,2,mg/l,Actual,Detected,6.04,mg/l,Actual,Detected,7.5,ph,Actual,Detected,3.65,ug/l,Estimated,Detected,3.97,mg/l,Actual,Detected,472,cfu/100 ml,Actual,Detected,0.17,ppt,Actual,Detected,20.03,Deg C.,Actual,Detected,0.03,mg/l
