station_id,timestamp,phosphate_phosphorus_result_type,phosphate_phosphorus_detection_condition,phosphate_phosphorus_value,phosphate_phosphorus_units,tss_result_type,tss_detection_condition,tss_value,tss_units,salinity_result_type,salinity_detection_condition,salinity_value,salinity_units,enterococcus_result_type,enterococcus_detection_condition,enterococcus_value,enterococcus_units,do_result_type,do_detection_condition,do_value,do_units,ph_result_type,ph_detection_condition,ph_value,ph_units,chlora_result_type,chlora_detection_condition,chlora_value,chlora_units,water_temp_result_type,water_temp_detection_condition,water_temp_value,water_temp_units,nutrient_nitrogen_result_type,nutrient_nitrogen_detection_condition,nutrient_nitrogen_value,nutrient_nitrogen_units
21DELAWQ_WQX-308341,2012-02-21 10:52:00,Actual,Detected,0.01,mg/l,Actual,Detected,3,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,150,cfu/100 ml,Actual,Detected,12.03,mg/l,Actual,Detected,6.77,ph,Actual,Detected,1.83,ug/l,Actual,Detected,7.75,Deg C.,Actual,Detected,1.85,mg/l
21DELAWQ_WQX-308341,2012-09-17 10:28:00,Actual,Detected,0.02,mg/l,Actual,Detected,2,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,290,cfu/100 ml,Actual,Detected,7.91,mg/l,Actual,Detected,6.58,ph,Actual,Detected,1.53,ug/l,Actual,Detected,16.34,Deg C.,Actual,Detected,1.38,mg/l
21DELAWQ_WQX-308341,2012-11-26 10:41:00,Actual,Detected,0.01,mg/l,Actual,Not Detected,0.5,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,17,cfu/100 ml,Actual,Detected,8.89,mg/l,Actual,Detected,6.26,ph,Actual,Not Detected,0.1,ug/l,Actual,Detected,9.95,Deg C.,Actual,Detected,1.28,mg/l
21DELAWQ_WQX-308341,2012-05-14 11:56:00,Actual,Detected,0.02,mg/l,Actual,Detected,4,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,420,cfu/100 ml,Actual,Detected,8.15,mg/l,Actual,Detected,6.61,ph,Actual,Detected,1.04,ug/l,Actual,Detected,16.11,Deg C.,Actual,Detected,1.72,mg/l
21DELAWQ_WQX-308341,2012-03-19 10:56:00,Actual,Detected,0.01,mg/l,Estimated,Detected,1,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,150,cfu/100 ml,Actual,Detected,10.12,mg/l,Actual,Detected,6.5,ph,Actual,Detected,0.79,ug/l,Actual,Detected,13.04,Deg C.,Actual,Detected,1.97,mg/l
21DELAWQ_WQX-308341,2012-04-10 10:28:00,Actual,Detected,0.02,mg/l,Actual,Detected,4,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,200,cfu/100 ml,Actual,Detected,11.08,mg/l,Actual,Detected,7.19,ph,Actual,Detected,11.8,ug/l,Actual,Detected,12.14,Deg C.,Estimated,Detected,1.65,mg/l
21DELAWQ_WQX-308341,2012-01-17 10:24:00,Actual,Detected,0.02,mg/l,Actual,Detected,4,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,460,cfu/100 ml,Actual,Detected,10.3,mg/l,Actual,Detected,7.38,ph,Actual,Detected,4.73,ug/l,Actual,Detected,8.47,Deg C.,Actual,Detected,2.03,mg/l
21DELAWQ_WQX-308341,2012-06-18 10:46:00,Actual,Detected,0.07,mg/l,Actual,Detected,52,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,1230,cfu/100 ml,Actual,Detected,8.27,mg/l,Actual,Detected,7.07,ph,Actual,Detected,3.23,ug/l,Actual,Detected,14.81,Deg C.,Actual,Detected,2.5,mg/l
21DELAWQ_WQX-308341,2013-07-29 11:20:00,Actual,Detected,0.01,mg/l,Estimated,Detected,1,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,320,cfu/100 ml,Actual,Detected,7.78,mg/l,Actual,Detected,6.31,ph,Actual,Detected,0.4,ug/l,Actual,Detected,18.78,Deg C.,Actual,Detected,2.11,mg/l
21DELAWQ_WQX-308341,2013-01-28 10:52:00,Actual,Detected,0.02,mg/l,Actual,Not Detected,0.5,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,120,cfu/100 ml,Actual,Detected,10.8,mg/l,Actual,Detected,6.24,ph,Actual,Detected,0.51,ug/l,Actual,Detected,5.86,Deg C.,Actual,Detected,1.31,mg/l
21DELAWQ_WQX-308341,2013-09-17 10:39:00,Actual,Detected,0.02,mg/l,Actual,Not Detected,0.5,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,100,cfu/100 ml,Actual,Detected,8.85,mg/l,Actual,Detected,6.58,ph,Actual,Not Detected,0.1,ug/l,Actual,Detected,14.55,Deg C.,Actual,Detected,2.05,mg/l
21DELAWQ_WQX-308341,2013-03-18 10:04:00,Estimated,Detected,0.01,mg/l,Actual,Not Detected,0.5,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,20,cfu/100 ml,Actual,Detected,9.45,mg/l,Actual,Detected,6.56,ph,Actual,Detected,1.36,ug/l,Actual,Detected,7.58,Deg C.,Actual,Detected,1.34,mg/l
21DELAWQ_WQX-308341,2013-11-18 11:09:00,Actual,Detected,0.05,mg/l,Actual,Not Detected,0.5,mg/l,NA,NA,NA,NA,Actual,Detected,391,cfu/100 ml,NA,NA,NA,NA,NA,NA,NA,NA,Actual,Not Detected,0.1,ug/l,NA,NA,NA,NA,Actual,Detected,1.98,mg/l
21DELAWQ_WQX-308341,2013-05-28 11:07:00,Estimated,Detected,0.01,mg/l,Estimated,Detected,1,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,40,cfu/100 ml,Actual,Detected,5.59,mg/l,Actual,Detected,6.66,ph,Actual,Detected,0.39,ug/l,Actual,Detected,15.43,Deg C.,Actual,Detected,1.68,mg/l
21DELAWQ_WQX-308341,2014-11-17 12:10:00,Actual,Detected,0.01,mg/l,Actual,Not Detected,0.5,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,46,cfu/100 ml,Actual,Detected,7.67,mg/l,Actual,Detected,6.85,ph,Actual,Not Detected,0.1,ug/l,Actual,Detected,11.7,Deg C.,Actual,Detected,2.77,mg/l
21DELAWQ_WQX-308341,2014-07-28 11:26:00,Estimated,Detected,0.1,mg/l,Actual,Detected,4,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,521,cfu/100 ml,Actual,Detected,7.73,mg/l,Actual,Detected,6.65,ph,Actual,Detected,0.49,ug/l,Actual,Detected,20.43,Deg C.,Actual,Detected,2.19,mg/l
21DELAWQ_WQX-308341,2014-09-23 10:59:00,Actual,Detected,0.02,mg/l,Actual,Detected,6,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,280,cfu/100 ml,Actual,Detected,9.9,mg/l,Actual,Detected,6.65,ph,Actual,Detected,4.94,ug/l,Actual,Detected,14.21,Deg C.,Actual,Detected,2.62,mg/l
21DELAWQ_WQX-308341,2014-05-20 09:34:00,Actual,Detected,0.05,mg/l,Actual,Detected,2,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,24,cfu/100 ml,Actual,Detected,8.91,mg/l,Actual,Detected,6.67,ph,Actual,Detected,0.61,ug/l,Actual,Detected,14.15,Deg C.,Estimated,Detected,2.46,mg/l
21DELAWQ_WQX-308341,2014-01-21 10:43:00,Actual,Detected,0.05,mg/l,Actual,Detected,2,mg/l,Actual,Not Detected,0.05,ppt,NA,NA,NA,NA,Actual,Detected,10.69,mg/l,Actual,Detected,6.15,ph,NA,NA,NA,NA,Actual,Detected,6.56,Deg C.,Estimated,Detected,2.65,mg/l
21DELAWQ_WQX-308341,2014-03-24 10:35:00,Actual,Detected,0.03,mg/l,Actual,Detected,2,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,96,cfu/100 ml,Actual,Detected,11.72,mg/l,Actual,Detected,6.41,ph,Actual,Detected,0.55,ug/l,Actual,Detected,5.69,Deg C.,Actual,Detected,2.67,mg/l
21DELAWQ_WQX-308341,2015-09-21 11:17:00,Actual,Detected,0.01,mg/l,Actual,Detected,2,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,1540,cfu/100 ml,Actual,Detected,8.41,mg/l,Actual,Detected,6.51,ph,Actual,Detected,3.57,ug/l,Actual,Detected,17.02,Deg C.,Actual,Detected,2.72,mg/l
21DELAWQ_WQX-308341,2015-08-10 11:40:00,Actual,Detected,0.02,mg/l,Actual,Detected,4,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,690,cfu/100 ml,Actual,Detected,8.47,mg/l,Actual,Detected,6.58,ph,Actual,Detected,0.54,ug/l,Actual,Detected,18.02,Deg C.,Actual,Detected,2.95,mg/l
21DELAWQ_WQX-308341,2015-05-26 10:03:00,Actual,Detected,0.01,mg/l,Actual,Detected,4,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,977,cfu/100 ml,Actual,Detected,8.95,mg/l,Actual,Detected,6.86,ph,Actual,Detected,0.53,ug/l,Actual,Detected,17.41,Deg C.,Estimated,Detected,2.5,mg/l
21DELAWQ_WQX-308341,2015-10-19 12:08:00,Estimated,Detected,0.01,mg/l,Actual,Detected,2,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,517,cfu/100 ml,Actual,Detected,9.82,mg/l,Actual,Detected,6.56,ph,Actual,Detected,0.25,ug/l,Actual,Detected,10.78,Deg C.,Actual,Detected,2.69,mg/l
21DELAWQ_WQX-308341,2015-03-23 11:19:00,Actual,Detected,0.01,mg/l,Actual,Detected,2,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,17,cfu/100 ml,Actual,Detected,12.48,mg/l,Actual,Detected,6.35,ph,Actual,Detected,2.03,ug/l,Actual,Detected,7.25,Deg C.,Actual,Detected,2.59,mg/l
21DELAWQ_WQX-308341,2015-11-16 11:57:00,Actual,Detected,0.01,mg/l,Actual,Not Detected,0.5,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,187,cfu/100 ml,Actual,Detected,8.88,mg/l,Actual,Detected,6.63,ph,Actual,Not Detected,0.1,ug/l,Actual,Detected,13.1,Deg C.,Actual,Detected,2.64,mg/l
21DELAWQ_WQX-308341,2015-07-20 11:16:00,Actual,Detected,0.02,mg/l,Actual,Detected,5,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,1300,cfu/100 ml,Actual,Detected,8.61,mg/l,Actual,Detected,7.34,ph,Actual,Detected,0.73,ug/l,Actual,Detected,20.73,Deg C.,Estimated,Detected,2.54,mg/l
21DELAWQ_WQX-308341,2015-12-07 11:30:00,Estimated,Detected,0.01,mg/l,Estimated,Detected,1,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,245,cfu/100 ml,Actual,Detected,9.86,mg/l,Actual,Detected,6.52,ph,Actual,Detected,0.25,ug/l,Actual,Detected,10.5,Deg C.,Actual,Detected,2.67,mg/l
21DELAWQ_WQX-308341,2015-01-20 11:02:00,Actual,Detected,0.02,mg/l,Actual,Detected,22,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,137,cfu/100 ml,Actual,Detected,11.24,mg/l,Actual,Detected,6.22,ph,Actual,Detected,0.39,ug/l,Actual,Detected,6.68,Deg C.,Actual,Detected,2.12,mg/l
21DELAWQ_WQX-308341,2016-03-14 11:23:00,Actual,Detected,0.01,mg/l,Actual,Detected,3,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,203,cfu/100 ml,Actual,Detected,8.92,mg/l,Actual,Detected,6.1,ph,Actual,Detected,0.99,ug/l,Actual,Detected,12.02,Deg C.,Estimated,Detected,2.05,mg/l
21DELAWQ_WQX-308341,2016-06-21 11:05:00,Actual,Detected,0.01,mg/l,Actual,Detected,5,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,125,cfu/100 ml,Actual,Detected,8.23,mg/l,Actual,Detected,6.47,ph,Actual,Detected,0.61,ug/l,Actual,Detected,18.78,Deg C.,Actual,Detected,2.47,mg/l
21DELAWQ_WQX-308341,2016-01-19 11:15:00,Estimated,Detected,0.01,mg/l,Actual,Detected,2,mg/l,NA,NA,NA,NA,Actual,Detected,17,cfu/100 ml,NA,NA,NA,NA,NA,NA,NA,NA,Actual,Detected,0.65,ug/l,NA,NA,NA,NA,Estimated,Detected,2.45,mg/l
21DELAWQ_WQX-308341,2016-11-28 11:42:00,Estimated,Detected,0.01,mg/l,Actual,Not Detected,0.5,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,716,cfu/100 ml,Actual,Detected,10.23,mg/l,Actual,Detected,6.17,ph,Actual,Detected,0.43,ug/l,Actual,Detected,9.65,Deg C.,Actual,Detected,2.48,mg/l
21DELAWQ_WQX-308341,2016-05-09 11:28:00,Actual,Detected,0.01,mg/l,Actual,Detected,3,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,43,cfu/100 ml,Actual,Detected,9.3,mg/l,Actual,Detected,8,ph,Actual,Detected,1.49,ug/l,Actual,Detected,13.53,Deg C.,Actual,Detected,2.35,mg/l
21DELAWQ_WQX-308341,2016-10-24 11:36:00,Actual,Detected,0.01,mg/l,Actual,Detected,2,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,2240,cfu/100 ml,Actual,Detected,10.61,mg/l,Actual,Detected,6.06,ph,Actual,Detected,0.44,ug/l,Actual,Detected,14.29,Deg C.,Actual,Detected,1.96,mg/l
21DELAWQ_WQX-308341,2016-04-11 11:27:00,Actual,Detected,0.01,mg/l,Actual,Not Detected,0.5,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,66,cfu/100 ml,Actual,Detected,9.63,mg/l,Actual,Detected,6.85,ph,Actual,Detected,0.41,ug/l,Actual,Detected,11.73,Deg C.,Actual,Detected,2.43,mg/l
21DELAWQ_WQX-308341,2016-02-08 09:50:00,NA,NA,NA,NA,Actual,Not Detected,0.5,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,94,cfu/100 ml,Actual,Detected,10,mg/l,Actual,Detected,6.55,ph,Actual,Detected,0.45,ug/l,Actual,Detected,7.8,Deg C.,NA,NA,NA,NA
21DELAWQ_WQX-308341,2016-07-25 11:24:00,Actual,Detected,0.02,mg/l,Actual,Detected,5,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,690,cfu/100 ml,Actual,Detected,8.12,mg/l,Actual,Detected,6.6,ph,Actual,Detected,0.72,ug/l,Actual,Detected,20.98,Deg C.,Actual,Detected,3.12,mg/l
21DELAWQ_WQX-308341,2016-09-26 11:13:00,Estimated,Detected,0.01,mg/l,Actual,Not Detected,0.5,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,922,cfu/100 ml,Actual,Detected,7.84,mg/l,Actual,Detected,5.99,ph,Actual,Detected,0.49,ug/l,Actual,Detected,15.77,Deg C.,Actual,Detected,2.85,mg/l
21DELAWQ_WQX-308341,2016-12-12 11:13:00,Estimated,Detected,0.01,mg/l,Actual,Not Detected,0.5,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,306,cfu/100 ml,Actual,Detected,9.26,mg/l,Actual,Detected,5.83,ph,Actual,Detected,0.63,ug/l,Actual,Detected,9.82,Deg C.,Actual,Detected,2.43,mg/l
21DELAWQ_WQX-308341,2016-08-22 12:23:00,Actual,Detected,0.01,mg/l,Actual,Not Detected,0.5,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,1230,cfu/100 ml,Actual,Detected,8.33,mg/l,Actual,Detected,6.6,ph,Actual,Detected,0.37,ug/l,Actual,Detected,19.79,Deg C.,Actual,Detected,2.87,mg/l
21DELAWQ_WQX-308341,2017-04-24 11:42:00,Estimated,Detected,0.01,mg/l,Estimated,Detected,1.7,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,197,cfu/100 ml,Actual,Detected,7.28,mg/l,Actual,Detected,5.85,ph,Actual,Detected,4.69,ug/l,Actual,Detected,13.31,Deg C.,Actual,Detected,2.37,mg/l
21DELAWQ_WQX-308341,2017-08-21 11:09:00,Actual,Detected,0.02,mg/l,Estimated,Detected,1.4,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,688,cfu/100 ml,Actual,Detected,8.42,mg/l,Actual,Detected,6.49,ph,Actual,Detected,0.57,ug/l,Actual,Detected,19.01,Deg C.,Actual,Detected,2.56,mg/l
21DELAWQ_WQX-308341,2017-06-26 11:40:00,Actual,Detected,0.02,mg/l,Actual,Detected,2.8,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,615,cfu/100 ml,Actual,Detected,8.23,mg/l,Actual,Detected,6.54,ph,Actual,Detected,0.51,ug/l,Actual,Detected,18.66,Deg C.,Actual,Detected,2.52,mg/l
21DELAWQ_WQX-308341,2017-03-27 10:48:00,Estimated,Detected,0.01,mg/l,Estimated,Detected,1.1,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,15,cfu/100 ml,Actual,Detected,8.19,mg/l,Actual,Detected,5.92,ph,Actual,Detected,1.74,ug/l,Actual,Detected,12.89,Deg C.,Actual,Detected,2.58,mg/l
21DELAWQ_WQX-308341,2017-02-27 11:04:00,Estimated,Detected,0.01,mg/l,Estimated,Detected,1,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,24,cfu/100 ml,Actual,Detected,9.71,mg/l,Actual,Detected,5.65,ph,Actual,Detected,1.22,ug/l,Actual,Detected,10.73,Deg C.,Actual,Detected,2.6,mg/l
21DELAWQ_WQX-308341,2017-10-17 10:49:00,Actual,Detected,0.02,mg/l,Actual,Detected,3.5,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,2240,cfu/100 ml,Actual,Detected,9.46,mg/l,Actual,Detected,6.56,ph,Actual,Detected,0.62,ug/l,Actual,Detected,12.44,Deg C.,Actual,Detected,2.85,mg/l
21DELAWQ_WQX-308341,2017-12-11 11:12:00,Actual,Detected,0.02,mg/l,Actual,Not Detected,0.5,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,114,cfu/100 ml,Actual,Detected,9.71,mg/l,Actual,Detected,6.16,ph,Actual,Detected,0.27,ug/l,Actual,Detected,8.09,Deg C.,Actual,Detected,2.63,mg/l
21DELAWQ_WQX-308341,2017-01-30 10:57:00,Estimated,Detected,0.01,mg/l,Estimated,Detected,2.2,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,49,cfu/100 ml,Actual,Detected,10.49,mg/l,Actual,Detected,5.77,ph,Actual,Detected,0.45,ug/l,Actual,Detected,6.44,Deg C.,Actual,Detected,2.72,mg/l
21DELAWQ_WQX-308341,2017-05-16 10:00:00,Actual,Detected,0.01,mg/l,Estimated,Detected,2.1,mg/l,Actual,Detected,0.1,ppt,Actual,Detected,35,cfu/100 ml,Actual,Detected,7.18,mg/l,Actual,Detected,6.31,ph,Actual,Detected,0.83,ug/l,Actual,Detected,13.89,Deg C.,Actual,Detected,2.71,mg/l
21DELAWQ_WQX-308341,2018-11-26 10:14:00,Actual,Detected,0.02,mg/l,Estimated,Detected,1.8,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,407,cfu/100 ml,Actual,Detected,8.8,mg/l,Actual,Detected,5.79,ph,Actual,Detected,0.39,ug/l,Actual,Detected,11.6,Deg C.,Actual,Detected,2.3,mg/l
21DELAWQ_WQX-308341,2018-06-18 11:12:00,Actual,Detected,0.02,mg/l,Actual,Detected,2.5,mg/l,Actual,Not Detected,0.05,ppt,Actual,Detected,204,cfu/100 ml,Actual,Detected,8.24,mg/l,Actual,Detected,6.41,ph,Actual,Detected,0.3,ug/l,Actual,Detected,22.74,Deg C.,Actual,Detected,2.43,mg/l
