station_id,timestamp,salinity_result_type,salinity_detection_condition,salinity_value,salinity_units,enterococcus_result_type,enterococcus_detection_condition,enterococcus_value,enterococcus_units,chlora_result_type,chlora_detection_condition,chlora_value,chlora_units,phosphate_phosphorus_result_type,phosphate_phosphorus_detection_condition,phosphate_phosphorus_value,phosphate_phosphorus_units,nutrient_nitrogen_result_type,nutrient_nitrogen_detection_condition,nutrient_nitrogen_value,nutrient_nitrogen_units,ph_result_type,ph_detection_condition,ph_value,ph_units,do_result_type,do_detection_condition,do_value,do_units,tss_result_type,tss_detection_condition,tss_value,tss_units,water_temp_result_type,water_temp_detection_condition,water_temp_value,water_temp_units
21DELAWQ_WQX-114051,2017-04-04 10:43:00,Actual,Detected,0.13,ppt,Actual,Detected,821,cfu/100 ml,Actual,Detected,1.4,ug/l,Actual,Detected,0.05,mg/l,Actual,Detected,1.05,mg/l,Actual,Detected,6.7,ph,Actual,Detected,6.78,mg/l,Actual,Detected,6.4,mg/l,Actual,Detected,13.61,Deg C.
21DELAWQ_WQX-114051,2017-03-07 09:21:00,Actual,Detected,0.19,ppt,Actual,Detected,24,cfu/100 ml,Actual,Detected,0.94,ug/l,Actual,Detected,0.01,mg/l,Actual,Detected,1.2,mg/l,Actual,Detected,7.07,ph,Actual,Detected,10.59,mg/l,Actual,Detected,5.8,mg/l,Actual,Detected,6.94,Deg C.
21DELAWQ_WQX-114051,2017-02-01 09:28:00,Actual,Detected,0.22,ppt,Actual,Detected,6,cfu/100 ml,Actual,Detected,0.41,ug/l,Actual,Detected,0.01,mg/l,Actual,Detected,1.33,mg/l,Actual,Detected,7.97,ph,Actual,Detected,11.59,mg/l,Estimated,Detected,2,mg/l,Actual,Detected,5,Deg C.
21DELAWQ_WQX-114051,2017-07-18 09:48:00,Actual,Detected,0.21,ppt,Actual,Present Above Quantification Limit,4840,cfu/100 ml,Actual,Detected,0.99,ug/l,Actual,Detected,0.04,mg/l,Actual,Detected,1.41,mg/l,Actual,Detected,7.29,ph,Actual,Detected,7.03,mg/l,Actual,Detected,14.1,mg/l,Actual,Detected,23.33,Deg C.
21DELAWQ_WQX-114051,2017-09-06 09:33:00,Actual,Detected,0.11,ppt,Actual,Present Above Quantification Limit,4840,cfu/100 ml,Actual,Detected,1.3,ug/l,Actual,Detected,0.07,mg/l,Actual,Detected,1.16,mg/l,Actual,Detected,6.97,ph,Actual,Detected,5.49,mg/l,Estimated,Detected,5.8,mg/l,Actual,Detected,20.56,Deg C.
21DELAWQ_WQX-114051,2017-01-04 10:12:00,Actual,Detected,0.17,ppt,Actual,Detected,498,cfu/100 ml,Actual,Detected,0.97,ug/l,Actual,Detected,0.05,mg/l,Actual,Detected,1.3,mg/l,Actual,Detected,7.57,ph,Actual,Detected,10.42,mg/l,Actual,Detected,4.3,mg/l,Actual,Detected,8.03,Deg C.
21DELAWQ_WQX-114051,2017-05-02 09:16:00,Actual,Detected,0.21,ppt,Actual,Present Above Quantification Limit,4840,cfu/100 ml,Actual,Detected,8.3,ug/l,Actual,Detected,0.04,mg/l,Actual,Detected,1.28,mg/l,Actual,Detected,7,ph,Actual,Detected,8.66,mg/l,Actual,Detected,44.5,mg/l,Actual,Detected,17.22,Deg C.
21DELAWQ_WQX-114051,2018-08-14 09:07:00,Actual,Detected,0.19,ppt,Actual,Detected,4840,cfu/100 ml,Actual,Detected,0.65,ug/l,Actual,Detected,0.04,mg/l,Actual,Detected,1.8,mg/l,Actual,Detected,7.11,ph,Actual,Detected,7.76,mg/l,Actual,Detected,19.6,mg/l,Actual,Detected,22.65,Deg C.
21DELAWQ_WQX-114051,2018-02-06 09:16:00,Actual,Detected,0.24,ppt,Actual,Detected,258,cfu/100 ml,Actual,Detected,0.55,ug/l,Actual,Detected,0.03,mg/l,Actual,Detected,1.43,mg/l,Actual,Detected,7.42,ph,Actual,Detected,12.83,mg/l,Actual,Detected,6.2,mg/l,Actual,Detected,2.12,Deg C.
21DELAWQ_WQX-114051,2018-06-04 09:10:00,Actual,Detected,0.2,ppt,Actual,Present Above Quantification Limit,4840,cfu/100 ml,Actual,Detected,1.27,ug/l,Actual,Detected,0.07,mg/l,Actual,Detected,1.48,mg/l,Actual,Detected,6.65,ph,Actual,Detected,8.32,mg/l,Actual,Detected,18.8,mg/l,Actual,Detected,16.78,Deg C.
21DELAWQ_WQX-114051,2018-05-02 08:59:00,Actual,Detected,0.25,ppt,Actual,Detected,313,cfu/100 ml,Actual,Detected,1.25,ug/l,Actual,Detected,0.02,mg/l,Actual,Detected,1.23,mg/l,Actual,Detected,6.93,ph,Actual,Detected,9.46,mg/l,Actual,Detected,4.8,mg/l,Actual,Detected,14.08,Deg C.
21DELAWQ_WQX-114051,2018-04-09 09:26:00,Actual,Detected,0.33,ppt,Actual,Detected,187,cfu/100 ml,Actual,Detected,0.77,ug/l,Actual,Detected,0.01,mg/l,Actual,Detected,1.4,mg/l,Actual,Detected,6.37,ph,Actual,Detected,11.18,mg/l,Actual,Detected,3.4,mg/l,Actual,Detected,7.08,Deg C.
21DELAWQ_WQX-114051,2018-03-06 09:20:00,Actual,Detected,0.14,ppt,Actual,Detected,90,cfu/100 ml,Actual,Detected,4.01,ug/l,Actual,Detected,0.03,mg/l,Actual,Detected,1.63,mg/l,Actual,Detected,6.92,ph,Actual,Detected,12,mg/l,Actual,Detected,41.3,mg/l,Actual,Detected,5.48,Deg C.
21DELAWQ_WQX-114051,2019-04-02 08:28:00,Actual,Detected,0.21,ppt,Actual,Detected,17,cfu/100 ml,Actual,Detected,1.24,ug/l,Actual,Detected,0.01,mg/l,Actual,Detected,1.08,mg/l,Actual,Detected,6.69,ph,Actual,Detected,11.97,mg/l,Actual,Detected,3.4,mg/l,Actual,Detected,6.2,Deg C.
21DELAWQ_WQX-114051,2019-12-03 08:43:00,Actual,Detected,0.28,ppt,Actual,Detected,1100,cfu/100 ml,Actual,Detected,5.06,ug/l,Actual,Detected,0.1,mg/l,Actual,Detected,1.09,mg/l,Actual,Detected,6.97,ph,Actual,Detected,8.88,mg/l,Actual,Detected,44.7,mg/l,Actual,Detected,5.87,Deg C.
21DELAWQ_WQX-114051,2019-02-05 09:09:00,Actual,Detected,0.39,ppt,Actual,Detected,54,cfu/100 ml,Actual,Detected,4.12,ug/l,Actual,Detected,0.02,mg/l,Actual,Detected,1.25,mg/l,Actual,Detected,5.9,ph,Actual,Detected,12.75,mg/l,Actual,Detected,9,mg/l,Actual,Detected,3.8,Deg C.
21DELAWQ_WQX-114051,2019-01-08 09:16:00,Actual,Detected,0.13,ppt,Actual,Detected,224,cfu/100 ml,Actual,Detected,0.62,ug/l,Actual,Detected,0.03,mg/l,Actual,Detected,1.05,mg/l,Actual,Detected,6.5,ph,Actual,Detected,11.74,mg/l,Actual,Detected,2.9,mg/l,Actual,Detected,6.7,Deg C.
21DELAWQ_WQX-114051,2019-06-04 08:12:00,Actual,Detected,0.21,ppt,Actual,Detected,3470,cfu/100 ml,Actual,Not Detected,0.1,ug/l,Actual,Detected,0.02,mg/l,Actual,Detected,1.46,mg/l,Actual,Detected,7.07,ph,Actual,Detected,8.98,mg/l,Actual,Detected,4.3,mg/l,Actual,Detected,16.5,Deg C.
21DELAWQ_WQX-114051,2020-12-01 08:49:00,Actual,Detected,0.11,ppt,Actual,Detected,3470,cfu/100 ml,Actual,Detected,0.61,ug/l,Actual,Detected,0.09,mg/l,Actual,Detected,1.61,mg/l,Actual,Detected,6.64,ph,Actual,Detected,10.61,mg/l,Actual,Detected,5.9,mg/l,Actual,Detected,10.01,Deg C.
21DELAWQ_WQX-114051,2020-08-11 08:30:00,Actual,Detected,0.24,ppt,Actual,Detected,922,cfu/100 ml,Actual,Detected,0.33,ug/l,Actual,Detected,0.02,mg/l,Actual,Detected,1.38,mg/l,Actual,Detected,7.13,ph,Actual,Detected,8.02,mg/l,Estimated,Detected,1.7,mg/l,Actual,Detected,24.29,Deg C.
21DELAWQ_WQX-114051,2020-02-05 08:22:00,Actual,Detected,0.18,ppt,Actual,Detected,58,cfu/100 ml,Actual,Detected,0.22,ug/l,Actual,Detected,0.02,mg/l,Actual,Detected,1.24,mg/l,Actual,Detected,7.12,ph,Actual,Detected,11.46,mg/l,Estimated,Detected,1.6,mg/l,Actual,Detected,8.13,Deg C.
21DELAWQ_WQX-114051,2020-10-06 08:13:00,Actual,Detected,0.22,ppt,Actual,Detected,626,cfu/100 ml,Actual,Detected,0.63,ug/l,Actual,Detected,0.02,mg/l,Actual,Detected,1.44,mg/l,Actual,Detected,7.07,ph,Actual,Detected,9.6,mg/l,Estimated,Present Below Quantification Limit,1.6,mg/l,Actual,Detected,14.76,Deg C.
21DELAWQ_WQX-114051,2020-04-07 08:58:00,Actual,Detected,0.19,ppt,Actual,Detected,97,cfu/100 ml,Actual,Detected,0.58,ug/l,Actual,Detected,0.01,mg/l,Actual,Detected,0.94,mg/l,Actual,Detected,7.41,ph,Actual,Detected,10.31,mg/l,Estimated,Detected,1.4,mg/l,Actual,Detected,11.71,Deg C.
21DELAWQ_WQX-114051,2021-02-16 08:37:00,Actual,Detected,0.16,ppt,Actual,Present Above Quantification Limit,4840,cfu/100 ml,Actual,Detected,1.51,ug/l,Actual,Detected,0.14,mg/l,Actual,Detected,1.34,mg/l,Actual,Detected,6.83,ph,Actual,Detected,12.47,mg/l,Actual,Detected,27.2,mg/l,Actual,Detected,4.55,Deg C.
21DELAWQ_WQX-114051,2021-06-01 09:02:00,Actual,Detected,0.2,ppt,Actual,Detected,615,cfu/100 ml,Actual,Detected,0.5,ug/l,Actual,Detected,0.03,mg/l,Actual,Detected,1.44,mg/l,Actual,Detected,7.06,ph,Actual,Detected,9.62,mg/l,Estimated,Present Below Quantification Limit,1.9,mg/l,Actual,Detected,16.46,Deg C.
21DELAWQ_WQX-114051,2021-04-06 08:32:00,Actual,Detected,0.2,ppt,Actual,Detected,29,cfu/100 ml,Actual,Detected,0.86,ug/l,Actual,Detected,0.02,mg/l,Actual,Detected,1.06,mg/l,Actual,Detected,6.84,ph,Actual,Detected,10.76,mg/l,Estimated,Present Below Quantification Limit,1.8,mg/l,Actual,Detected,11.08,Deg C.
21DELAWQ_WQX-114051,2021-08-03 08:50:00,Actual,Detected,0.23,ppt,Actual,Detected,545,cfu/100 ml,Actual,Detected,1.25,ug/l,Actual,Detected,0.01,mg/l,Actual,Detected,1.52,mg/l,Actual,Detected,7.25,ph,Actual,Detected,9.01,mg/l,Actual,Not Detected,0.5,mg/l,Actual,Detected,20.5,Deg C.
21DELAWQ_WQX-114051,2021-07-07 08:26:00,Actual,Detected,0.25,ppt,Actual,Detected,775,cfu/100 ml,Actual,Detected,0.32,ug/l,Actual,Detected,0.02,mg/l,Actual,Detected,1.58,mg/l,Actual,Detected,7.16,ph,Actual,Detected,8.45,mg/l,Estimated,Present Below Quantification Limit,2,mg/l,Actual,Detected,23.84,Deg C.
21DELAWQ_WQX-114051,2021-09-07 08:39:00,Actual,Detected,0.21,ppt,Actual,Detected,821,cfu/100 ml,Actual,Detected,0.34,ug/l,Actual,Detected,0.02,mg/l,Actual,Detected,1.59,mg/l,Actual,Detected,7.08,ph,Actual,Detected,8.83,mg/l,Estimated,Present Below Quantification Limit,1.2,mg/l,Actual,Detected,18.71,Deg C.
21DELAWQ_WQX-114051,2021-10-05 09:20:00,Actual,Not Detected,0.05,ppt,Actual,Present Above Quantification Limit,4840,cfu/100 ml,Actual,Detected,0.89,ug/l,Actual,Detected,0.17,mg/l,Actual,Detected,1.42,mg/l,Actual,Detected,7.01,ph,Actual,Detected,8.67,mg/l,Actual,Detected,5.8,mg/l,Actual,Detected,20.89,Deg C.
21DELAWQ_WQX-114051,2021-12-01 08:52:00,Actual,Detected,0.21,ppt,Actual,Detected,22,cfu/100 ml,Actual,Not Detected,0.1,ug/l,Actual,Detected,0.01,mg/l,Actual,Detected,0.94,mg/l,Actual,Detected,6.69,ph,Actual,Detected,11.69,mg/l,Estimated,Present Below Quantification Limit,1,mg/l,Actual,Detected,7.02,Deg C.
21DELAWQ_WQX-114051,2021-11-03 11:20:00,Actual,Detected,0.2,ppt,Actual,Detected,582,cfu/100 ml,Actual,Detected,0.71,ug/l,Actual,Detected,0.02,mg/l,Actual,Detected,1.43,mg/l,Actual,Detected,6.64,ph,Actual,Detected,10.53,mg/l,Actual,Detected,6.5,mg/l,Actual,Detected,11.93,Deg C.
21DELAWQ_WQX-114051,2022-03-09 08:19:00,Actual,Detected,0.24,ppt,Actual,Detected,70,cfu/100 ml,Actual,Detected,1.5,ug/l,Actual,Detected,0.02,mg/l,Actual,Detected,1.43,mg/l,Actual,Detected,7.2,ph,Actual,Detected,11.25,mg/l,Actual,Detected,4.2,mg/l,Actual,Detected,8.2,Deg C.
21DELAWQ_WQX-114051,2022-02-02 08:20:00,Actual,Detected,1.85,ppt,Actual,Detected,115,cfu/100 ml,Actual,Not Detected,0.1,ug/l,Actual,Detected,0.02,mg/l,Actual,Detected,1.67,mg/l,Actual,Detected,6.06,ph,Actual,Detected,13.26,mg/l,Estimated,Present Below Quantification Limit,2.2,mg/l,Actual,Detected,3.25,Deg C.
21DELAWQ_WQX-114051,2022-01-06 08:50:00,Actual,Detected,0.42,ppt,Actual,Detected,271,cfu/100 ml,Actual,Detected,3.44,ug/l,Actual,Detected,0.04,mg/l,Actual,Detected,1.35,mg/l,Actual,Detected,6.42,ph,Actual,Detected,12.06,mg/l,Actual,Detected,12.5,mg/l,Actual,Detected,5.28,Deg C.
21DELAWQ_WQX-114051,2022-04-05 09:37:00,Actual,Detected,0.2,ppt,Actual,Detected,60,cfu/100 ml,Actual,Detected,1.32,ug/l,Actual,Detected,0.01,mg/l,Actual,Detected,1.28,mg/l,Actual,Detected,6.76,ph,Actual,Detected,11.29,mg/l,Estimated,Present Below Quantification Limit,2,mg/l,Actual,Detected,9.51,Deg C.
21DELAWQ_WQX-114051,2022-06-01 09:09:00,Actual,Detected,0.44,ppt,Actual,Detected,582,cfu/100 ml,Actual,Detected,3.92,ug/l,Actual,Detected,0.03,mg/l,Actual,Detected,1.44,mg/l,Actual,Detected,6.98,ph,Actual,Detected,7.61,mg/l,Actual,Detected,9.5,mg/l,Actual,Detected,21.95,Deg C.
21DELAWQ_WQX-114051,2022-05-04 08:24:00,Actual,Detected,0.21,ppt,Actual,Present Above Quantification Limit,4840,cfu/100 ml,Actual,Detected,2.36,ug/l,Actual,Detected,0.07,mg/l,Actual,Detected,1.76,mg/l,Actual,Detected,7.37,ph,Actual,Detected,9.9,mg/l,Actual,Detected,10,mg/l,Actual,Detected,13.47,Deg C.
21DELAWQ_WQX-114051,2003-10-15 08:32:00,Actual,Not Detected,0.05,ppt,Actual,Present Above Quantification Limit,4840,cfu/100 ml,Estimated,Detected,2.2,ug/l,Actual,Detected,0.1,mg/l,NA,NA,NA,NA,Actual,Detected,7.61,ph,Actual,Detected,8.97,mg/l,Actual,Detected,6,mg/l,Actual,Detected,15.18,Deg C.
21DELAWQ_WQX-114051,2003-04-01 08:34:00,Actual,Detected,0.22,ppt,Actual,Detected,183,cfu/100 ml,Estimated,Detected,3.7,ug/l,Estimated,Detected,0.03,mg/l,NA,NA,NA,NA,Actual,Detected,6.69,ph,Actual,Detected,12.27,mg/l,Estimated,Detected,4,mg/l,Actual,Detected,6.12,Deg C.
21DELAWQ_WQX-114051,2003-06-11 08:45:00,Actual,Detected,0.21,ppt,Actual,Detected,117,cfu/100 ml,Actual,Detected,11.5,ug/l,Actual,Detected,0.07,mg/l,NA,NA,NA,NA,Actual,Detected,7.26,ph,Actual,Detected,9.3,mg/l,Actual,Detected,15,mg/l,Actual,Detected,16.65,Deg C.
21DELAWQ_WQX-114051,2003-08-12 08:18:00,Actual,Detected,0.1,ppt,Actual,Present Above Quantification Limit,4840,cfu/100 ml,Estimated,Detected,8,ug/l,Actual,Detected,0.1,mg/l,NA,NA,NA,NA,Actual,Detected,7.16,ph,Actual,Detected,4.96,mg/l,Actual,Detected,26,mg/l,Actual,Detected,23.86,Deg C.
21DELAWQ_WQX-114051,2004-10-13 09:50:00,Actual,Detected,0.12,ppt,Actual,Detected,667,cfu/100 ml,Estimated,Detected,36,ug/l,Actual,Detected,0.55,mg/l,NA,NA,NA,NA,Actual,Detected,7.36,ph,Actual,Detected,5.6,mg/l,Actual,Detected,787,mg/l,Actual,Detected,14.86,Deg C.
21DELAWQ_WQX-114051,2004-08-16 09:51:00,Actual,Not Detected,0.05,ppt,Actual,Present Above Quantification Limit,4840,cfu/100 ml,Estimated,Detected,1.3,ug/l,Actual,Detected,0.13,mg/l,NA,NA,NA,NA,Actual,Detected,7.37,ph,Actual,Detected,7.37,mg/l,Actual,Detected,28,mg/l,Actual,Detected,21.35,Deg C.
21DELAWQ_WQX-114051,2004-09-13 09:37:00,Actual,Detected,0.2,ppt,Actual,Detected,480,cfu/100 ml,NA,NA,NA,NA,Estimated,Detected,0.03,mg/l,NA,NA,NA,NA,Actual,Detected,7.26,ph,Actual,Detected,7.56,mg/l,Actual,Detected,13,mg/l,Actual,Detected,20.6,Deg C.
21DELAWQ_WQX-114051,2004-05-11 09:03:00,Actual,Detected,0.18,ppt,Actual,Present Above Quantification Limit,4840,cfu/100 ml,Estimated,Detected,1.3,ug/l,Estimated,Detected,0.04,mg/l,NA,NA,NA,NA,Actual,Detected,6.94,ph,Actual,Detected,7.24,mg/l,Actual,Detected,6,mg/l,Actual,Detected,16.64,Deg C.
21DELAWQ_WQX-114051,2004-03-10 08:44:00,Actual,Detected,0.4,ppt,Actual,Detected,10,cfu/100 ml,Actual,Detected,8.4,ug/l,Estimated,Detected,0.02,mg/l,NA,NA,NA,NA,Actual,Detected,6.99,ph,Actual,Detected,7.22,mg/l,Estimated,Detected,3,mg/l,Actual,Detected,8.64,Deg C.
21DELAWQ_WQX-114051,2005-05-02 09:08:00,Actual,Detected,0.3,ppt,Actual,Detected,97,cfu/100 ml,Actual,Detected,6.03,ug/l,Estimated,Detected,0.04,mg/l,NA,NA,NA,NA,Actual,Detected,6.85,ph,Actual,Detected,9.92,mg/l,Actual,Not Detected,1,mg/l,Actual,Detected,13.02,Deg C.
21DELAWQ_WQX-114051,2005-10-03 09:17:00,Actual,Detected,0.2,ppt,Actual,Detected,80,cfu/100 ml,Actual,Detected,0.52,ug/l,Actual,Detected,0.02,mg/l,Actual,Detected,1.73,mg/l,Actual,Detected,7.55,ph,Actual,Detected,7.8,mg/l,Actual,Not Detected,1,mg/l,Actual,Detected,18.39,Deg C.
21DELAWQ_WQX-114051,2005-08-09 09:24:00,Actual,Not Detected,0.05,ppt,Actual,Present Above Quantification Limit,4840,cfu/100 ml,Actual,Detected,2.88,ug/l,Actual,Detected,0.07,mg/l,Actual,Detected,1.85,mg/l,Actual,Detected,7.9,ph,Actual,Detected,6.36,mg/l,Actual,Detected,6,mg/l,Actual,Detected,23.24,Deg C.
21DELAWQ_WQX-114051,2005-03-30 09:16:00,Actual,Detected,0.25,ppt,Actual,Detected,73,cfu/100 ml,Actual,Detected,4.3,ug/l,Actual,Detected,0.05,mg/l,NA,NA,NA,NA,Actual,Detected,6.84,ph,Actual,Detected,11.2,mg/l,Actual,Detected,18,mg/l,Actual,Detected,8,Deg C.
21DELAWQ_WQX-114051,2005-09-26 09:15:00,Actual,Detected,0.2,ppt,Actual,Detected,97,cfu/100 ml,Actual,Detected,5.75,ug/l,Actual,Detected,0.03,mg/l,Actual,Detected,1.66,mg/l,Actual,Detected,7.51,ph,Actual,Detected,11,mg/l,Actual,Detected,14,mg/l,Actual,Detected,20.8,Deg C.
21DELAWQ_WQX-114051,2003-04-01 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Calculated,Detected,1.67,mg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21DELAWQ_WQX-114051,2003-06-11 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Calculated,Detected,2.38,mg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21DELAWQ_WQX-114051,2003-08-12 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Calculated,Detected,1.67,mg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21DELAWQ_WQX-114051,2003-10-15 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Calculated,Detected,2.34,mg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21DELAWQ_WQX-114051,2004-03-10 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Calculated,Detected,1.01,mg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21DELAWQ_WQX-114051,2004-05-11 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Calculated,Detected,1.69,mg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21DELAWQ_WQX-114051,2004-08-16 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Calculated,Detected,1.32,mg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21DELAWQ_WQX-114051,2004-09-13 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Calculated,Detected,2.09,mg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21DELAWQ_WQX-114051,2004-10-13 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Calculated,Detected,3.39,mg/l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21DELAWQ_WQX-114051,2022-09-06 08:54:00,Actual,Not Detected,0.05,ppt,Actual,Present Above Quantification Limit,4840,cfu/100 ml,Actual,Detected,2.73,ug/l,Actual,Detected,0.12,mg/l,Actual,Detected,0.64,mg/l,Actual,Detected,7,ph,Actual,Detected,8.9,mg/l,Actual,Detected,56.1,mg/l,Actual,Detected,23.4,Deg C.
21DELAWQ_WQX-114051,2022-12-07 09:31:00,Actual,Not Detected,0.05,ppt,Actual,Present Above Quantification Limit,4840,cfu/100 ml,Actual,Detected,0.61,ug/l,Actual,Detected,0.07,mg/l,Actual,Detected,1.09,mg/l,Actual,Detected,7.06,ph,Actual,Detected,11.37,mg/l,Estimated,Present Below Quantification Limit,2.4,mg/l,Actual,Detected,10.25,Deg C.
21DELAWQ_WQX-114051,2022-11-01 10:54:00,Actual,Detected,0.13,ppt,Actual,Present Above Quantification Limit,4840,cfu/100 ml,Actual,Detected,0.5,ug/l,Actual,Detected,0.04,mg/l,Actual,Detected,0.61,mg/l,Actual,Detected,7.27,ph,Actual,Detected,9.18,mg/l,Estimated,Present Below Quantification Limit,4.8,mg/l,Actual,Detected,15.95,Deg C.
