Site Number,Date,DERAP Version,Basin,HGM Class,HGM Sub-class,LLWW,Stream Order,Classification,Purpose,Watershed,Sub-watershed,AA size and Shape,AA moved?,Forest Age >50 years,Hfor50,Hfor30,Hfor15,Hfor2-1,Harvesting w/in 50yrs,Hfor50-2,Hfor30-2,Hfor15-2,Hfor2-2,Hforcc,Hnorecov,Hfor10,Hcc10,Hcc50,Hcc100,Hforsc,Harvest > 50% recovered,Harvest > 50% recovering,Harvest > 50% recent,Harvest > 50% clear no recov,% AA forested,BAF (10),Hpine,Hchem,Hmow,Hfarm,Hgraz,Hinv1,Hinv5,Hinv50,Hinv100,Hinvless,Hinvdom,Hherb,Hburn,Hgarb,Hnutapp (a),Hnutapp (b),Halgae,Hnis100,Hnis50,Htrail-2,Htrail,Hrdlog,Hroad or Hrdgrav,Hpave or Hrdpav,Wditchs,Wditchm,Wditchx,Wditchfloodplain,Wchannm,Wchan1,Wchan2,Wchan1-2,Wchan2-2,Wincision,Wdamdec,Wimp10,Wimp75,Wimp100,% site perm flood,% site inundated,Wstorm,Wpoint,Wsedchan,Wsed or Wsedwet,Wfill10,Wfill75,Wfill100,Wmic10,Wmic75,Wmic100,Wsubsid,Road-impeding flow,Road-not impeding flow,Wtidres,Sed dep,Soil change < 10%,Soil change 10-75%,Soil change >75%,Eroding banks/slopes,Nutrients-ag,Nutrients-sew,Nutrients-fert,Ldevcom,Ldevres3,Ldevres2,Ldevres1,Ldevres1-2,Lsew,Lsept,Ltrail,Lrdgrav,Lrd2pav,Lrd4pav,Stormdrain,Llndfil,Direct runoff/erosion,Lchan,Lagrow,Lagorch,Lag,Lagpoul,Lfor,Ldock,Lmoor,Hydro-sev,Hydro-mod,Hydro-sl,Lgolf,Lmow,Lmine,QCR,QDR,Total Score
APPO3318,07/08/2015,6,Delaware Bay,Riverine,Riv- Upper Per,LS1BATHhw,1,Natural,Assessment,Appoquinimink River,Appoquinimink River,40m circle,true,true,false,false,false,false,false,,,,,,false,,false,false,false,false,,,,,20,10,false,false,false,false,false,true,false,false,false,,,false,,,,,true,false,false,,false,,false,false,false,false,false,,false,false,false,,,false,false,false,false,false,26-50,26-50,false,false,,false,false,false,false,false,false,false,false,,,,,,,,,,,,false,true,false,false,,,,,false,false,false,,false,,false,,,false,false,false,,,,,,true,false,false,,4,72
APPO3319,08/12/2015,6,Delaware Bay,Flat,Flat-mineral,TEFLIS,,Natural,Assessment,Appoquinimink River,Blackbird Creek,40m circle,false,true,false,false,false,false,false,,,,,,false,,false,false,false,false,,,,,100,70,false,false,false,false,false,false,false,false,false,,,false,,,,,false,false,false,,false,,false,false,false,false,false,,false,false,false,,,false,false,false,false,false,0,25-Jan,false,false,,false,false,false,false,false,true,false,false,,,,,,,,,,,,false,false,false,true,,,,,false,false,false,,false,,false,,,false,false,false,,,,,,false,false,false,,3,76
APPO3320,06/08/2015,6,Delaware Bay,Flat,Flat-mineral,TEFLIS,,Natural,Assessment,Appoquinimink River,Blackbird Creek,12x24m Rectangle,true,true,false,false,false,false,false,,,,,,false,,false,false,false,false,,,,,95,140,false,false,true,false,false,false,false,false,false,,,false,,,,,false,false,false,,false,,false,false,false,false,false,,false,false,false,,,false,false,false,false,false,0,25-Jan,false,false,,false,false,false,false,false,false,false,false,,,,,,,,,,,,false,false,false,false,,,,,false,false,false,,false,,false,,,true,false,false,,,,,,false,false,false,,4,77
CH0076NT,06/24/2011,6,Delaware Bay,Flat,Flat-mineral,HPFO1B,,Natural,Assessment,Christina River,,"Circle, 40m",false,true,false,false,false,false,true,,,,,,false,,false,true,false,true,,,,,100,,false,false,false,false,false,true,false,false,false,,,false,,,,,false,false,false,,false,,false,false,false,true,false,,false,false,false,,,false,false,false,false,false,25-Jan,26-50,false,false,,false,true,false,false,true,false,false,false,,,,,,,,,,,,false,true,false,false,,,,,false,false,false,,false,,false,,,false,false,true,,,,,,false,false,false,,3,51
APPO3321,06/04/2015,6,Delaware Bay,Riverine,Riv- Upper Per,LS1FLTHhw,2,Natural,Assessment,Appoquinimink River,Blackbird Creek,40m circle,true,true,false,false,false,false,false,,,,,,false,,false,false,false,false,,,,,90,80,false,false,false,false,false,false,false,true,false,,,false,,,,,false,false,false,,false,,false,false,false,false,false,,false,false,false,,,false,false,false,false,false,25-Jan,26-50,false,false,,false,false,false,false,false,false,false,false,,,,,,,,,,,,false,false,false,false,,,,,false,false,false,,false,,false,,,true,false,false,,,,,,false,false,false,,2,85
APPO3322,07/23/2015,6,Delaware Bay,Flat,Flat-mineral,TEBAIS,,Natural,Assessment,Appoquinimink River,Blackbird Creek,40m circle,false,true,false,false,false,false,false,,,,,,true,,false,false,false,false,,,,,80,100,false,false,false,false,false,false,true,false,false,,,false,,,,,false,false,false,,false,,true,false,true,false,false,,false,false,false,,,false,false,false,false,false,25-Jan,26-50,false,false,,false,false,true,false,false,false,false,false,,,,,,,,,,,,false,false,true,false,,,,,true,false,false,,true,,false,,,false,false,false,,,,,,false,false,false,,5,57
APPO3324,06/03/2015,6,Delaware Bay,Riverine,Riv- Upper Per,TEFLIS,1,Natural,Assessment,Appoquinimink River,Blackbird Creek,40m circle,false,true,false,false,false,false,false,,,,,,false,,false,false,false,false,,,,,80,120,false,false,true,false,false,false,true,false,false,,,false,,,,,false,false,false,,false,,true,false,false,false,false,,false,false,false,,,false,false,false,false,false,25-Jan,26-50,false,false,,false,true,false,false,true,false,false,false,,,,,,,,,,,,false,false,false,false,,,,,true,false,false,,false,,false,,,false,false,false,,,,,,false,true,false,,3,79
APPO3325,08/05/2015,6,Delaware Bay,Riverine,Riv- Lower Per,LS1BATHhw,3,Natural,Assessment,Appoquinimink River,Blackbird Creek,40m circle,false,true,false,false,false,false,false,,,,,,false,,false,false,false,false,,,,,60,90,false,false,false,false,false,false,false,false,true,,,false,,,,,false,false,false,,false,,false,false,false,false,false,,false,false,false,,,false,false,false,false,false,26-50,>75,false,false,,false,false,false,false,false,false,false,false,,,,,,,,,,,,false,false,false,false,,,,,true,false,false,,false,,false,,,false,false,false,,,,,,false,false,false,,3,70
APPO3327,06/16/2015,6,Delaware Bay,Flat,Flat-mineral,TEFLIS,,Natural,Assessment,Appoquinimink River,Blackbird Creek,40m circle,false,true,false,false,false,false,false,,,,,,false,,false,false,false,false,,,,,100,100,false,false,false,false,false,false,false,false,false,,,false,,,,,false,false,false,,false,,false,false,false,false,false,,false,false,false,,,false,false,false,false,false,25-Jan,26-50,false,false,,false,false,false,false,false,false,false,false,,,,,,,,,,,,false,false,false,false,,,,,false,false,false,,false,,false,,,false,false,false,,,,,,false,false,false,,2,95
APPO3328,08/04/2015,6,Delaware Bay,Riverine,Riv- Upper Per,TEBAOUhw,1,Natural,Assessment,Appoquinimink River,Blackbird Creek,33x100m rectangle,true,true,false,false,false,false,false,,,,,,false,,false,false,false,true,,,,,100,40,false,false,false,false,false,false,false,false,false,,,false,,,,,false,false,false,,false,,false,false,false,false,false,,false,false,false,,,false,false,false,false,false,0,51-75,false,false,,false,false,false,false,false,false,false,false,,,,,,,,,,,,false,false,false,false,,,,,false,false,false,,false,,false,,,true,false,true,,,,,,false,false,false,,2,89
APPO3330,06/23/2015,6,Delaware Bay,Flat,Flat-mineral,TEFLOUed,,Natural,Assessment,Appoquinimink River,Blackbird Creek,40m circle,true,true,false,false,false,false,false,,,,,,false,,false,false,false,false,,,,,85,80,false,false,false,false,false,false,false,false,false,,,false,,,,,false,false,false,,false,,false,false,false,false,false,,false,false,false,,,false,false,false,false,false,>75,>75,false,false,,false,false,false,false,false,false,false,false,,,,,,,,,,,,false,false,false,false,,,,,true,false,false,,false,,false,,,true,false,false,,,,,,false,false,false,,3,89
APPO3331,07/29/2015,6,Delaware Bay,Depression,Dep-Mineral,TEBAIS,,Re-establishment,Reference,Appoquinimink River,Appoquinimink River,22x32m oval,false,false,false,false,true,false,false,,,,,,false,,false,false,false,false,,,,,20,10,false,false,false,false,false,false,false,true,false,,,false,,,,,true,false,false,,false,,false,false,false,false,true,,false,false,false,,,false,false,false,false,false,51-75,>75,false,false,,false,false,false,false,false,false,false,false,,,,,,,,,,,,false,true,false,false,,,,,false,true,false,,false,,true,,,false,false,true,,,,,,false,false,false,,5,36
APPO3332,06/25/2015,6,Delaware Bay,Depression,Dep-Mineral,TEBAOUhw,,Natural,Assessment,Appoquinimink River,Blackbird Creek,40m circle,true,true,false,false,false,false,false,,,,,,false,,false,false,false,false,,,,,80,20,false,false,false,false,false,false,true,false,false,,,false,,,,,false,false,false,,true,,false,false,false,false,false,,false,false,false,,,false,false,false,false,false,51-75,>75,false,false,,false,false,false,false,false,false,false,false,,,,,,,,,,,,false,false,false,true,,,,,true,false,false,,false,,false,,,false,false,false,,,,,,false,true,false,,4,61
APPO3333,08/06/2015,6,Delaware Bay,Flat,Flat-mineral,TEFLOUhw,,Natural,Assessment,Appoquinimink River,Appoquinimink River,40m circle,false,true,false,false,false,false,false,,,,,,false,,false,false,false,false,,,,,100,120,false,false,false,false,false,false,false,false,false,,,false,,,,,false,false,false,,true,,false,false,false,false,true,,false,false,false,,,false,false,false,false,false,25-Jan,25-Jan,false,false,,false,true,false,false,false,false,false,false,,,,,,,,,,,,false,false,false,false,,,,,false,false,false,,false,,false,,,false,false,false,,,,,,false,true,false,,5,71
APPO3334,08/06/2015,6,Delaware Bay,Riverine,Riv- Lower Per,LS1BATHhw,1,Natural,Assessment,Appoquinimink River,Appoquinimink River,26x100m rectangle,true,true,false,false,false,false,false,,,,,,false,,false,false,false,false,,,,,90,60,false,false,false,false,false,false,false,false,false,,,false,,,,,false,false,false,,false,,false,false,false,false,false,,false,false,false,,,false,false,false,false,false,25-Jan,26-50,false,false,,false,false,false,false,false,false,false,false,,,,,,,,,,,,false,false,true,false,,,,,false,false,false,,true,,false,,,false,false,true,,,,,,false,true,false,,4,88
APPO3335,08/06/2015,6,Delaware Bay,Depression,Dep-Mineral,TEBAIS,,Natural,Assessment,Appoquinimink River,Blackbird Creek,40m circle,true,true,false,false,false,false,false,,,,,,false,,false,false,false,false,,,,,10,0,false,false,false,false,false,false,false,true,false,,,false,,,,,false,true,false,,false,,false,false,false,false,false,,false,false,false,,,false,false,false,false,false,51-75,>75,false,false,,false,false,false,false,false,false,false,false,,,,,,,,,,,,true,false,false,false,,,,,false,true,false,,false,,false,,,false,false,false,,,,,,true,true,false,,5,53
APPO3336,06/08/2015,6,Delaware Bay,Depression,Dep-Organic,TEBAIS,,Natural,Assessment,Appoquinimink River,Blackbird Creek,40m circle,false,true,false,false,false,false,false,,,,,,false,,false,false,false,false,,,,,20,100,false,false,false,false,false,false,true,false,false,,,false,,,,,false,false,false,,false,,false,false,false,false,false,,false,false,false,,,false,false,false,false,false,51-75,51-75,false,false,,false,false,false,false,false,false,false,false,,,,,,,,,,,,false,false,false,true,,,,,false,false,false,,false,,false,,,true,false,false,,,,,,false,false,false,,3,67
APPO3338,08/10/2015,6,Delaware Bay,Flat,Flat-mineral,TEBAOUhw,,Natural,Assessment,Appoquinimink River,Blackbird Creek,40m circle,false,true,false,false,false,false,false,,,,,,false,,false,false,false,false,,,,,100,120,false,false,false,false,false,false,false,false,false,,,false,,,,,false,false,false,,false,,false,false,false,false,false,,false,false,false,,,false,false,false,false,false,0,51-75,false,false,,false,false,false,false,false,false,false,false,,,,,,,,,,,,false,false,false,false,,,,,false,false,false,,false,,false,,,false,false,false,,,,,,false,false,false,,1,95
APPO3340,07/23/2015,6,Delaware Bay,Riverine,Riv- Upper Per,LS1BATHhw,2,Natural,Assessment,Appoquinimink River,Blackbird Creek,40m circle,false,true,false,false,false,false,false,,,,,,false,,false,false,false,false,,,,,60,80,false,false,false,false,false,true,false,false,false,,,false,,,,,false,false,false,,false,,false,true,false,false,false,,false,false,false,,,false,false,false,false,false,26-50,51-75,false,false,,false,false,false,false,false,false,false,false,,,,,,,,,,,,false,false,false,true,,,,,false,true,false,,false,,false,,,true,false,false,,,,,,false,false,false,,3,81
APPO3341,08/10/2015,6,Delaware Bay,Riverine,Riv- Upper Per,TEFLOUhw,1,Natural,Assessment,Appoquinimink River,Blackbird Creek,19x100m rectangle,false,true,false,false,false,false,false,,,,,,false,,false,false,false,false,,,,,90,110,false,false,false,false,false,false,true,false,false,,,false,,,,,false,false,false,,true,,false,false,false,false,false,,false,false,false,,,false,false,false,false,false,25-Jan,26-50,false,false,,false,false,false,false,false,false,false,false,,,,,,,,,,,,false,false,false,true,,,,,false,true,false,,false,,false,,,false,false,false,,,,,,false,false,false,,5,10
0423r,07/20/2006,3,Inland Bays,Riverine,,,,,Assessment,Indian River,Indian River,,true,,,,,,false,true,false,false,false,false,false,false,,,,,,,,,,,false,false,false,false,false,,,,,false,false,false,false,true,false,,false,,,false,,false,false,false,false,false,false,false,false,,,true,false,false,false,false,false,false,,,false,false,false,false,true,false,false,false,false,false,false,,,false,,,,,,,,,false,false,false,,true,false,true,false,false,true,false,,false,,true,false,false,,false,false,false,false,,,,false,false,false,3,,9
APPO3344,06/15/2015,6,Delaware Bay,Riverine,Riv- Upper Per,LS1BATHhw,1,Natural,Assessment,Appoquinimink River,Blackbird Creek,40m circle,true,true,false,false,false,false,false,,,,,,false,,false,false,false,false,,,,,100,80,false,false,false,false,false,false,false,false,false,,,false,,,,,false,false,false,,false,,false,false,false,false,false,,false,false,false,,,false,false,false,false,false,25-Jan,51-75,false,false,,false,false,false,false,false,false,false,false,,,,,,,,,,,,false,false,false,false,,,,,false,false,false,,false,,false,,,true,false,false,,,,,,false,true,false,,2,89
APPO3345,07/21/2015,6,Delaware Bay,Flat,Flat-mineral,TEFLTH,,Natural,Assessment,Appoquinimink River,Appoquinimink River,40 m circle,false,true,false,false,false,false,false,,,,,,false,,false,false,false,false,,,,,30,60,false,false,false,false,false,false,false,false,true,,,false,,,,,false,false,false,,false,,false,true,false,true,false,,false,false,false,,,false,false,false,false,false,25-Jan,26-50,false,false,,false,false,false,false,false,false,false,false,,,,,,,,,,,,true,false,false,false,,,,,false,true,false,,false,,false,,,true,false,false,,,,,,false,false,true,,6,72
APPO3347,07/23/2015,6,Delaware Bay,Flat,Flat-mineral,TEBAIS,,Natural,Assessment,Appoquinimink River,Blackbird Creek,40m circle,true,true,false,false,false,false,false,,,,,,false,,false,false,false,false,,,,,70,50,false,false,false,false,false,false,false,false,false,,,false,,,,,false,false,false,,false,,false,false,false,false,false,,false,false,false,,,false,false,false,false,false,25-Jan,26-50,false,false,,false,false,false,false,false,false,false,false,,,,,,,,,,,,false,false,false,true,,,,,false,false,false,,false,,false,,,false,false,false,,,,,,false,true,false,,2,89
APPO3351,08/06/2015,6,Delaware Bay,Depression,Dep-Mineral,TEBAOUhw,,Natural,Assessment,Appoquinimink River,Blackbird Creek,40m circle,true,true,false,false,false,false,false,,,,,,false,,false,false,false,true,,,,,60,,false,false,true,false,false,false,false,false,false,,,false,,,,,false,false,false,,false,,false,false,false,false,false,,false,false,false,,,false,false,false,false,false,26-50,51-75,false,false,,false,false,false,false,true,false,false,false,,,,,,,,,,,,false,false,false,false,,,,,false,false,false,,false,,false,,,false,false,true,,,,,,false,true,false,,4,50
APPO3352,08/10/2015,6,Delaware Bay,Riverine,Riv- Upper Per,LS1BATHhw,3,Natural,Assessment,Appoquinimink River,Blackbird Creek,40m circle,false,true,false,false,false,false,false,,,,,,false,,false,false,false,false,,,,,100,150,false,false,false,false,false,false,false,true,false,,,false,,,,,false,false,false,,false,,false,false,false,false,false,,false,false,false,,,false,false,false,false,false,0,26-50,false,false,,false,false,false,false,false,false,false,false,,,,,,,,,,,,false,false,false,false,,,,,true,false,false,,false,,false,,,false,false,false,,,,,,false,false,false,,3,85
APPO3354,08/03/2015,6,Delaware Bay,Riverine,Riv- Upper Per,TEFLOUhw,1,Natural,Assessment,Appoquinimink River,Appoquinimink River,27x100 rectangle,true,true,false,false,false,false,false,,,,,,false,,false,false,false,false,,,,,80,50,false,false,false,false,false,false,false,false,true,,,false,,,,,false,false,false,,false,,false,false,false,false,false,,false,false,false,,,false,false,false,false,false,0,25-Jan,false,false,,false,false,false,false,false,false,false,false,,,,,,,,,,,,false,false,false,false,,,,,true,false,false,,false,,false,,,true,false,false,,,,,,false,false,false,,3,69
APPO3355,08/12/2015,6,Delaware Bay,Riverine,Riv- Upper Per,LS1BATHhw,1,Natural,Assessment,Appoquinimink River,Appoquinimink River,23x100m rectangle,true,true,false,false,false,false,false,,,,,,false,,false,false,false,false,,,,,100,40,false,false,false,false,false,false,false,true,false,,,false,,,,,false,false,false,,false,,false,false,false,false,false,,false,false,false,,,false,false,false,false,false,0,51-75,false,false,,false,false,false,false,false,false,false,false,,,,,,,,,,,,false,true,false,false,,,,,false,false,false,,false,,false,,,true,false,false,,,,,,false,true,false,,5,83
APPO3356,07/22/2015,6,Delaware Bay,Riverine,Riv- Beaver Impounded,LS1BATHhw,1,Natural,Assessment,Appoquinimink River,Blackbird Creek,50x100m rectangle,false,false,true,false,false,false,false,,,,,,false,,false,false,false,false,,,,,40,20,false,false,false,false,false,false,true,false,false,,,false,,,,,false,false,false,,false,,false,false,false,false,false,,false,false,false,,,false,false,false,false,false,25-Jan,51-75,false,false,,false,false,false,false,false,false,false,false,,,,,,,,,,,,false,false,false,false,,,,,false,false,false,,false,,false,,,false,false,false,,,,,,false,false,false,,1,86
APPO3359,07/28/2015,6,Delaware Bay,Riverine,Riv- Upper Per,LS1BATHhw,1,Natural,Assessment,Appoquinimink River,Appoquinimink River,60x100m rectangle,false,true,false,false,false,false,false,,,,,,false,,false,false,false,false,,,,,80,60,false,false,false,false,false,false,false,false,false,,,false,,,,,false,false,false,,false,,false,false,false,false,false,,false,false,false,,,false,false,false,false,false,26-50,26-50,false,false,,false,false,false,false,false,false,false,false,,,,,,,,,,,,false,false,false,false,,,,,false,false,false,,false,,false,,,true,false,false,,,,,,false,false,false,,2,90
APPO3360,07/29/2015,6,Delaware Bay,Depression,Dep-Mineral,TEBAOIhw,,Natural,Assessment,Appoquinimink River,Blackbird Creek,40m circle,false,true,false,false,false,false,false,,,,,,false,,false,false,false,false,,,,,65,160,false,false,false,false,false,false,false,false,false,,,false,,,,,false,false,false,,false,,false,false,false,false,false,,false,false,false,,,false,false,false,false,false,51-75,>75,false,false,,false,false,false,false,false,false,false,false,,,,,,,,,,,,false,false,false,false,,,,,false,false,false,,false,,false,,,true,false,false,,,,,,false,false,false,,2,78
APPO3362,06/17/2015,6,Delaware Bay,Riverine,Riv- Upper Per,LS1BATHhw,1,Natural,Assessment,Appoquinimink River,Augustine Creek,40m circle,false,false,true,false,false,false,false,,,,,,false,,false,false,false,false,,,,,70,,false,false,false,false,false,false,false,false,false,,,false,,,,,false,false,false,,false,,false,false,false,false,false,,false,false,false,,,false,false,false,false,false,26-50,51-75,false,false,,false,false,false,false,false,false,false,false,,,,,,,,,,,,false,false,true,false,,,,,false,false,false,,false,,false,,,true,false,false,,,,,,false,true,false,,3,88
APPO3363,06/17/2015,6,Delaware Bay,Depression,Dep-Mineral,TEFLIS,,Natural,Assessment,Appoquinimink River,Blackbird Creek,15mx15m circle,true,true,false,false,false,false,false,,,,,,false,,false,false,false,false,,,,,100,130,false,false,false,false,false,false,false,false,false,,,false,,,,,false,false,false,,false,,false,false,false,false,false,,false,false,false,,,false,false,false,false,false,0,25-Jan,false,false,,false,false,false,false,false,false,false,false,,,,,,,,,,,,false,false,false,true,,,,,false,true,false,,false,,false,,,false,false,false,,,,,,false,false,false,,3,74
APPO3364,07/22/2015,6,Delaware Bay,Flat,Flat-mineral,TEFLIS,,Natural,Assessment,Appoquinimink River,Blackbird Creek,40m circle,true,true,false,false,false,false,false,,,,,,false,,false,false,false,false,,,,,85,100,false,false,false,false,false,true,false,false,false,,,false,,,,,false,false,false,,true,,false,false,false,false,false,,false,false,false,,,false,false,false,false,false,0,25-Jan,false,false,,false,false,false,false,false,false,false,false,,,,,,,,,,,,false,false,false,false,,,,,false,false,false,,false,,false,,,true,false,false,,,,,,false,false,false,,4,90
APPO3365,08/06/2015,6,Delaware Bay,Riverine,Riv- Lower Per,LS1FLTHhw,1,Natural,Assessment,Appoquinimink River,Augustine Creek,40m circle,true,true,false,false,false,false,false,,,,,,false,,false,false,false,false,,,,,70,70,false,false,false,false,false,false,false,true,false,,,false,,,,,false,false,false,,false,,false,false,false,false,false,,false,false,false,,,false,false,false,false,false,25-Jan,25-Jan,false,false,,false,false,false,false,false,false,false,false,,,,,,,,,,,,false,false,false,true,,,,,false,false,true,,false,,false,,,true,false,false,,,,,,false,true,false,,5,83
